key,old,new
GREAT_PURPOSE_1,エリアミッション《魔軍戦車カトブレパス》を攻略せよ！,"Clear Area Mission ""Demon Army Tank Catoblepas""!"
GREAT_PURPOSE_2,エピタフロード《英霊眠りし道 ラスニテ山麓》を攻略せよ！,"Clear the Epitaph Road ""英霊眠りし道 ラスニテ山麓""!"
GREAT_PURPOSE_3,サブストーリー《王家を救いし料理番》を支援せよ！,"Support Substory ""Save the Royal Family Cook""!"
GREAT_PURPOSE_4,ウォーミッション《ダクレイム砦奪還戦》を攻略せよ！,"Clear War Mission ""Dacreim Fortress Recapture Battle""!"
GREAT_PURPOSE_5,エリアミッション《古代の闇の中へ》を攻略せよ！,"Clear Area Mission ""Into the Ancient Darkness""!"
GREAT_PURPOSE_6,エピタフロード《英霊眠りし道 フェルヤナ荒原》を攻略せよ！,"Clear the Epitaph Road ""英霊眠りし道 フェルヤナ荒原""!"
GREAT_PURPOSE_7,サブストーリー《奪還を指揮せし異才者》を支援せよ！,"Support Substory ""Rescue the Genius Commander""!"
GREAT_PURPOSE_8,ウォーミッション《ジフール砦攻略戦》を攻略せよ！,"Clear War Mission ""Jifule Fortress Capture Battle""!"
GREAT_PURPOSE_9,エリアミッション《力に呑まれし王者》を攻略せよ！,"Clear Area Mission ""力に呑まれし王者""!"
GREAT_PURPOSE_10,エピタフロード《英霊眠りし道 メガドシスの記憶》を攻略せよ！,"Clear the Epitaph Road ""英霊眠りし道 メガドシスの記憶""!"
GREAT_PURPOSE_11,サブストーリー《暗部を暴きし暗躍者》を支援せよ！,"Support Substory ""Expose the Dark Side to the One Operating behind the Scenes""!"
GREAT_PURPOSE_12,ウォーミッション《霧の森の死闘》を攻略せよ！,"Clear War Mission ""The Deathly Battle of the Forest of Mist""!"
GREAT_PURPOSE_13,エリアミッション《彼方より堕ち呼ばれし魔道》を攻略せよ！,"Clear Area Mission ""彼方より堕ち呼ばれし魔道""!"
GREAT_PURPOSE_14,エピタフロード《英霊眠りし道 ウルテカの記憶》を攻略せよ！,"Clear the Epitaph Road ""英霊眠りし道 ウルテカの記憶""!"
GREAT_PURPOSE_15,,
GREAT_PURPOSE_16,ウォーミッション《蘇りし絶望の炎》を攻略せよ！,"Clear War Mission ""Resurrection of the Flame of Despair""!"
