key,old,new
SPOT_NAME_,ウルテカ山岳 西部,Western Urteca Mountains
SPOT_NAME_,ウルテカ山岳 北部,Northern Urteca Mountains
SPOT_NAME_,ウルテカ山岳 東部,Eastern Urteca Mountains
SPOT_NAME_,ウルテカの記憶,Memory of Urteca
SPOT_NAME_,北の盗賊のアジト,Northern Bandit Hideout
SPOT_NAME_,火垂れ山野営地,Firefall Mountain Campsite
SPOT_NAME_,サラマンダーコロニー,Pyre Saurian Colony
SPOT_NAME_,空望広場,
SPOT_NAME_,静かな抗戦跡,
SPOT_NAME_,痛刻の洞,
SPOT_NAME_,原初の集落,
SPOT_NAME_,建設資材集積場,
SPOT_NAME_,原種の縄張り,
SPOT_NAME_,還れぬ炎の吹き溜まり,
SPOT_NAME_,メガド離宮,Megado Detached Palace
SPOT_NAME_,王家の墓,The Royal Family Mausoleum
SPOT_NAME_,憩いの坑洞,
SPOT_NAME_,崩れた進入路,Crumbling Entrance Path
SPOT_NAME_,火垂れ山拝竜院,Firefall Mountain Dragon Temple
SPOT_NAME_,聖炎の参竜道,
SPOT_NAME_,魔角の間,
SPOT_NAME_,悼まれぬ者の葬室,
