key,old,new,format
AREA_NAME_1,ハイデル平原,Hidell Plains,
AREA_NAME_2,ブリア海岸,Breya Coast,
AREA_NAME_3,ミスリウ森林,Mysree Forest,
AREA_NAME_4,ボルド鉱山,Volden Mines,
AREA_NAME_5,ダウ渓谷,Dowe Valley,
AREA_NAME_6,ミスリウ森林深部,Mysree Grove,
AREA_NAME_7,ディナン深層林,Deenan Woods,
AREA_NAME_8,バートランド平原,Betland Plains,
AREA_NAME_9,バートランド平原北部,Northern Betland Plains,
AREA_NAME_11,ザンドラ東部,Eastern Zandora,{'proper': True}
AREA_NAME_10,ザンドラ禁域,Zandora Wastelands,
AREA_NAME_12,亡都メルゴダ,Mergoda Ruins,
AREA_NAME_13,魔赤島,Bloodbane Isle,{'proper': True}
AREA_NAME_14,エラン水林,Elan Water Grove,
AREA_NAME_15,ファーラナ平原,Farana Plains,
AREA_NAME_16,モロー樹林,Morrow Forest,
AREA_NAME_17,キンガル峡谷,Kingal Canyon,
AREA_NAME_18,ラスニテ山麓,Rathnite Foothills,
AREA_NAME_19,フェルヤナ荒原,Feryana Wilderness,
AREA_NAME_20,メガドシス高地,Megadosys Plateau,
AREA_NAME_21,ウルテカ山岳,Urteca Mountains,
AREA_NAME_22,メガドシスの記憶,Memory of Megadosys,
AREA_NAME_23,ウルテカの記憶,Memory of Urteca,
AREA_NAME_24,黒呪の迷宮,Bitterblack Maze,
