key,old,new
IDX_124,物理攻撃力を上昇させる,Increase Physical Attack.
IDX_149,"状態異常【物防低下】
を付加する","Debilitation ""Physical Defense Down""
added."
IDX_126,物理防御力を上昇させる,Increase Physical Defense.
IDX_125,魔法攻撃力を上昇させる,Increase Magick Attack.
IDX_150,"状態異常【魔防低下】
を付加する","Debilitation ""Magick Defense Down""
added."
IDX_127,魔法防御力を上昇させる,Increase Magick Defense.
IDX_142,"状態異常【黄金化】
を付加する","Debilitation ""Golden""
added."
IDX_132,吹き飛ばし力を上昇させる,Increase Blow Power.
IDX_128,体力を上昇させる,Increase Health Points.
IDX_143,"状態異常【睡眠】
を付加する","Debilitation ""Sleep""
added."
IDX_135,気絶攻力を上昇させる,Increase Knockout Power.
IDX_129,スタミナを上昇させる,Increase Stamina.
IDX_144,"状態異常【石化】
を付加する","Debilitation ""Petrification""
added."
IDX_147,"状態異常【物攻低下】
を付加する","Debilitation ""Physical Attack Down""
added."
IDX_130,生命治癒力を上昇させる,Increase Healing Power.
IDX_145,"状態異常【遅延】
を付加する","Debilitation ""Slow""
added."
IDX_148,"状態異常【魔攻低下】
を付加する","Debilitation ""Magick Attack Down""
added."
IDX_131,耐久力を上昇させる,Increase Endurance.
IDX_146,"状態異常【軟化】
を付加する","Debilitation ""Softened""
added."
IDX_137,"状態異常【延焼】【炎防低下】【油濡れ】
を付加する
※【延焼】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する","Debilitations ""Caught Fire"",
""Fire Resist Down"", ""Tarred""
added.
※【延焼】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する"
IDX_154,対敵特効【巨人】を付加する,"""Giant Slayer"" added."
IDX_162,対敵特効【腐死】を付加する,"""Undead Slayer"" added."
IDX_138,"状態異常【凍結】【氷防低下】【水濡れ】
を付加する
※【凍結】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する","Debilitations ""Frozen Solid"",
""Ice Resist Down"", ""Drenched""
added.
※【凍結】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する"
IDX_155,対敵特効【呪詛】を付加する,"""Cursed Slayer"" added."
IDX_163,対敵特効【魔族】を付加する,"""Demon Slayer"" added."
IDX_139,"状態異常【感電】【雷防低下】【水濡れ】
を付加する
※【感電】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する","Debilitations ""Shocked"",
""Thunder Resist Down"", ""Drenched""
added.
※【感電】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する"
IDX_156,対敵特効【獣】を付加する,"""Beast Slayer"" added."
IDX_164,対敵特効【有翼】を付加する,"""Winged Slayer"" added."
IDX_140,"状態異常【聖吸】【聖防低下】【スキル封印】
を付加する
※【聖吸】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する","Debilitations ""Holy Drain"",
""Holy Resist Down"", ""Skills Stifled""
added.
※【聖吸】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する"
IDX_157,対敵特効【侵食】を付加する,"""Corrupted Slayer"" added."
IDX_165,対敵特効【竜族】を付加する,"""Dragon Slayer"" added."
IDX_141,"状態異常【闇霧】【闇防低下】【毒】
を付加する
※【闇霧】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する","Debilitations ""Blinded"",
""Dark Resist Down"", ""Poison""
added.
※【闇霧】は攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する"
IDX_158,対敵特効【人間】を付加する,"""Human Slayer"" added."
IDX_166,対敵特効【霊体】を付加する,"""Spirit Slayer"" added."
IDX_151,対敵特効【亜人】を付加する,"""Demihuman Slayer"" added."
IDX_159,対敵特効【戦甲】を付加する,"""War-Ready Slayer"" added."
IDX_167,対敵特効【錬金】を付加する,"""Alchemy Slayer"" added."
IDX_152,対敵特効【骸骨】を付加する,"""Skeleton Slayer"" added."
IDX_160,対敵特効【造魔】を付加する,"""Golem Slayer"" added."
IDX_161,対敵特効【軟体】を付加する,"""Formless Slayer"" added."
IDX_153,対敵特効【鬼人】を付加する,"""Ogre Slayer"" added."
IDX_168,"斬り崩しの予備動作が短縮され
より素早く剣を振り下ろすことができる
<COL ffdc78>LV毎に予備動作さらに短縮</COL>","Decreases the charge time of Guard Break,
allowing you to swing the sword more quickly.
<COL ffdc78>LV UP: Decreases charge time further.</COL>"
