key,old,new
FURNITURE_LAYOUT_NAME_1,テーブルの種類,Table Type
FURNITURE_LAYOUT_NAME_2,机右のミニテーブル,
FURNITURE_LAYOUT_NAME_3,キャビネットの種類,Cabinet Type
FURNITURE_LAYOUT_NAME_4,カーペットの種類,Carpet Type
FURNITURE_LAYOUT_NAME_5,単品の椅子,Single Chair
FURNITURE_LAYOUT_NAME_6,壁の本棚,Wall Bookshelf
FURNITURE_LAYOUT_NAME_7,キッチン・テーブルの種類,Kitchen Table Type
FURNITURE_LAYOUT_NAME_8,釜まわり一式,Full Kettle Set
FURNITURE_LAYOUT_NAME_9,料理,Cuisine
FURNITURE_LAYOUT_NAME_10,ぬいぐるみ・A,Plush Doll - A
FURNITURE_LAYOUT_NAME_11,ぬいぐるみ・B,Plush Doll - B
FURNITURE_LAYOUT_NAME_12,調理場左の棚/食材,Left Kitchen Shelf/Foodstuffs
FURNITURE_LAYOUT_NAME_13,調理器具セット,Cookware Set
FURNITURE_LAYOUT_NAME_14,ベッドの種類,Bed Type
FURNITURE_LAYOUT_NAME_15,パペットの種類,Puppet Type
FURNITURE_LAYOUT_NAME_16,バルコニー,Balcony
FURNITURE_LAYOUT_NAME_17,ランプの種類,Lamp Type
FURNITURE_LAYOUT_NAME_18,リビング・テーブルの種類,Living Table Type
FURNITURE_LAYOUT_NAME_19,料理の種類,Cuisine Type
FURNITURE_LAYOUT_NAME_20,チェスト,Chest
FURNITURE_LAYOUT_NAME_21,チェストの置物,Chest Figurine
FURNITURE_LAYOUT_NAME_25,お風呂,Bath
FURNITURE_LAYOUT_NAME_26,自室の装飾,Arisen's Room Decor
FURNITURE_LAYOUT_NAME_27,オブジェクト,Object
FURNITURE_LAYOUT_NAME_28,オブジェクト・B,Object (B)
FURNITURE_LAYOUT_NAME_29,覚者の部屋着,Arisen's Loungewear
FURNITURE_LAYOUT_NAME_30,従者の部屋着,Servant's Loungewear
FURNITURE_LAYOUT_NAME_31,従者の湯浴み着,Servant's Bathing Clothes
FURNITURE_LAYOUT_NAME_32,従者の寝巻き,Servant's Sleepwear
FURNITURE_LAYOUT_NAME_34,オブジェクト・A,Object (A)
FURNITURE_LAYOUT_NAME_35,自室の照明,Arisen's Room Lighting
FURNITURE_LAYOUT_NAME_36,テーブルフラワー,Table Flower
FURNITURE_LAYOUT_NAME_37,テーブルフラワー,Table Flower
FURNITURE_LAYOUT_NAME_38,天気予報,Weather Forecast
FURNITURE_LAYOUT_NAME_39,壁紙,Wallpaper
FURNITURE_LAYOUT_NAME_40,湯口,Spout
FURNITURE_LAYOUT_NAME_41,鳩時計,Cuckoo Clock
FURNITURE_LAYOUT_NAME_42,壁面家具・左,Left Wall Furniture
FURNITURE_LAYOUT_NAME_43,壁面家具・右,Right Wall Furniture
FURNITURE_LAYOUT_NAME_44,カーペットの種類,Carpet Type
FURNITURE_LAYOUT_NAME_45,家具,Furniture
FURNITURE_LAYOUT_NAME_46,呼び鈴,Summoning Bell
FURNITURE_LAYOUT_NAME_47,マンドラゴラ鉢植え①ノーマル,Mandagora Potted Plant 1 (Normal)
FURNITURE_LAYOUT_NAME_48,マンドラゴラ鉢植え②パスポート,Mandagora Potted Plant 2 (Passport)
FURNITURE_LAYOUT_NAME_49,マンドラゴラ鉢植え③パスポート,Mandagora Potted Plant 3 (Passport)
FURNITURE_LAYOUT_NAME_61,楽譜,Sheet Music
FURNITURE_LAYOUT_NAME_63,ホログラムパターン,
