key,old,new,format
ENEMY_NAME_1,ゴブリン,Goblin,{'new': 'goblin'}
ENEMY_NAME_2,ゴブリンファイター,Goblin Fighter,
ENEMY_NAME_3,シールドゴブリン,Shield Goblin,
ENEMY_NAME_4,スリングゴブリン,Sling Goblin,
ENEMY_NAME_5,ゴブリンリーダー,Goblin Leader,
ENEMY_NAME_6,ホブゴブリン,Hobgoblin,
ENEMY_NAME_7,ホブゴブリンファイター,Hobgoblin Fighter,
ENEMY_NAME_8,スリングホブゴブリン,Sling Hobgoblin,
ENEMY_NAME_9,ホブゴブリンリーダー,Hobgoblin Leader,
ENEMY_NAME_10,ギガン・マキナ,Gigant Machina,
ENEMY_NAME_11,モゴック,Mogok,"{'proper': True, 'pluralize': False}"
ENEMY_NAME_12,ジェネラルオーク,General Orc,
ENEMY_NAME_13,キャプテンオーク,Captain Orc,
ENEMY_NAME_14,オークバトラー,Orc Battler,
ENEMY_NAME_15,オークソルジャー,Orc Soldier,
ENEMY_NAME_16,スライム,Slime,
ENEMY_NAME_17,ディープスライム,Deep Slime,
ENEMY_NAME_18,ブロブ,Blob,
ENEMY_NAME_19,グラトンウーズ,Glutton Ooze,
ENEMY_NAME_20,ウーズ,Ooze,
ENEMY_NAME_21,ミストウィルム,Mist Wyrm,
ENEMY_NAME_22,ミストドレイク,Mist Drake,{'pluralize': False}
ENEMY_NAME_23,ベヘモット,Behemoth,
ENEMY_NAME_24,アングルス,Angules,
ENEMY_NAME_25,リンドブルム,Lindwurm,{'pluralize': False}
ENEMY_NAME_26,ウィルム,Wyrm,{'pluralize': False}
ENEMY_NAME_27,ドレイク,Drake,
ENEMY_NAME_180,ダムドウルフ,Damned Wolf,
ENEMY_NAME_28,ウルフアルケミー,Alchemized Wolf,
ENEMY_NAME_29,シャドーウルフ,Shadow Wolf,
ENEMY_NAME_30,グリムワーグ,Grimwarg,
ENEMY_NAME_31,ダイアウルフ,Direwolf,
ENEMY_NAME_32,オオカミ,Wolf,
ENEMY_NAME_33,スケルトンアルケミー,Alchemized Skeleton,
ENEMY_NAME_34,ゴーストメイル,Ghost Mail,
ENEMY_NAME_35,デスナイト,Death Knight,
ENEMY_NAME_36,スケルトンソーサラー,Skeleton Sorcerer,
ENEMY_NAME_37,スケルトンメイジ,Skeleton Mage,
ENEMY_NAME_38,スケルトンウォリアー,Skeleton Warrior,
ENEMY_NAME_39,スケルトンナイト,Skeleton Knight,
ENEMY_NAME_40,スケルトン,Skeleton,
ENEMY_NAME_41,ブルーニュート,Blue Newt,
ENEMY_NAME_42,ロックリザード,Rock Saurian,
ENEMY_NAME_43,ラージサルファー,Giant Sulfur Saurian,
ENEMY_NAME_44,サルファーリザード,Sulfur Saurian,
ENEMY_NAME_45,ラージリザード,Giant Saurian,
ENEMY_NAME_46,リザードマン,Saurian,
ENEMY_NAME_47,コープストーチャー・フロスト,Frost Corpse Torturer,
ENEMY_NAME_48,コープスパニッシャー・フロスト,Frost Corpse Punisher,
ENEMY_NAME_49,スラッジマン,Sludgeman,
ENEMY_NAME_50,マッドマン,Mudman,
ENEMY_NAME_51,ウォリアーアンデッド,Warrior Undead,
