key,old
EVENT_NAME_st0423ev000,立ちはだかるオーク
EVENT_NAME_st0423ev005,オーク撃破
EVENT_NAME_st0201ev000,白竜神殿の人々
EVENT_NAME_st0201ev005,テル村への使い
EVENT_NAME_st0100ev010,小競り合い
EVENT_NAME_st0100ev015,ゲルト登場
EVENT_NAME_st0201ev015,戻らない調査団
EVENT_NAME_st0576ev000,溶命炉の番人
EVENT_NAME_st0576ev005,調査団の救助
EVENT_NAME_st0201ev025,アークからの帰還
EVENT_NAME_st0100ev020,メイリーフの捜索
EVENT_NAME_st0401ev000,トロール登場
EVENT_NAME_st0401ev010,メイリーフの救出
EVENT_NAME_st0414ev005,キノザの温泉
EVENT_NAME_st0100ev025,リンウッドの墓
EVENT_NAME_st0201ev035,グリッテン砦への救援
EVENT_NAME_st0417ev020,ガルム撃退
EVENT_NAME_st0201ev040,レオの悩み
EVENT_NAME_st0403ev000,占拠された古城
EVENT_NAME_st0403ev010,ベヘモット討伐
EVENT_NAME_st0100ev030,謎の襲撃者
EVENT_NAME_st0100ev035,キースヒルトとの再会
EVENT_NAME_st0201ev045,イリスからの伝言
EVENT_NAME_st0408ev000,イリスとメイリーフ
EVENT_NAME_st0408ev010,神殿からの脱出
EVENT_NAME_st0100ev040,キースヒルトの正体
EVENT_NAME_st0201ev050,神殿に迫るオークの大軍
EVENT_NAME_st0100ev045,オーク軍登場
EVENT_NAME_st0100ev050,ズールの目的
EVENT_NAME_st0201ev060,命の奪還
EVENT_NAME_st0402ev000,モゴック登場
EVENT_NAME_st0201ev065,キースヒルトの遺志
EVENT_NAME_st0571ev000,立ち塞がるイリス
EVENT_NAME_st0571ev005,アーク脱出
EVENT_NAME_st0100ev060,騎士団の迎え
EVENT_NAME_st0201ev070,アーク破壊の方策
EVENT_NAME_st0571ev010,ズールの待ち伏せ
EVENT_NAME_st0571ev020,ズール討伐
EVENT_NAME_st0201ev075,さらわれた巫女
EVENT_NAME_st0201ev080,深淵での結末
EVENT_NAME_st0572ev000,追い詰められるレオ
EVENT_NAME_st0572ev005,レオ逃亡
EVENT_NAME_st0572ev015,走り去るレオ
EVENT_NAME_st0410ev005,黄金郷の住人
EVENT_NAME_st0410ev010,テオドールとクラウス
EVENT_NAME_st0622ev000,封印の鍵
EVENT_NAME_st0418ev000,巨人兵の撃破
EVENT_NAME_st0622ev005,テオドールへの報告
EVENT_NAME_st0201ev090,決戦の地へ
EVENT_NAME_st0418ev005,封印された扉の先へ
EVENT_NAME_st0418ev010,跪くレオ
EVENT_NAME_st0201ev095,白竜よ永遠なれ
EVENT_NAME_st0101ev070,オープニング絵巻　語り：女性
EVENT_NAME_st0101ev000,オーク戦争
EVENT_NAME_st0101ev005,アーク落下
EVENT_NAME_st0201ev010,ポーンとの契約
EVENT_NAME_st0401ev005,キースヒルトとメイリーフ
EVENT_NAME_st0417ev010,救援部隊の到着
EVENT_NAME_st0417ev015,モゴックとの対峙
EVENT_NAME_st0403ev005,命の器の発見
EVENT_NAME_st0403ev015,満たされる器
EVENT_NAME_st0201ev020,目覚める白竜
EVENT_NAME_st0408ev005,奪われた心
EVENT_NAME_st0404ev000,追い詰められたキースヒルト
EVENT_NAME_st0404ev005,キースヒルトの死
EVENT_NAME_st0402ev005,モゴック撃退
EVENT_NAME_st0100ev055,第二アーク落下
EVENT_NAME_st0201ev030,錬金術師ディアマンテス絵巻
EVENT_NAME_st0571ev015,第三アーク落下・前半
EVENT_NAME_st0411ev000,託された未来
EVENT_NAME_st0411ev005,すれ違った想い
EVENT_NAME_st0572ev010,アーク発動
EVENT_NAME_st0100ev065,メルゴダ復活
EVENT_NAME_st0410ev000,亡都メルゴダ
EVENT_NAME_st0418ev015,ディアマンテス登場
EVENT_NAME_st0418ev020,ホルス登場
EVENT_NAME_st0418ev025,ディアマンテスの最期
EVENT_NAME_st0410ev015,時代の潮流
EVENT_NAME_st0203ev300,「【循環】船の出港」
EVENT_NAME_st0405ev300,「【循環】大型砦戦の出撃」
EVENT_NAME_st0416ev300,「【循環】金竜登場」
EVENT_NAME_st0101ev010,新人覚者
EVENT_NAME_st0200ev000,案内人
EVENT_NAME_st0200ev005,一人前の覚者になるために
EVENT_NAME_st0200ev010,ミシアルの告白
EVENT_NAME_st0201ev068,ジョゼフの見解
EVENT_NAME_st0100ev071,イリスとの別れ
EVENT_NAME_st0201ev073,アーク破壊作戦
EVENT_NAME_st0418ev030,レオの加勢
EVENT_NAME_st0733ev000,エンドコンテンツ会話デモ(ファビオ）
EVENT_NAME_st0419ev000,エンドコンテンツ会話デモ(クラウス）
EVENT_NAME_st0702ev000,エンドコンテンツ会話デモ(ヴァネッサ）
EVENT_NAME_st0422ev000,エンドコンテンツ会話デモ（ゴルゴラン登場）
EVENT_NAME_st0422ev005,エンドコンテンツ会話デモ（ゴルゴラン死亡）
EVENT_NAME_st0571ev016,第三アーク落下・後半
EVENT_NAME_st0201ev008,ポーン郷へ
EVENT_NAME_st0201ev011,イリスからの頼みごと
EVENT_NAME_st0201ev013,ワールドクエスト解放
EVENT_NAME_st0400ev013,ヴァネッサ登場
EVENT_NAME_st0201ev028,クラウスの思い
EVENT_NAME_st0201ev066,震撼
EVENT_NAME_st0201ev105,エンドコンテンツ会話デモ（白竜）
EVENT_NAME_st0416ev000,古の祭祀場でゴルゴラン去る
EVENT_NAME_st0409ev000,黄金宮でゴルゴラン三度登場
EVENT_NAME_st0409ev005,黄金宮でゴルゴラン再び敗れる
EVENT_NAME_st0424ev000,メルゴダ護政区でズール登場
EVENT_NAME_st0424ev005,メルゴダ護政区でズール敗れる
EVENT_NAME_st0416ev005,古の祭祀場でグランエント登場
EVENT_NAME_st0416ev010,古の祭祀場でグランエント敗れる
EVENT_NAME_st0421ev000,エンドコンテンツ会話デモ(レオとの再会)
EVENT_NAME_st0201ev003,竜の守護者
EVENT_NAME_st0100ev100,レスタニアを覆う影
EVENT_NAME_st0100ev105,謎の娘
