old,new
"『大いなる理（ことわり）は我々が信じているよりも
ずっと脆かったと考えるより他はありません』",
"『たったひとりの人間の野心が世界のありようを
変えてしまったのですから』",
エルテ・ディナンで見つかった古文書より, 
その豊穣なる大地の名はレスタニア――,"The ancient manuscripts discovered in Erte Deenan
told of the great kingdom of Lestania,"
白竜の翼の下――,where beneath the wings of the White Dragon
人々は生まれ,"its people were born,"
働き,"labored,"
笑った,and laughed.
竜への崇敬と感謝が文明を育み――,"The civilization grew prosperous, with great
reverence and gratitude to the White Dragon;"
"人の叡智は生と死の理すら
乗り越えようとしていた","its people grew in wisdom enough to try
and seek overcoming death itself."
しかし,"However,"
３２３年前――,"323 years ago,"
"どこからともなく現れた黄金色の竜が
大いなる白竜に戦いを挑んだ","a Golden Dragon emerged to challenge
the White Dragon in battle."
戦いは三日三晩続き,"The battle between the two raged for
over three days and three nights,"
誰もがその様子に固唾を呑んだ,"while the people awaited the
outcome with bated breath."
四日目の日の出前だった,"And on the sunrise of the fourth day,"
祈りが通じたのだろうか――,
白竜の痛撃が黄金の胸を貫き――,"the White Dragon triumphed and
struck the Golden Dragon down,"
まばゆい翼は光を失い,"but the White Dragon's bright
resplendent wings lost their light,"
堕ちた,and the dragon fell.
人々は胸を撫で下ろしたが――,"Though the people breathed
sighs of relief at its triumph,"
白竜も深手を負い――,"the White Dragon had suffered
a grievous wound in the battle."
そして,And thus
堕ちた,it fell.
頭を上げ、再び天空に昇ろうとしたが,"The White Dragon raised its head and
tried to climb and soar back into the skies;"
かなわず――,"alas, it could not."
人々は傷ついた白竜の周囲に集い,"The people then gathered
around the injured dragon"
祈った,and prayed.
やがて白竜は弱々しい声で言った,"Before long, the White Dragon said weakly,"
『おまえたちを覚者にしてやろう』,"""I shall make you Arisen,"""
『その代わりに――』,"""and now"""
『わたしを守ってくれ』,"""you shall protect me instead."""
『まだ消えるわけにはいかない』,"""For I cannot yet cease away,"""
『レスタニアを愛する者たちよ――』,"""so you who have love for Lestania,"""
『堅き砦となり、わたしを守ってくれ』,"""build a stronghold to protect me."""
『秩序をなくしたこの地を――』,"""Order must be"""
『理の内に押し戻さねば――』,"""restored to the land."""
そののちの３００有余年――,"And for the next some 300 years,"
白竜はひとり、またひとりと覚者を増やした,"the White Dragon increased the
number of the Arisen, one at a time."
そしてまた,"And now,"
新たな覚者が,a newly Arisen
レスタニアの大地に立とうとしていた,will stand on the grounds of Lestania.
