message/new,message/old
"Ahoy! ... Did you forget?
Fabio, ser! It's Fabio!","よう！　あ、忘れたか？
ファビオだよ、ファビオ"
"What do you think of the audience chambers?
'Tis quite an atmosphere, is it not?","《謁見の間》はどうだった？
独特の雰囲気だろ？"
"If you want to feel more at ease,
you'll have to temper your wits as an Arisen.","気後れしないためには、なるべく早く
一人前の覚者になる必要がある"
"As such, I'll impart you with some wisdom!
Firstly, be sure to keep in touch with the locals.","そのための、ちょっとしたコツを教えてやろう
まず、街を歩きまわって他人の話をよく聞くんだ"
"Specifically, the inns to the northeast.",特に、北東にある宿場区の宿屋――
"'Tis where Archibald and Renton reside.
'Twould be wise to acquaint yourself with those two!","そこにいるアーチボルトとレンテン――
この二人には必ず会っておけ"
"They can train you in skills, abilities,
vocations, you name it.","戦闘での動き方や、戦技スキルの習得
そして転職など――"
"They may even have aught in the way of gossip.
Archibald and Renton--don't forget!","有益な話をしてくれるはずだ
アーチボルトとレンテン――忘れるなよ"
"Oh, actually,
why not go meet those two right now, ser?","ああ、そうだ
今から宿場区へ行ってふたりに会ってくるといい"
"Just introduce yourself, aye?
Afterwards, we'll talk again.","まず、顔を覚えてもらうんだな
それが終わったら、また話そう"
I'll be waiting here.,ここで待ってるよ
