key,old,new
SPOT_NAME_,エラン水林,Elan Water Grove
SPOT_NAME_,守り人の庵,Protector's Retreat
SPOT_NAME_,喧噪の跡地,Tumult Site
SPOT_NAME_,水獣の棲み処,Water Beasts' Habitat
SPOT_NAME_,魔狼の縄張り,Demon Wolf Territory
SPOT_NAME_,紫花の園,Purple Flower Garden
SPOT_NAME_,羽音の高台,Buzzing Plateau
SPOT_NAME_,忘却の廃村,Forgotten Abandoned Village
SPOT_NAME_,彩光の滝,Shimmering Waterfall
SPOT_NAME_,木漏れ日の川辺,Riverside of Dappled Sunlight
SPOT_NAME_,エラン大門前,Before Elan Front Gate
SPOT_NAME_,訪いの広場,Visiting Square
SPOT_NAME_,モローへの小路,Path to Morrow
SPOT_NAME_,虹舞い洞窟,Dancing Rainbow Cave
SPOT_NAME_,藤棚の枯井戸,Wisteria Arbor Withering Well
SPOT_NAME_,密林の鍾乳洞,Jungle Limestone Caves
SPOT_NAME_,旧船頭寄合所,Old Ferryman's Haunt
SPOT_NAME_,エラン採石洞,Elan Quarry Cave
