key,old,new
AREA_RANK_REWARD_97,支援品の配給,Distribution of support goods
AREA_RANK_REWARD_98,封鎖エリア《森民の地下道》開放,"Unblock area ""Forest People's Tunnel"""
AREA_RANK_REWARD_99,《グローン・ノス》に新たな強敵が出現,"New powerful enemy at ""Groan Nos"""
AREA_RANK_REWARD_100,封鎖エリア《神花のテラス》開放,"Unblock area ""Divine Blossom Terrace"""
AREA_RANK_REWARD_101,《エレメントアーチャ―》のジョブマスターに紹介,"Introduction to ""Element Archer"" Job Master"
AREA_RANK_REWARD_102,支援品ランクアップ,Rank up of support goods
AREA_RANK_REWARD_103,《サーズ・ディナン》に新たな強敵が出現,"New powerful enemy at ""Sazu Deenan"""
AREA_RANK_REWARD_104,《エルネア・スプリング》に新たな強敵が出現,"New powerful enemy at ""Elnea Spring"""
AREA_RANK_REWARD_105,封鎖エリア《レ・カルバス・アーマ》開放,"Unblock area ""Le Karvas Arma"""
AREA_RANK_REWARD_106,支援品ランクアップ,Rank up of support goods
AREA_RANK_REWARD_211,《ディナン深層林》各地にある未解放のリム転移 解放,"Release ""Deenan Woods"" Portcrystals"
AREA_RANK_REWARD_212,《大樹の広場》に新たな強敵が出現,"New powerful enemy at ""Big Tree Dell"""
AREA_RANK_REWARD_213,封鎖エリア《飛天のテラス》開放	,"Unblock area ""Heavenly Terrace"""
AREA_RANK_REWARD_214,《飛天のテラス》に新たな強敵が出現,"New powerful enemy at ""Heavenly Terrace"""
AREA_RANK_REWARD_330,支援品ランクアップ,Rank up of support goods
