key,old,new
FUNC_CLASS_NAME_3,よろず屋,General Shop
FUNC_CLASS_NAME_4,道具屋,Item Shop
FUNC_CLASS_NAME_5,武具屋,Equipment Shop
FUNC_CLASS_NAME_6,素材屋,Material Shop
FUNC_CLASS_NAME_7,宿屋,Inn
FUNC_CLASS_NAME_8,武器屋,Weapon Shop
FUNC_CLASS_NAME_9,防具屋,Armor Shop
FUNC_CLASS_NAME_10,戦技補佐,Arts Support
FUNC_CLASS_NAME_11,転職・戦技補佐,Vocation / Arts Support
FUNC_CLASS_NAME_12,グランドミッション,Grand Mission
FUNC_CLASS_NAME_13,冒険仲介係,Adventure Organizer
FUNC_CLASS_NAME_14,クラン酒場,Clan Tavern
FUNC_CLASS_NAME_15,クラフト係官,Craft Officer
FUNC_CLASS_NAME_16,美容院,Beauty Salon
FUNC_CLASS_NAME_17,レスタニアニュース,Lestania News
FUNC_CLASS_NAME_18,竜力の継承,Dragon Force Augmentation
FUNC_CLASS_NAME_19,オーブ交換：クレスト,Orb Exchange: Crests
FUNC_CLASS_NAME_20,オーブ交換：珍品／素材,Orb Exchange: Rare Items / Materials
FUNC_CLASS_NAME_21,エリアマスター,Area Master
FUNC_CLASS_NAME_22,ジョブマスター,Job Master
FUNC_CLASS_NAME_24,バザー,Bazaar
FUNC_CLASS_NAME_25,保管ボックス,Storage Box
FUNC_CLASS_NAME_26,納品ボックス,Delivery Box
FUNC_CLASS_NAME_27,リムストーン,Riftstone
FUNC_CLASS_NAME_28,竜の礎,Dragon's Keystone
FUNC_CLASS_NAME_29,拠点の礎,Portcrystal
FUNC_CLASS_NAME_30,竜の礎,Dragon's Keystone
FUNC_CLASS_NAME_31,クエストボード,Quest Board
FUNC_CLASS_NAME_32,クランクエストボード,Clan Quest Board
FUNC_CLASS_NAME_33,ランキングボード,Ranking Board
FUNC_CLASS_NAME_34,亡都の礎,
FUNC_CLASS_NAME_35,移送の楔,
FUNC_CLASS_NAME_36,記録官,Historian
FUNC_CLASS_NAME_37,ポーンの復活,Revive Pawn
FUNC_CLASS_NAME_39,エクストリームミッション,Extreme Missions
FUNC_CLASS_NAME_40,復活力の回復,Recover Revival Power
FUNC_CLASS_NAME_41,拠点用保管ボックス,Camp Storage Box
FUNC_CLASS_NAME_42,ログインスタンプ,Login Stamp
FUNC_CLASS_NAME_43,報酬受け取り,Receive Reward
FUNC_CLASS_NAME_44,トレジャーズロット,Treasure Lot
FUNC_CLASS_NAME_45,現れしポーン,
FUNC_CLASS_NAME_46,弱化の治療,Treat Weakness
FUNC_CLASS_NAME_47,戦徒の契り,Myrmidon's Pledge
FUNC_CLASS_NAME_48,鑑定交換,Appraisal Exchange
FUNC_CLASS_NAME_49,パートナーポーン,Partner Pawn
