old,new
（肩書なし）,(No Title)
竜力の継承,Dragon Force Augmentation
記録官,Historian
ジョブマスター：アルケミスト,Job Master: Alchemist
ジョブマスター：ファイター,Job Master: Fighter
よろず屋・ハイオーブ交換,General Shop / High Orb Exchange
グランドミッション：魔赤島の狂宴,Grand Mission: Bloodbane Isle's Feast of Madness
よろず屋,General Shop
道具屋,Item Shop
冒険仲介係,Adventure Organizer
武器屋,Weapon Shop
防具屋,Armor Shop
美容院,Beauty Salon
素材屋,Material Shop
道具屋,Item Shop
バザー,Bazaar
バザー,Bazaar
バザー,Bazaar
道具屋,Item Shop
クラン酒場,Clan Tavern
店員,Waitress
レスタニアニュース・白竜祭・EXM,Lestania News / White Dragon Festival / EXM
グランドミッション：目覚めし闇の魔物,Grand Mission: The Demon of Darkness Awakens
グランドミッション：太古の強者,Grand Mission: Ancient Warrior
グランドミッション：眩き黄金,Grand Mission: The Dazzling Gold
宿屋,Inn
グランドミッション：失われた秩序,Grand Mission: The Lost Order
クラフト係官,Craft Officer
エクストリームミッション,Extreme Missions
転職・戦技補佐,Vocation / Arts Support
訓練官,Trainer
トレジャーズロット・納品イベント受付,Treasure Lot / Delivery Event Reception
素材屋,Material Shop
バザー,Bazaar
道具屋,Item Shop
素材屋,Material Shop
道具屋,Item Shop
宿・戦技補佐,Inn / Arts Support
店員,Waitress
エリアマスター,Area Master
冒険仲介係,Adventure Organizer
道具屋,Item Shop
宿・戦技補佐,Inn / Arts Support
武具屋,Equipment Shop
店員,Waitress
冒険仲介係,Adventure Organizer
素材屋,Material Shop
武具屋,Equipment Shop
宿・戦技補佐,Inn / Arts Support
冒険仲介係,Adventure Organizer
宿・戦技補佐,Inn / Arts Support
武具屋,Equipment Shop
冒険仲介係,Adventure Organizer
素材屋,Material Shop
武具屋,Equipment Shop
道具屋,Item Shop
宿・戦技補佐,Inn / Arts Support
エリアマスター,Area Master
よろず屋,General Shop
泉の係官,Spring Manager
泉の係官,Spring Manager
泉の係官,Spring Manager
冒険仲介係,Adventure Organizer
宿・戦技補佐,Inn / Arts Support
エリアマスター,Area Master
武具屋,Equipment Shop
素材屋,Material Shop
冒険仲介係,Adventure Organizer
武具屋,Equipment Shop
道具屋,Item Shop
宿・戦技補佐,Inn / Arts Support
道具屋,Item Shop
ジョブマスター：ウォリアー,Job Master: Warrior
店員,Waitress
エリアマスター,Area Master
冒険仲介係,Adventure Organizer
武具屋,Equipment Shop
宿・戦技補佐,Inn / Arts Support
エリアマスター,Area Master
オーブ交換：珍品／素材,Orb Exchange: Rare Items / Materials
よろず屋,General Shop
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
オーブ交換：クレスト,Orb Exchange: Crests
ジョブマスター：プリースト,Job Master: Priest
冒険仲介係,Adventure Organizer
宿・戦技補佐,Inn / Arts Support
エリアマスター,Area Master
武具屋,Equipment Shop
冒険仲介係,Adventure Organizer
ジョブマスター：シールドセージ,Job Master: Shield Sage
ジョブマスター：ソーサラー,Job Master: Sorcerer
宿・ジョブマスター：Ｅアーチャ―,Inn / Job Master: Element Archer
道具屋・ジョブマスター：ハンター,Item Shop / Job Master: Hunter
ジョブマスター：シーカー,Job Master: Seeker
エリアマスター・宿,Area Master / Inn
エリアマスター・宿,Area Master / Inn
エリアマスター,Area Master
エリアマスター,Area Master
エリアマスター,Area Master
エリアマスター・道具屋,Area Master / Item Shop
道具屋,Item Shop
復活力・ログインスタンプ,Revival Power / Login Stamp
鑑定交換,Appraisal Exchange
よろず屋,General Shop
よろず屋,General Shop
自室の管理,Room Management
戦技練習,Warfare Practice
受付,Receptionist
よろず屋,General Shop
現れしポーン,Apparent Pawn
黒呪の迷宮 案内人,Bitterblack Maze Guide
エリアマスター,Area Master
冒険ガイド・エクストリームミッション,Adventure Guide / Extreme Missions
宿・よろず屋,Inn / General Shop
クラン執務官,Clan Officer
クラン執務官,Clan Officer
クランダンジョン,Clan Dungeon
宿・転職・戦技補佐,Inn / Vocation / Arts Support
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
冒険仲介係,Adventure Organizer
エリアマスター,Area Master
宿・転職・戦技補佐,Inn / Vocation / Arts Support
よろず屋,General Shop
オーブ交換：クレスト,Orb Exchange: Crests
冒険仲介係,Adventure Organizer
エリアマスター,Area Master
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
冒険仲介係,Adventure Organizer
エリアマスター,Area Master
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
食堂,Cafeteria
冒険仲介係,Adventure Organizer
よろず屋,General Shop
宿・戦技補佐,Inn / Arts Support
冒険仲介係,Adventure Organizer
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
道具屋,Item Shop
冒険仲介係,Adventure Organizer
エリアマスター・戦技補佐,Area Master / Arts Support
ジョブマスター：スピリットランサー,Job Master: Spirit Lancer
復活力の回復,Recover Revival Power
ポーン遠征隊,Pawn Expedition Corps
グランドミッション：呼び覚まされし竜,Grand Mission: The Dragon Awakened
グランドミッション：古代神殿の死闘,Grand Mission: The Deathly Battle of the Ancient Temple
エリアマスター・紋章メダル交換,Area Master / Emblem Medal Exchange
エリアマスター・紋章メダル交換,Area Master / Emblem Medal Exchange
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
宿・転職・戦技補佐,Inn / Vocation / Arts Support
よろず屋,General Shop
武具屋,Equipment Shop
冒険仲介係,Adventure Organizer
戦技補佐,Arts Support
宿屋,Inn
よろず屋,General Shop
冒険仲介係,Adventure Organizer
オーブ交換：クレスト,Orb Exchange: Crests
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
エリアマスター・紋章メダル交換,Area Master / Emblem Medal Exchange
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
冒険仲介係,Adventure Organizer
戦技補佐,Arts Support
宿屋,Inn
武具屋,Equipment Shop
よろず屋,General Shop
冒険仲介係,Adventure Organizer
エリアマスター・紋章メダル交換,Area Master / Emblem Medal Exchange
宿・戦技補佐,Inn / Arts Support
よろず屋,General Shop
