key,old,new
ORB_GAIN_PARAM_INFO_1,全ジョブの体力の最大値が上昇する,"Increase maximum Health Points for
all vocations."
ORB_GAIN_PARAM_INFO_2,全ジョブのスタミナ最大値が上昇する,Increase maximum Stamina for all vocations.
ORB_GAIN_PARAM_INFO_3,全ジョブの筋力が上昇する,Increase Strength for all vocations.
ORB_GAIN_PARAM_INFO_4,全ジョブの物理防御力が上昇する,Increase Defense for all vocations.
ORB_GAIN_PARAM_INFO_5,全ジョブの魔力が上昇する,Increase Magick for all vocations.
ORB_GAIN_PARAM_INFO_6,全ジョブの魔法防御力が上昇する,Increase Magick Defense for all vocations.
ORB_GAIN_PARAM_INFO_7,リムポイントを受け取る,Receive Rift Crystals.
ORB_GAIN_PARAM_INFO_8,ゴールドを受け取る,Receive Gold.
ORB_GAIN_PARAM_INFO_9,全ジョブのアビリティコスト最大値が上昇する,"Increase Augment Cost Points for
all vocations."
ORB_GAIN_PARAM_INFO_10,ジュエリーの装着数が増加する,Increase number of accessory slots.
ORB_GAIN_PARAM_INFO_11,ポーンの冒険回数が上昇する,
ORB_GAIN_PARAM_INFO_12,ポーンのクラフト回数が上昇する,
ORB_GAIN_PARAM_INFO_13,ロスト状態になる確率を軽減する,Reduce odds of a pawn being lost.
ORB_GAIN_PARAM_INFO_14,メインポーンを従える契約数が増加する,Increase number of main pawn contracts.
ORB_GAIN_PARAM_INFO_15,サポートポーンを従える雇用数が増加する,Increase number of support pawn hires.
ORB_GAIN_PARAM_INFO_16,アイテムバッグの消費アイテム枠数が増加する,Increase number of usable bag slots.
ORB_GAIN_PARAM_INFO_17,アイテムバッグの素材アイテム枠数が増加する,Increase number of material bag slots.
ORB_GAIN_PARAM_INFO_18,アイテムバッグの装備アイテム枠数が増加する,Increase number of equipment bag slots.
ORB_GAIN_PARAM_INFO_19,シークレットアビリティの説明を表示,Description of secret augment.
ORB_GAIN_PARAM_INFO_20,<VAL>の体力の最大値が上昇する,Increase maximum Health Points for <VAL>.
ORB_GAIN_PARAM_INFO_21,<VAL>のスタミナ最大値が上昇する,Increase maximum Stamina for <VAL>.
ORB_GAIN_PARAM_INFO_22,<VAL>の筋力が上昇する,Increase Strength for <VAL>.
ORB_GAIN_PARAM_INFO_23,<VAL>の物理防御力が上昇する,Increase Defense for <VAL>.
ORB_GAIN_PARAM_INFO_24,<VAL>の魔力が上昇する,Increase Magick for <VAL>.
ORB_GAIN_PARAM_INFO_25,<VAL>の魔法防御力が上昇する,Increase Magick Defense for <VAL>.
ORB_GAIN_PARAM_INFO_26,アビリティの説明を表示,Description of augment.
ORB_GAIN_PARAM_INFO_27,カスタムスキルの説明を表示,Description of custom skill.
ORB_GAIN_PARAM_INFO_28,<VAL>のアビリティコスト最大値が上昇する,Increase Augment Cost Points for <VAL>.
ORB_GAIN_PARAM_INFO_29,対象ジョブの白竜の加護の説明を表示,Description of the Blessing of the White Dragon of the target vocation.
ORB_GAIN_PARAM_INFO_30,ジョブ専用アイテムバッグ枠の拡張,Increase number of job bag slots.
