old,new
"ああ、覚者さま――
どうか今一度私を――","If you would allow me another chance, Arisen..."
我らはいつも、覚者さまとともに,"We will be always by your side, Arisen."
"覚者さま、お力添えの機会
お待ちしています","I await the opportunity to lend you my strength, Arisen."
"覚者さま、どうぞ私にも同伴の許可を
リムストーンからのお声掛けを
お待ちしています","You need only call me from a Riftstone and I will gladly accompany you, Arisen."
冒険の手助けなら、いつでもいたします,I am ready whenever you should need assistance.
まだ、作業を承っておりません,I have not yet accepted a crafting request.
ご指示をお待ちしています,I await your orders.
"旅かクラフトのご用命あらば
いつでも動きます",I am ready for crafting or an expedition whenever you wish.
只今作業中ですので、お待ちください,I am crafting now. Please wait a while.
完成まで、いましばらくかかります,It will take some time before it is complete.
集中力を要しますので、会話はまた後ほど,I am concentrating now. I will speak with you later.
"救っていただき、ありがとうございます
次こそは必ずお役に――！",Thank you for saving me. It will not happen again.
"申し訳ありません、覚者さま
精進いたします","I apologize, Arisen. I will devote myself to this task."
"次こそご期待を――
この経験を生かします",I have learned from this experience. Next time I will not fail you.
