old,new
おう！　覚者様、よろしくお願いします,
どうも。遠慮しねぇで何でも言ってくださいよ,
俺の力、きっとお役に立ちますぜ,
どんな戦場でも喜んで,
こっちの準備ぁできてます。行きますか,
きっちりお守りしますんで、ご安心を,
おっ、この感じ。あの方が来ましたか,
ハッ！　何とかうまくいきましたね,
上出来だったと思いますがね,
結構な成果ですよ、こいつぁ！,
あぁ、下手うっちまいましたね。こりゃ,
お！？　悪くねぇ手ごたえだ,
うおおっ！　力が漲ってきやがる,
へっ！　次の戦闘、期待して下さいよ,
さぁてと、どっから行きましょう？,
ま、何かあったらその時考えましょう,
エモノですぜ,
敵ですよ、やりますか？,
敵か？　仕方ねぇ――！,
舐めてかかると、痛い目見そうだな。ありゃ,
チッ！　厄介そうなヤツですね,
すまねぇ！,
誰か、手ぇ貸してくれ！,
クッ！　離しやがれ、この！,
おい、冗談――だ――ろ――,
なっ――何ぃっ！？,
来やがったな！,
へっ、やりますか！,
お怪我ぁありませんでしたか？,
まっ、運動がわりにゃなりましたね,
覚者様の邪魔してんじゃねぇぞ、おう！,
よし、捕まえたぜ！！,
あぁ、大した怪我じゃありません,
楽勝ってわけにゃいきませんね,
つっ――気ぃ引き締めます――,
さすがにこりゃ、きついな――,
これ以上の無理ぁ、保障できませんよ,
おい！！　嘘だろっ、覚者様！,
食らわしてやる――,
おう、回復だ！,
どこ見てやがる、相手は俺だ！！,
よし、援護する！,
あぶねぇな！,
おう、うらぁッ！！,
食らいやがれッ！！,
そら、こいつでどうだ！,
こっちだ、打ち上げる！,
解ったぜ！,
おう、了解！,
そいつぁムリだ,
おっ、荷物の整理ですか？,
そろそろ出発ですかね？　いつでも呼んでくださいよ,
ちったぁ休んだ方が良いですぜ,
"なぁに、ちょっとくらいゆっくりしたところで
敵は逃げませんよ",
おっと、へへ――静かにしとくか――,
寝ずの番は俺にお任せを――,
何というかこう、雰囲気が変わりましたね,
へぇ、模様替えってのもいいもんですね,
先ほどエリア探索から戻りました,
覚者様、今回のエリア探索は大収穫ですぜ！,
ふーむ、ん？　ん～――,
おっ、覚者様！　庭に何かいますぜ！,
よし　これくらいか――,
これで大暴れしてみせますぜ,
気合い入れてお守りしますよ！,
このスキル、はやく戦場で活かしたいもんです,
ほぉー、こりゃ面白い戦い方ができそうじゃないですか,
戦いも結構ですが、休養ってのもイイですなぁ,
さぁてっと、今日はどこに行きますかね？,
おっ、なんですか？,
どうしたんです？　覚者様,
何が来たってお守りします！,
この間、他所でクラフトの手伝いをしたら喜ばれましたよ！,
"先日、別の覚者様に呼ばれて
ちょっくら冒険のお供をしてきましたぜ",
そう言や、別の覚者様に褒められましたよ、俺のこの装備！,
覚者様、今日は俺から戦技のご提案をさせてもらえませんかね！,
"覚者様に従ってきたおかげで
俺の意思疎通力が上がったんで！",
覚者様、今日は俺から髪型のご提案があるんですよ！,
"覚者様、新しい家財を入手されたんですか！
こりゃぁいいや！",
おっ、覚者様！　お帰りですか！,
覚者様がご無事で何より！,
長いことお戻りにならねぇんで、心配してたんですよ,
ふぅ、無事帰ってこられましたね！,
やっぱ家ってのはいいもんですねぇ、力が抜けるや,
ここにゃ敵は入ってこれません、休憩していきますか？,
ボードクエストやら依頼やら、ぬかり無く見ときましょう,
さーて、次に備えてキッチリ準備しねぇと,
今行きますぜ！,
おっと、覚者様！　待っててください,
さっ、これで！,
俺がついてます！　,
ふん、怒ってやがる！　気を付けねぇとな！,
興奮してるみてぇですね！　攻撃には注意してくださいよ！,
へっ、隙ありってな！,
ダウンしたぜ！　全力で行ってやりましょうや！,
俺の揺さぶりに耐えられるかぁ？！,
おらよ、これで弱点が丸見えだ！,
弱点を叩くってのはな、戦いの基本だぜ！,
この技で支援しますぜ！　反撃しましょうや！,
あいつの能力、下げてやりますかね！,
属性を付与！　これで攻撃してみてください！,
渾身の力で――喰らわすぜ――！,
この技を使うときが来るとはな！　覚悟しろよ！,
<COL B6FF01>《特技》限界ってのを、いっちょ超えてみせますぜ！</COL>,<COL B6FF01>[Special Skill] 限界ってのを、いっちょ超えてみせますぜ！</COL>
<COL B6FF01>《特技》おい――そろそろ全力でいくぜ！</COL>,<COL B6FF01>[Special Skill] おい――そろそろ全力でいくぜ！</COL>
<COL B6FF01>《特技》やってやるぜ、任せときな！</COL>,<COL B6FF01>[Special Skill] やってやるぜ、任せときな！</COL>
<COL B6FF01>《剛化》この渾身の力、受けてみやがれ！</COL>,<COL B6FF01>[Harden] この渾身の力、受けてみやがれ！</COL>
<COL B6FF01>《剛化》全力でぶっ潰す！</COL>,<COL B6FF01>[Harden] 全力でぶっ潰す！</COL>
<COL B6FF01>《重化》さっさと倒れた方が、いっそ楽だろうに！</COL>,<COL B6FF01>[Heavy] さっさと倒れた方が、いっそ楽だろうに！</COL>
"<COL B6FF01>《重化》調子づいてるやつから、
ぶっ飛ばしてやらぁ！</COL>",
<COL B6FF01>《癒活》立て直すぞ――癒しの加護を！</COL>,<COL B6FF01>[Restoration] 立て直すぞ――癒しの加護を！</COL>
<COL B6FF01>《癒活》傷や疲れなんぞ、気合いでどうにかならぁ！</COL>,<COL B6FF01>[Restoration] 傷や疲れなんぞ、気合いでどうにかならぁ！</COL>
<COL B6FF01>《柔化》片っ端から弱らせてやりますか！</COL>,<COL B6FF01>[Weaken] 片っ端から弱らせてやりますか！</COL>
<COL B6FF01>《柔化》能力を下げちまえば、怖くもねぇな</COL>,<COL B6FF01>[Weaken] 能力を下げちまえば、怖くもねぇな</COL>
<COL B6FF01>《集中》ありったけの魔力をぶち込んでやらぁ！</COL>,<COL B6FF01>[Concentration] ありったけの魔力をぶち込んでやらぁ！</COL>
<COL B6FF01>《集中》さーて、いっちょう集中といきますかい</COL>,<COL B6FF01>[Concentration] さーて、いっちょう集中といきますかい</COL>
<COL B6FF01>《無恐》テメェらの攻撃なんぞ、全部耐えてやらぁ！</COL>,<COL B6FF01>[Fearless] テメェらの攻撃なんぞ、全部耐えてやらぁ！</COL>
<COL B6FF01>《無恐》へっ――つまらねぇ攻撃なんぞ無視だ</COL>,<COL B6FF01>[Fearless] へっ――つまらねぇ攻撃なんぞ無視だ</COL>
