old,new
"ピレモスの食料支援も順調順調♪
準備できたから行きたいな！",
"よーし！
そうこなくっちゃね！",
"アタシはいつでも大丈夫だから
準備できたら声かけてね！",
"あ！もう準備できた？
それじゃあさっそく出発したいけど
ピレモスまでの道だけど――",
"《穏やかな野原》は、砦の近くだし
何度か行ってて安心！
あんまりたくさんの食料は見つからないけどね",
"《険しい山道》は、人通りも少ないし
なんだか手強い魔物が出そうだよ――
その分手付かずの食料はたくさん見つかるかも！",
どっちに行くかは、あなたが決めて！,
《穏やかな野原》（かんたん）,"""Calm Field"" (Easy)"
《険しい山道》（難しい）,"""Steep Mountain Path"" (Hard)"
"やっぱり、誰でも危ない橋は渡りたくないよね！
野原に橋は掛かってないけど！",
"それじゃあ
散歩気分でフラっと出発！",
"何かを得るためには、冒険しないとね！
手ごわい魔物――出ないといいなぁ",
"あなたの後ろ
ピタっと張り付いてくからヨロシクね！",
ちょっとこのあたりで食料さがしてみるね！,
"ここはもう何もなさそうだね
ここから近い場所は――と",
"《ブタの鳴く丘》は、魔物が出ることはあるけど
あなただったら“朝メシ前”かな！
食料は、あの子たちが食べてるからそんなにないよ！",
"《野営地の外れ》は
魔物がよくいるから注意は必要だけど
それなりに食料もありそうだね",
"うーん、今持ってる食料はこれだけあるけど
どっちがいいかな？",
《ブタの鳴く丘》（かんたん）,"""Pig Oinking Hill"" (Easy)"
《野営地の外れ》（ふつう）,"""Camp Outskirts"" (Normal)"
"あなたって意外と
“地道にコツコツ派”
なんだねー",
"お！
やっぱ食料、狙いたいよね！",
"魔物に追っかけ回されたけど
隙を見て食料集めといたよ！",
"ある程度なら、走りながらでも
食料探せるんだよね――アタシ！",
"あ、そうそう！
ピレモスに行く前に
檻を見に行かない？",
"ローナに罠を仕掛けてもらったからさ
何か捕れてるかもしれないし！",
"ブタさんたちものんびりお食事中だし
今の所魔物、いなさそうだね",
"よし！　食料探すよ！
ブタさんの嗅覚に、負けてられない！",
"うーん、少しは食料見つかったけど
やっぱブタさんたちの方が上か！",
"中でも三兄弟の二男坊“ミディ”は
食いしん坊だからね――",
"ほら、あそこの一番まるっとした子！
あの子が“ミディ”で、あとは――",
"いけない！
こんなことしてる場合じゃないよね！
檻の様子見て来て欲しいって頼まれたんだった！",
"ローナが罠を仕掛けてくれてさ
何か捕れてるかもしれないって！
ピレモス行く前にちょっと寄って行こ！",
"魔物に追っかけ回されたけど
隙を見て食料集めといたよ！
さて、ここから先だけど――",
"《ブタの鳴く丘》は、魔物が出ることはあるけど
あなただったら“朝メシ前”かな！
食料は、あの子たちが食べてるからそんなにないよ！",
"《野営地の外れ》は
強い魔物がいるって話だし――覚悟しなきゃ
その分、食料も期待できるけどね！",
"うーん、今持ってる食料はこれだけあるけど
どっちがいいかな？",
《ブタの鳴く丘》（かんたん）,"""Pig Oinking Hill"" (Easy)"
《野営地の外れ》（難しい）,"""Camp Outskirts"" (Hard)"
"無理は禁物だよね！
肝心の食料がなくなっちゃったら
意味がないし！",
"よ、よし！
行っちゃうか、そっち！
入れるよ！　気合いとド根性！",
"やっぱり手強いねー
この辺の魔物！",
"でも、必死で逃げる中
視界をかすめる食料は見逃さなかったけどね！
ほら、そこそこ拾えたし！",
"あ、そうそう！
ピレモスに行く前に
檻を見に行かない？",
"ローナに罠を仕掛けてもらったからさ
何か捕れてるかもしれないし！",
"さてと――
いかにも何か出て来そうな感じだけど
食料探さないと",
"あんまり離れないでね！
アタシから！",
"このあたりの魔物――やっぱ手強いよね！
食料、無事で良かったぁ",
"あ、そうそう！
ピレモスに行く前に
檻を見に行かない？",
"ローナに罠を仕掛けてもらったからさ
何か捕れてるかもしれないよ！",
"よーし！
今回は食料も十分！",
"ねぇねぇ、この勢いで――
“秘密のスポット”行っちゃわない？",
行く,Go
行かない,Don't go
"何が起きるか分からないからね
気合入れて行くよ！",
"そっか――
ちょっと残念だけど仕方ないか",
"じゃあ、このまま
ピレモスに行こっか！",
"うーん――
あまり食料はとれなかったけど
そろそろピレモスへ行こっか",
次は、別のルートも通ってみたいな！,
"“秘密のスポット”に到着！
ね――食料の匂い、すごいと思わない？
けど、何が起きるか分かんないから全力で行くよ！",
"もし魔物が出たら――
限界まで食料探しに粘りたいところだけど
どうしても危なそうだったら、さっさと
脱出するからよろしく！",
"逃げる時にはピレモス方面に向かいたいから
アタシとローナを
そこまで連れてってね！",
"では――
“食料大量大作戦”開始！",
"キャリーがここに来たいって言ってたから
先に準備しといたんだ",
"食料の気配を感じてはしゃいでるみたいだけど
――ここって魔物が多いんだよね
このまま平和に終わることを祈るばかりさ",
"キャリーは食料探しに集中すると
周りが見えなくなるから
何かあったら私たちで守らないとね",
"脱出するときは、覚者さんが
先導してくれるんだっけ？
――ま、しんがりは私に任せて",
あと！　あともうちょっとだけ待って！,
よし――いける！　すぐに脱出するよ！,
"ふぅ――
なんとか魔物どもを振り切れたね",
"あれだけの数を前にすると
さすがに生きた心地がしなかったよ",
"覚者さんが退路を切り開いてくれなかったら
正直なところ、危なかった――
さすがの腕だね",
キャリーを守ってくれてありがとう,
"あー、危ないとこだった！
食料はいっぱいあったけど
その分、命がけって感じだったね――",
"なんとか食料は守りきったし
ピレモスに行こっか！",
"ふぅー
なんとかピレモスまでたどり着いたね",
"それじゃ、運んできた食料を整理しておくから
物資管理担当のアンドレアに
一声かけてきてもらっていい？",
"こんなところまで
食料を届けに来てくれてありがとう",
"今は少しでも助けが欲しい時だから
遠慮せず頼らせてもらうわ",
"キャリーにもお礼を言っておいてね
この村には動ける人も少ないから
本当に助かってるって！",
"さてと！
無事に食料も渡せたことだし
アタシたちは砦に帰ろっか！",
"今回は無事に運べてよかったぁ！
ピレモスの人たちはまだ困ってると思うから
また、手伝ってね！",
"うーん、一番安全なルートで来たけど
食料はそんなに集まらなかったね――",
"檻の中もネズミばっかりかぁ
――さすがに食べられないよね",
"うん！　そこそこ頑張ったよね！
まぁまぁの収穫って感じだわ",
"檻にも食べられる動物かかってるし！
でかいネズミもいるけどさ――",
"わーっ、見て！　ほら、檻！
ウサギと、鹿まで入ってるよ！",
"これはかなりの食料になるね！
困難を乗り越えたアタシたちへの
ご褒美かな！",
