q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q00000002_00: The Slumbering God                                                       | 横たわる神
q00000003_00: Envoy of Reconciliation                                                  | 和解の使者
q00000004_00: Soldiers of the Rift                                                     | 異界の戦士
q00000005_00: The Dull Grey Ark                                                        | 鈍色のアーク
q00000006_00: The Girl in the Forest                                                   | 森の中の少女
q00000007_00: The House of Steam                                                       | 湯煙の館
q00000008_00: The Scent of the Forest of Illusion - Unused                             | 惑いの森の香ー未使用
q00000009_00: The Assailed Fort                                                        | 狙われた砦
q00000010_00: The Castle of Dusk                                                       | 黄昏の城
q00000011_00: The God's Awakening                                                      | 神の目覚め
q00000012_00: The Girl Clad in Darkness                                                | 闇を纏う娘
q00000013_00: The Stolen Heart                                                         | 奪われた心
q00000014_00: The Roars of a Thousand                                                  | 千の咆哮
q00000015_00: Return to Yore                                                           | いにしえに帰る
q00000016_00: A Friendly Visit                                                         | 友の来訪
q00000017_00: The Course of Life                                                       | 命の行方
q00000018_00: The Ark, Once More                                                       | アーク再び
q00000019_00: Thinking of a Friend                                                     | 友を思う
q00000020_00: The Entrusted Future                                                     | 託された未来
q00000021_00: The Quandary of Soldiers                                                 | 戦士たちの困惑
q00000022_00: The Dwellers of the Golden Land                                          | 黄金郷の住人
q00000023_00: The Golden Key                                                           | 黄金の鍵
q00000024_00: The Great Alchemist                                                      | 偉大なる錬金術師
q00000025_00: The Crimson Crystal                                                      | 紅の結晶
q00000026_00: A Servant's Pledge                                                       | しもべの契り
q00000027_00: The Goblin King                                                          | ゴブリンの王
q00000028_00: A Brief Respite                                                          | 束の間の休息
q00000029_00: The Beast's Final Moments                                                | ケモノの最期
q00000030_00: Be Forevermore, White Dragon                                             | 白竜よ永遠なれ
q00020010_00: The Storm That Brought a Tragedy                                         | 嵐が運びし厄災
q00020020_00: The Girl Who Lost Her Memories                                           | 記憶のない娘
q00020030_00: The Corruption and the Knights                                           | 侵食と騎士団
q00020040_00: Exploring the Den of Monsters                                            | 魔窟探索
q00020050_00: Eliminate the Corrosion Infestation                                      | 侵食魔掃討作戦
q00020060_00: The Man from Another Land                                                | 大陸から来た男
q00020070_00: The Fate of Lestania                                                     | レスタニアの命運
q00020080_00: A Fresh Incident                                                         | あらたな異変
q00020090_00: Negotiations                                                             | 交渉
q00020100_00: Loeg's Illness                                                           | ロイグの病
q00020110_00: A Strange Land's Light                                                   | 異郷の光
q00020120_00: The Lone Arisen                                                          | 孤高の覚者
q00020130_00: Straying Power                                                           | 彷徨えし力
q00020140_00: The Entrusted One                                                        | 託されし者
q00020150_00: A New Continent                                                          | 新大陸
q00020160_00: The Lost Hometown                                                        | 失われた故郷
q00020170_00: The Village of Soldiers                                                  | 戦士の集落
q00020180_00: Homecoming                                                               | 帰郷
q00020190_00: Gallant Footsteps                                                        | 勇敢なる足跡
q00020200_00: The Darkness of the Heart                                                | 心の闇
q00020210_00: The Spirit Land                                                          | 精霊の地
q00020220_00: Within the Tree                                                          | 侵された樹内
q00020230_00: Restoration Requirements                                                 | 復活の条件
q00020240_00: Reason and Bonds                                                         | 理と絆
q00020250_00: The New Generation                                                       | 新しい世代
q00030010_00: The Land of Despair                                                      | 絶望の大陸
q00030020_00: In Search of Hope                                                        | 希望を求めて
q00030030_00: Meirova the Veteran General                                              | 老将メイロワ
q00030040_00: The Prince's Whereabouts                                                 | 王子の行方
q00030050_00: Survivors Village                                                        | 生き残りし村
q00030060_00: The Opposition                                                           | 相反せし者たち
q00030070_00: Prince Nedo                                                              | 王子ネド
q00030080_00: The Royal Family Sacrament                                               | 王家の秘蹟
q00030090_00: The Approaching Demon Army                                               | 迫り来る魔軍
q00030100_00: Portent of Despair                                                       | 絶望の予告
q00030110_00: Diversionary Tactics                                                     | 陽動作戦
q00030120_00: The Secret Entrance                                                      | 秘密の入り口
q00030125_00: A Desperate Infiltration                                                 | 決死の潜入
q00030130_00: The Battle of Lookout Castle                                             | 展望城の戦い
q00030140_00: The Road to the Royal Capital                                            | 王都への路
q00030150_00: Rally the Troops                                                         | 再結集
q00030160_00: Attack on the Royal Capital                                              | 王都進攻
q00030170_00: An Omen of Destruction                                                   | 滅びの予兆
q00030180_00: A Brief Dragon Force                                                     | ひとときの竜力
q00030190_00: The Plight of Lookout Castle                                             | 展望城の窮地
q00030200_00: The Final Battle of the Royal Capital                                    | 王都の決戦
q00030210_00: The Missing Prince                                                       | 消えた王子
q00030220_00: Nedo's Trail                                                             | ネドの足取り
q00030230_00: The Royal Family Mausoleum                                               | 王家の墓
q00030240_00: The Dreadful Passage                                                     | 恐ろしき道
q00030250_00: The Relics of the First King                                             | 初代王の遺品
q00030260_00: Hope's Bitter End                                                        | 望みの果て
q00030270_00: Those Who Follow the Dragon                                              | 竜を継ぐ者
q00030410_00: Breakdown of Reason                                                      | 理の崩壊
q00030420_00: Spun Together Hope                                                       | 紡ぎし望み
q00030430_00: The White Dragon's Arisen                                                | 白竜の覚者
q00030440_00: The Fate of All                                                          | すべての行く末
q10300100_00: Taste of Bitter Memories                                                 | ニガい思い出の味
q10300101_00: Thines Fort                                                              | ティネス砦の食糧を調達する２
q10300102_00: The Despairing Cook "Carrie"                                             | 絶望の料理番“キャリー”
q10300103_00: Path to Food Procurement                                                 | 食料調達への道
q10300104_00: Carrie's Worry                                                           | キャリーの心配
q10300200_00: First Step to Restoring the Great Dining Hall: Kitchen                   | 大食堂復旧への第一歩　―調理場―
q10300201_00: Second Step to Restoring the Great Dining Hall: Cook Stove               | 大食堂復旧への第二歩　―釜戸―
q10300202_00: Third Step to Restoring the Great Dining Hall: Water Well                | 大食堂復旧への第三歩　―井戸―
q10300203_00: Fourth Step to Restoring the Great Dining Hall: Wine Barrel              | 大食堂復旧への第四歩　―酒樽―
q10300204_00: Signs of Restoring the Great Dining Hall                                 | 大食堂復活の兆し
q10300300_00: "Sweet" Food for Piremoth                                                | ピレモスに食糧を―《甘口》
q10300301_00: Hungry Goblin                                                            | 腹ペコのゴブリン
q10300302_00: Food for Piremoth                                                        | ピレモスに食料を―
q10300303_00: To the End of the Pursuit                                                | 追跡の果てに―
q10300400_00: "Sweet" Food for the Bandit Group Hideout                                | 盗賊団のアジトに食糧を―《甘口》
q10300401_00: Beware the Waterside?                                                    | 水辺にはご用心？
q10300402_00: Food for the Bandit Group Hideout                                        | 盗賊団のアジトに食料を―
q10300403_00: Chasing after the "Phantom Ingredient"                                   | “幻の食材”を追って―
q10300500_00: Farewell Hungry                                                          | さらば腹ペコ
q10300600_00: Complete Restoration! Fort Thines Great Dining Hall                      | 完全復活！ティネス砦大食堂
q10300700_00: Brad Part: Request for Wood Procurement Cooperation                      | 【ブラッド編】木材調達の協力依頼
q10300701_00: Lorna Part: Request for Food Procurement Cooperation                     | 【ローナ編】食料調達の協力依頼
q10300702_00: Heather Part: Search Request for the Missing Heather                     | 【ヘザー編】行方不明のヘザー捜索依頼
q10300703_00: Sunika Part: Request for Demon Subjugation Cooperation                   | 【スニーカー編】魔物討伐の協力依頼
q10300704_00: Aidan Part: Search Request for the Missing Aidan                         | 【アイダン編】行方不明のアイダン捜索依頼
q10300705_00: Carrie Part: Request for "Goblin Family" Cooperation                     | 【キャリー編】“ゴブリン一家”討伐の協力依頼
q10310100_00: Infiltrate the First Defense Area                                        | 第一防衛区画に潜入せよ
q10310101_00: Capture the Barracks and the Meeting Spot                                | 兵舎と集会場を攻略せよ
q10310200_00: Recapture! First Gate                                                    | 奪還！　第一の門
q10310300_00: Infiltrate the Second Defense Area                                       | 第二防衛区画に潜入せよ
q10310301_00: Capture the Isolation Barracks                                           | 隔離兵舎を攻略せよ
q10310302_00: Capture the Large Training Area                                          | 大演習場を攻略せよ
q10310400_00: Recapture! Second Gate                                                   | 奪還！　第二の門
q10310500_00: Rescue Prisoners from the First Defense Area                             | 第一防衛区画から捕虜を救出せよ
q10310501_00: Rescue Prisoners from the Second Defense Area                            | 第二防衛区画から捕虜を救出せよ
q10310600_00: Sonel's Memory Recovery Strategy                                         | ソネルの記憶奪還作戦
q10310601_00: I Need That Staff                                                        | ボクにはあの杖がいる
q10310602_00: Searching for a Map of the Old Well...                                   | 古井戸の地図を探して――
q10310603_00: After All, This Is Not My Staff                                          | やっぱりこれはボクの杖じゃない
q10310700_00: The Best Strategy                                                        | とっておきの作戦
q10310701_00: The Best Strategy, This Time!                                            | 今度こそとっておきの作戦
q10310702_00: Finish the Recapture                                                     | 奪還を終えて――
q10320100_00: Interrogation: Skill Warm-Up                                             | 【尋問】尋問の腕慣らし
q10320101_00: Interrogation: Suspicious Vagabond                                       | 【尋問】怪しい無頼漢
q10320200_00: Undercover: Skill Warm-Up                                                | 【潜入調査】潜入の腕慣らし
q10320201_00: Undercover: Military Police Encounter                                    | 【潜入調査】邂逅の憲兵隊
q10320202_00: Undercover: Encounter with the Already Known                             | 【潜入調査】既知との遭遇
q10320300_00: Intelligence Assessment: Skill Warm-Up                                   | 【諜報活動】諜報の腕慣らし
q10320301_00: Intelligence Assessment: Dark Night Covering Megado                      | 【諜報活動】闇夜覆うメガド
q10320400_00: Interrogation: Captive Orc                                               | 【尋問】囚われのオーク
q10320401_00: Interrogation: Fiend Grasping a Key                                      | 【尋問】鍵握る悪鬼
q10320500_00: Undercover: Suspicious Ennis                                             | 【潜入調査】疑惑のエニス
q10320501_00: Undercover: Final Battle                                                 | 【潜入調査】決定的な交戦
q10320502_00: Undercover: Resistance Hunt                                              | 【潜入調査】レジスタンス狩り
q10320601_00: Intelligence Assessment: People Rising in Revolt                         | 【諜報活動】反旗翻す者たち
q10320700_00: Calm Before the Storm                                                    | 嵐の前の静けさ
q10320701_00: Those That Cut through the Darkness                                      | 闇裂く者たち
q10320702_00: The Battle Fades Like a Dream                                            | 闘争は夢の跡
q15010001_00: B Rank Target Subjugation: Hidell Plains                                 | Bランク　指定討伐：ハイデル平原
q15010002_00: A Rank Target Subjugation: Hidell Plains                                 | Aランク　指定討伐：ハイデル平原
q15010003_00: S Rank Target Subjugation: Hidell Plains                                 | Sランク　指定討伐：ハイデル平原
q15020001_00: B Rank Target Subjugation: Deenan Woods                                  | Bランク　指定討伐：ディナン深層林
q15020002_00: A Rank Target Subjugation: Deenan Woods                                  | Aランク　指定討伐：ディナン深層林
q15020003_00: S Rank Target Subjugation: Deenan Woods                                  | Sランク　指定討伐：ディナン深層林
q15030001_00: B Rank Target Subjugation: Mysree Forest                                 | Bランク　指定討伐：ミスリウ森林
q15030002_00: A Rank Target Subjugation: Mysree Forest                                 | Aランク　指定討伐：ミスリウ森林
q15030003_00: S Rank Target Subjugation: Mysree Forest                                 | Sランク　指定討伐：ミスリウ森林
q15040001_00: B Rank Target Subjugation: Volden Mines                                  | Bランク　指定討伐：ボルド鉱山
q15040002_00: A Rank Target Subjugation: Volden Mines                                  | Aランク　指定討伐：ボルド鉱山
q15040003_00: S Rank Target Subjugation: Volden Mines                                  | Sランク　指定討伐：ボルド鉱山
q15050001_00: B Rank Target Subjugation: Dowe Valley                                   | Bランク　指定討伐：ダウ渓谷
q15050002_00: A Rank Target Subjugation: Dowe Valley                                   | Aランク　指定討伐：ダウ渓谷
q15050003_00: S Rank Target Subjugation: Dowe Valley                                   | Sランク　指定討伐：ダウ渓谷
q15060001_00: B Rank Target Subjugation: Betland Plains                                | Bランク　指定討伐：バートランド平原
q15060002_00: A Rank Target Subjugation: Betland Plains                                | Aランク　指定討伐：バートランド平原
q15060003_00: S Rank Target Subjugation: Betland Plains                                | Sランク　指定討伐：バートランド平原
q15070001_00: B Rank Target Subjugation: Zandora Wastelands                            | Bランク　指定討伐：ザンドラ禁域
q15080001_00: B Rank Target Subjugation: Mergoda Ruins                                 | Bランク　指定討伐：亡都メルゴダ
q15090001_00: Bloodbane Isle B                                                         | 魔赤島　Ｂ
q15100002_00: A Rank Target Subjugation: Morrow Forest                                 | Aランク　指定討伐：モロー樹林
