key,old,new
ABILITY_INFO_27,"弓の移動射ちの際、矢が照準からぶれなくなる
<COL ffdc78>LV UP毎にぶれ幅がさらに軽減</COL>","Keeps your arrows from flying off mark
when you loose them whilst in motion.
<COL ffdc78>LV UP: Further decreases deviation.</COL>"
ABILITY_INFO_62,"炎属性魔法によって受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decreases damage received from
Fire attribute attacks.
<COL ffdc78>LV UP: Further decreases damage.</COL>"
ABILITY_INFO_82,"エレメントチェンジで選択された属性と防御した
敵攻撃の属性が同じとき攻力吸収量がさらに増加する
<COL ffdc78>LV UP毎に攻力吸収量がより増加</COL>","Increases Force Gauge when a blocked attack
matches the element enchanted to your rod.
<COL ffdc78>LV UP: Further increases Force Gauge.</COL>"
ABILITY_INFO_111,"しがみつき時にダメージを受けても
体勢を崩されにくくなる
<COL ffdc78>LV UP毎により体勢を崩されにくくなる</COL>","Makes it harder for an enemy to throw
you off whilst you're clinging to it.
<COL ffdc78>LV UP: Further decreases likelihood of stagger.</COL>"
ABILITY_INFO_126,"マジックトラップの展開時に
より敵の体勢を崩しやすくなる
<COL ffdc78>LV UP毎に吹き飛ばし力がより増加</COL>","Increases the Blow Power of Magic Trap,
allowing it to break enemy posture more easily.
<COL ffdc78>LV UP: Further increases Blow Power.</COL>"
ABILITY_INFO_159,"瀕死状態中に回復魔法を受けたとき
体力回復速度が上昇する
<COL ffdc78>LV UP毎に回復速度がより上昇</COL>","While in a near-death state, increases
health recovery speed when affected by healing spells.
<COL ffdc78>LV UP: Further increases recovery speed.</COL>"
ABILITY_INFO_181,"リベンジゲージ満了時、魔人斬り、真・魔人斬りで
繰り出す初動攻撃の吹き飛ばし力が増加する
<COL ffdc78>LV UP毎に吹き飛ばし力がより増加</COL>","When your Revenge Gauge is consumed,
your Savage Lash and Indomitable Lash's intial
quake has increased Blow Power.
<COL ffdc78>LV UP: Further increases Blow Power.</COL>"
ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina recovery.</COL>"
ABILITY_INFO_231,"トゲや鍾乳石などの危険物との接触時に
受けるダメージ量が軽減される
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Reduces damage from hazards such as spikes
or stalactites.
<COL ffdc78>LV UP: Further reduces damage taken.</COL>"
ABILITY_INFO_405,"通常状態でのスピリットゲージの減少速度が低下する
<COL ffdc78>LV UP毎により減少速度がさらに低下</COL>","Slows the drain of the Spirit Gauge in normal mode.
<COL ffdc78>LV UP: Further slows the drain.</COL>"
ABILITY_INFO_467,"魔印の減退速度が低下する
<COL ffdc78>LV UP毎により減退速度がさらに低下</COL>","Slows the drain of Magick Glyph.
<COL ffdc78>LV UP: Further decreases the drain.</COL>"
ABILITY_INFO_4,"盾弾きの発動時に敵を気絶させやすくなる
<COL ffdc78>LV UP毎に気絶攻力がより増加</COL>","Increases the Knockout Power of perfect blocks.
<COL ffdc78>LV UP: Further increases Knockout Power.</COL>"
ABILITY_INFO_34,"仕込み爆矢射ち／降らし爆炎矢／降らし爆炎矢 剛の
起爆までの時間が延長される
<COL ffdc78>LV UP毎に時間がより延長</COL>","Extends the time period that explosive
arrows will linger before exploding.
<COL ffdc78>LV UP: Further extends time.</COL>"
ABILITY_INFO_67,"炎属性攻撃を受けても
延焼の状態異常にかかりにくくなる
<COL ffdc78>LV UP毎に状態異常値さらに軽減</COL>","Decreases the rate at which you receive
the debilitation ""Catching Fire"" when
struck by Fire attribute attacks.
<COL ffdc78>LV UP: Further increases resistance.</COL>"
ABILITY_INFO_85,"盾ガード時のスタミナ消費量が軽減される
<COL ffdc78>LV UP毎にスタミナ消費がさらに減少</COL>","Decreases the Stamina consumed when
you block attacks with your shield.
<COL ffdc78>LV UP: Further decreases Stamina consumption.</COL>"
