key,old,new
CUSTOM_SKILL_COMMAND_04_48,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_49,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_46,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_50,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_44,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_45,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_47,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_54,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_55,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_52,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_53,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_51,"セットボタンを押して詠唱、詠唱完了で発動
展開後、その場に留まることで展開時間を延長","Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_133,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_134,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_166,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_167,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_168,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_169,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_218,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_217,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion."
CUSTOM_SKILL_COMMAND_04_219,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
CUSTOM_SKILL_COMMAND_04_220,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel."
