key,old,new
CUSTOM_SKILL_NAME_01_8,一閃突き,Blink Strike
CUSTOM_SKILL_NAME_01_12,刀牙昇斬,Tusk Toss
CUSTOM_SKILL_NAME_01_10,シールドバッシュ,Cymbal Attack
CUSTOM_SKILL_NAME_01_13,天蓋斬り,Skyward Lash
CUSTOM_SKILL_NAME_01_15,逸らし斬り,Hindsight Slash
CUSTOM_SKILL_NAME_01_9,直下突き,Downthrust
CUSTOM_SKILL_NAME_01_11,センチュリオンスパイク,Sheltered Spike
CUSTOM_SKILL_NAME_01_14,円月斬り,Compass Slash
CUSTOM_SKILL_NAME_01_18,チャリオットムーブ,Moving Castle
CUSTOM_SKILL_NAME_01_16,弐段突き,Intimate Strike
CUSTOM_SKILL_NAME_01_19,流剣閃,Flowing Sword Flash
CUSTOM_SKILL_NAME_01_17,ブレイブスレイド,Brave's Raid
CUSTOM_SKILL_NAME_01_120,豪溜斬り,Pierce Slash
CUSTOM_SKILL_NAME_01_121,流盾翔,Flowing Shield Spiral
CUSTOM_SKILL_NAME_01_154,刀牙昇斬 剛,Tusk Toss (P)
CUSTOM_SKILL_NAME_01_155,刀牙昇斬 技,Tusk Toss (T)
CUSTOM_SKILL_NAME_01_174,シールドバッシュ 剛,Cymbal Attack (P)
CUSTOM_SKILL_NAME_01_175,シールドバッシュ 技,Cymbal Attack (T)
CUSTOM_SKILL_NAME_01_209,直下突き 剛,Downthrust (P)
CUSTOM_SKILL_NAME_01_210,直下突き 技,Downthrust (T)
CUSTOM_SKILL_NAME_01_211,天蓋斬り 剛,Skyward Lash (P)
CUSTOM_SKILL_NAME_01_212,天蓋斬り 技,Skyward Lash (T)
