key,old,new
NORMAL_SKILL_COMMAND_10_149,"<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Repeatedly press <KC ATTACK1>.
Further enhanced with Attack Boost."
NORMAL_SKILL_COMMAND_10_150,"<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Press <KC ATTACK1>, delay a moment
and then repeatedly press <KC ATTACK1>.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_158,"空中で<KC ATTACK1>を押す
アタックブーストで強化可能","While in the air, press <KC ATTACK1>.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_159,"<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す</KEYM>
アタックブーストで強化可能","While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>.
Further enhanced with Attack Boost."
NORMAL_SKILL_COMMAND_10_151,"<KC ATTACK2>を押す
ヒールブーストで強化可能","Press <KC ATTACK2>.
Further enhanced with Heal Boost."
NORMAL_SKILL_COMMAND_10_152,"<KC ATTACK2>を押す
ヒールブーストで強化可能","Press <KC ATTACK2>.
Further enhanced with Heal Boost."
NORMAL_SKILL_COMMAND_10_161,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_10_153,<KC AVOID>を押す,Press <KC AVOID>.
NORMAL_SKILL_COMMAND_10_155,<KC ELIXIR_CHANGE>を押す,Press <KC ELIXIR_CHANGE>.
NORMAL_SKILL_COMMAND_10_156,<KC SKILL_NORMAL1>を押す,Press <KC SKILL_NORMAL1>.
NORMAL_SKILL_COMMAND_10_162,ブースト発動中に<KC ELIXIR_CHANGE>または<KC SKILL_NORMAL1>を押す,"During boost, press <KC ELIXIR_CHANGE> or <KC SKILL_NORMAL1>."
NORMAL_SKILL_COMMAND_10_160,"しがみつき中に<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Repeatedly press <KC ATTACK1> while climbing.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_163,ブースト発動中に<KC ELIXIR_CHANGE>または<KC SKILL_NORMAL1>を押す,"During boost, press <KC ELIXIR_CHANGE> or <KC SKILL_NORMAL1>."
