key,old,new
NORMAL_SKILL_INFO_10_149,槍による連撃を繰り出す,Stab continuously with the lance.
NORMAL_SKILL_INFO_10_150,槍を振り払う広範囲攻撃を繰り出す,Swing the lance continuously over a wide range.
NORMAL_SKILL_INFO_10_158,"空中から槍を地面に突き立てる
高所から行うことで威力が上昇する","Stab the lance into the ground from above.
The power of the attack increases when performed from higher altitudes."
NORMAL_SKILL_INFO_10_159,空中で槍を振り払う,Swing the lance in mid-air.
NORMAL_SKILL_INFO_10_151,"体力回復効果のある霊球を展開する
敵に接近して使用すると敵に吸着させることが可能
空中発動可能
<COL ffdc78>LV UPで展開時間が延長される
＜エイド・モール＞に進化</COL>","Deploy a spiritual sphere that recovers health.
The sphere will stick to enemies when cast nearby them.
Can be used mid-air.
<COL ffdc78>LV UP: Becomes Aid More and sphere duration is
extended.</COL>"
NORMAL_SKILL_INFO_10_152,"体力回復効果のある霊球を
より長時間展開する
敵に接近して使用すると敵に吸着させることが可能
空中でも発動可能","Deploy a spiritual sphere that recovers health.
The sphere will stick to enemies when cast nearby them.
The duration of the sphere is extended.
Can be used mid-air."
NORMAL_SKILL_INFO_10_161,敵に吹き飛ばされた際に転倒を回避する,Avoid falls when knocked away by enemies.
NORMAL_SKILL_INFO_10_153,"身を屈めて敵の攻撃を避ける
直前で回避することで霊力を溜めることも可能
アタックブースト／ヒールブーストで
移動距離上昇","Duck and avoid enemy attacks.
It is possible to increase the Spirit Gauge by
avoiding attacks with decent timing.
Evasive distance is increased while in
Attack Boost/Heal Boost."
NORMAL_SKILL_INFO_10_155,一時的に自身の攻撃スキルの性能を強化する,Temporarily enhance attack skills.
NORMAL_SKILL_INFO_10_156,"一時的に自身の支援スキルに
攻撃力強化の効果を上乗せする
また、発動すると味方全員の体力を回復すると
同時に全状態異常耐性を大幅に強化する","Temporarily enhance support skills.
Also, when activated, it will restore the health of allies
and significantly strengthen their resistance toward all
status abnormalities."
NORMAL_SKILL_INFO_10_162,霊力を一定量消費し、ブーストを解除する,"Consume a portion of the Spirit Gauge,
and cancel the active boost."
NORMAL_SKILL_INFO_10_160,"しがみついた状態から、槍を突き刺す
ボタン連打で攻撃回数が増加する","While climbing an enemy, pierce them with
the lance. Pressing the button repeatedly increases the 
number of attacks."
NORMAL_SKILL_INFO_10_163,霊力を一定量消費し、ブーストを解除する,"Consume a portion of the Spirit Gauge,
and cancel the active boost."
