key,old,new
NORMAL_SKILL_NAME_05_70,シールドブロウ,Shield Blow
NORMAL_SKILL_NAME_05_83,シールドストライク,Shield Strike
NORMAL_SKILL_NAME_05_72,エレメントチェンジ,Element Change
NORMAL_SKILL_NAME_05_73,ペンタエレメントチェンジ,Penta Element Change
NORMAL_SKILL_NAME_05_74,フォースガード,Force Guard
NORMAL_SKILL_NAME_05_75,シールドロック,Shield Lock
NORMAL_SKILL_NAME_05_76,フォースゲイン,Force Gain
NORMAL_SKILL_NAME_05_77,フォースバースト,Force Burst
NORMAL_SKILL_NAME_05_78,アトラクト,Attract
NORMAL_SKILL_NAME_05_79,モアアトラクト,More Attract
NORMAL_SKILL_NAME_05_80,フォースエンチャント,Force Enchantment
NORMAL_SKILL_NAME_05_81,シールドシーケンス,Shield Sequence
NORMAL_SKILL_NAME_05_91,ウィークライト,Weak Light
