key,old,new
areamaster_msg_rank,Rank,Rank
areamaster_msg_questhint_e,Quest Hint,Quest Hint
areamaster_msg_questhint_j,クエストヒント,Quest Hint
areamaster_msg_abstraction,概要,Summary
areamaster_msg_reward,報酬,Rewards
areamaster_msg_bought,購入済み,Bought
areamaster_msg_recommend,推奨,Recommended
areamaster_msg_masking,？？？,???
areamaster_msg_mainreward,メイン報酬,Main Reward
areamaster_msg_clearbonus,クリアボーナス,Clear Bonus
areamaster_msg_price,情報料金,Information Fee
areamaster_msg_button_buy,情報購入,Purchase Information
areamaster_msg_dialog_buy,"<VAL GOLD>を消費して<NAME QUEST>のクエスト情報を購入します
よろしいですか？","Are you sure you want to spend
<VAL GOLD> to purchase quest information for
<NAME QUEST>?"
areamaster_msg_title_e,Area Status,Area Status
areamaster_msg_spot_info,スポット情報,Spot Information
areamaster_msg_populator,入手可能アイテム,Available Items
areamaster_msg_title_j,エリア説明,Area Status
areamaster_msg_areacontribution_e,エリア名声度,Area Reputation
areamaster_msg_areacontribution_j,Area Reputation ,Area Reputation
areamaster_msg_rankbonus,ランクボーナス,Rank Bonus
areamaster_msg_contribution,名声度,Reputation
areamaster_msg_next,次のランクアップまで,Next Rank
areamaster_msg_ap_thisweek,今週のポイント,Points This Week
areamaster_msg_weekly,Weekly,Weekly
areamaster_msg_last_week,先週,Last Week
areamaster_msg_this_week,今週,This Week
areamaster_msg_bonus_point,Bonus Point,Bonus Point
areamaster_msg_limited_bonus,期間限定ボーナス,Limited Time Bonus
areamaster_msg_target,Target,Target
areamaster_msg_point,Point,Point
areamaster_msg_clear,Clear,Clear
areamaster_msg_total,Total,Total
areamaster_msg_bonus,Bonus,Bonus
areamaster_msg_map_title,Area Map,Area Map
areamaster_msg_equal,＝,＝
areamaster_msg_mul,×,×
areamaster_msg_area_point_title,エリア名声度：<NAME AREA_NAME>,Area Reputation: <NAME AREA_NAME>
areamaster_msg_checkmap,地図で確認,Check Map
areamaster_msg_mergodahint,"「マップ」から
「亡都メルゴダ　下層」「亡都メルゴダ　王宮層」の
マップが確認できるようになりました
エリアマスターから知りえるワールドクエスト情報
および、スポット情報の確認に利用しましょう","From the ""Map"" option,
you can now view area and world quest information that you have available
for the following areas:
""Mergoda Ruins: Lower Level"" ""Mergoda Ruins: Royal Palace Level"".
Let's use it to confirm spot information."
areamaster_msg_spotmask,？？？？？,?????
areamaster_msg_detectedquest,公開クエスト,Discovered Quests
areamaster_msg_undetectedquest,未公開クエスト,Undiscovered Quests
areamaster_msg_no_watch,今のところ警戒情報はない,There is no warning information so far
areamaster_msg_close,現在は封鎖されている,Currently blocked
areamaster_msg_gold,<VAL GOLD>,<VAL GOLD>
areamaster_msg_rim,<VAL RIM>,<VAL RIM>
areamaster_msg_xp,<VAL XP>,<VAL XP>
areamaster_msg_disable_koukendo,パーティーリーダーしか閲覧できません,Only viewable by the Party Leader
areamaster_msg_blank,-,-
areamaster_msg_tab_rewardlist,支援品　一覧,Support Goods List
areamaster_msg_tab_bonus,名声度,Reputation
areamaster_msg_point_first,<VAL> <UNIT AP> ～,<VAL> <UNIT AP> ～
areamaster_msg_point_end,～ <VAL> <UNIT AP>,～ <VAL> <UNIT AP>
areamaster_msg_point_bet,<VAL> <UNIT AP> ～ <VAL> <UNIT AP>,<VAL> <UNIT AP> ～ <VAL> <UNIT AP>
areamaster_msg_area_trial,特殊条件,Trial
areamaster_msg_item_num, × <VAL>, × <VAL>
areamaster_msg_header_recommend_level,推奨レベル,Recommended Level
areamaster_msg_header_spot,スポット,Spot
areamaster_msg_header_item_rank,入手IR,Obtain IR
areamaster_msg_header_hot_spot,ホットスポット,Hotspot
areamaster_msg_header_expedition_num,派遣数,Dispatch Num
areamaster_msg_spot_open,<COL ffdc78>現在開放中！</COL>閉鎖まで,
areamaster_msg_spot_close,現在は開放されていません。開放まで,
areamaster_msg_release_condition,解放条件,Unlock Conditions
areamaster_msg_release_rank,エリアランク<VAL>に到達,Reach Area Rank <VAL>
areamaster_msg_release_personal_quest,クエスト＜<VAL>＞を進行、またはクリア,"Progress or clear quest ""<VAL>"""
areamaster_msg_release_limited,特定の時間帯にのみ開放,Only available at specific times
areamaster_msg_hot_growth_spot,<COL ffdc78>スポットボス</COL>出現中！,<COL ffdc78>Spot Boss</COL> has appeared!
