key,old,new
ARISEN_CARD_TEXT_ARISENCARD,Arisen Profile,
ARISEN_CARD_TEXT_ARISENCARDJP,覚者プロフィール,Arisen Profile
ARISEN_CARD_TEXT_PAWNCARD,Pawn Profile,
ARISEN_CARD_TEXT_PAWNCARDJP,ポーンプロフィール,Pawn Profile
ARISEN_CARD_TEXT_CARDMENU,プロフィールの編集,Edit Profile
ARISEN_CARD_TEXT_CLAN,Clan,
ARISEN_CARD_TEXT_RANK,RANK.,
ARISEN_CARD_TEXT_MEMBER,メンバー数,Members
ARISEN_CARD_TEXT_JOBLV,Job LV,
ARISEN_CARD_TEXT_PROFILE,Profile,
ARISEN_CARD_TEXT_LV,LV.,
ARISEN_CARD_TEXT_LGOAL,冒険目的,Adventure Goal
ARISEN_CARD_TEXT_SGOAL,活動場所,Activity Location
ARISEN_CARD_TEXT_STYLE,プレイスタイル,Play Style
ARISEN_CARD_TEXT_TABPROFILE,プロフィール,Profile
ARISEN_CARD_TEXT_TABSTATUS,ステータス,Status
ARISEN_CARD_TEXT_TABSKILLABI,スキル・アビリティ,Skills / Augments
ARISEN_CARD_TEXT_TABHISTORY,ヒストリー,History
ARISEN_CARD_TEXT_TABPLAYER,功績・竜力の継承,Achievement / Dragon Force
ARISEN_CARD_TEXT_TABPAWN,育成・竜力の継承,Training / Dragon Force
ARISEN_CARD_TEXT_STATUS,General,Status
ARISEN_CARD_TEXT_PHYSICALATK,物理攻撃力,Physical Attack
ARISEN_CARD_TEXT_MAGICALATK,魔法攻撃力,Magick Attack
ARISEN_CARD_TEXT_PHYSICALDEF,物理防御力,Physical Defense
ARISEN_CARD_TEXT_MAGICALDEF,魔法防御力,Magick Defense
ARISEN_CARD_TEXT_OFFENCE,Attack,
ARISEN_CARD_TEXT_STRENGTH,筋力,Strength
ARISEN_CARD_TEXT_CHANCEATK,チャンス攻力,Chance Attack
ARISEN_CARD_TEXT_TIREDATK,疲労攻力,Exhaust Attack
ARISEN_CARD_TEXT_KNOCKEDATK,気絶攻力,Knockout Power
ARISEN_CARD_TEXT_DEFENCE,Defense,Defense
ARISEN_CARD_TEXT_DEFPWR,耐久力,Endurance
ARISEN_CARD_TEXT_CUREPWR,生命治癒力,Healing Power
ARISEN_CARD_TEXT_ELEMENT,Resistance,
ARISEN_CARD_TEXT_PARCENT,<VAL> %,
ARISEN_CARD_TEXT_SLASH,/ <VAL>,
ARISEN_CARD_TEXT_CM,<VAL> cm,
ARISEN_CARD_TEXT_KG,<VAL>,
ARISEN_CARD_TEXT_SKILL,Skills,
ARISEN_CARD_TEXT_ABILITY,Abilities,Augments
ARISEN_CARD_TEXT_CUSTOMSKILL,カスタムスキル,Custom Skill
ARISEN_CARD_TEXT_NORMALSKILL,ノーマルスキル,Core Skill
ARISEN_CARD_TEXT_COST,Cost,
ARISEN_CARD_TEXT_CRAFT,Craft,
ARISEN_CARD_TEXT_PHARMACY,生産作業スピード,Production Speed
ARISEN_CARD_TEXT_FORGING,装備の強化技術,Equipment Enhancement
ARISEN_CARD_TEXT_SEWING,高品質装備の作成力,Equipment Quality
ARISEN_CARD_TEXT_CHASING,消耗品の生産数アップ,Consumable Quantity
ARISEN_CARD_TEXT_HERMETIC,コストパフォーマンス,Cost Performance
ARISEN_CARD_TEXT_OWNER,覚者：,Arisen: 
ARISEN_CARD_TEXT_CHARACTER,性格：,Personality: 
ARISEN_CARD_TEXT_HP,HP,
ARISEN_CARD_TEXT_ST,ST,
ARISEN_CARD_TEXT_NOJOIN,クランには所属していません。,Does not belong to a clan.
ARISEN_CARD_TEXT_ADV,冒険,
ARISEN_CARD_TEXT_BATTLE,戦闘,
ARISEN_CARD_TEXT_GATHER,収集,
ARISEN_CARD_TEXT_GROW,成長,
ARISEN_CARD_TEXT_OHTER,その他,
ARISEN_CARD_TEXT_ORBTITLE,- Orb Tree -,
ARISEN_CARD_TEXT_CLASS,Class <VAL>,
ARISEN_CARD_TEXT_TOTALVALUE,総合評価,Comprehensive Evaluation
ARISEN_CARD_TEXT_RENTALNUM,レンタル回数,Rental Total
ARISEN_CARD_TEXT_BATTLENUM,敵の討伐数,Enemies Defeated
ARISEN_CARD_TEXT_CRAFTNUM,クラフト回数,Craft Total
ARISEN_CARD_TEXT_LOOKSVALUE,外見平均評価,Average Appearance Rating
ARISEN_CARD_TEXT_BATTLEVALUE,冒険平均評価,Average Combat Rating
ARISEN_CARD_TEXT_CRAFTVALUE,クラフト平均評価,Average Craft Rating
ARISEN_CARD_TEXT_EDITPROFILE,プロフィールの編集,Edit Profile
ARISEN_CARD_TEXT_CHANGEBG,背景の変更,Change Background
ARISEN_CARD_TEXT_CHANGEPOSE,ポーズの変更,Change Pose
ARISEN_CARD_TEXT_CHANGEMYTITLE,称号の変更,Change Title
ARISEN_CARD_TEXT_HISTORY,History,
ARISEN_CARD_TEXT_MAGIC,魔力,Magick
ARISEN_CARD_TEXT_KNOCKBACK,吹き飛ばし力,Blow Power
ARISEN_CARD_TEXT_NOSKILL,なし,None
ARISEN_CARD_TEXT_TITLE,称号,Title
ARISEN_CARD_TEXT_NOTITLE,称号設定なし,No Title Set
ARISEN_CARD_TEXT_INVITEPARTY,パーティー参加,Party Setting
ARISEN_CARD_TEXT_HISTORYGETACHIEVE,<VAL> を獲得しました,Earned achievement <VAL>
ARISEN_CARD_TEXT_ACHIEVEMENT,アチーブメント,Achievement
ARISEN_CARD_TEXT_RENTAL,Rental,
ARISEN_CARD_TEXT_BATTLEUSENUM,残り冒険回数,Remaining Adventures
ARISEN_CARD_TEXT_CRAFTUSENUM,残りクラフト回数,Remaining Crafts
ARISEN_CARD_TEXT_RENTALVALUE,レンタルコスト,Rental Cost
ARISEN_CARD_TEXT_NOWRENTAL,レンタル中,Currently Renting
ARISEN_CARD_TEXT_SENID,,
ARISEN_CARD_TEXT_PLAYABLEJOB,遊びたいジョブ,Preferred Job
ARISEN_CARD_TEXT_PT_OK,許可する,Allowed
ARISEN_CARD_TEXT_PT_NG,許可しない,Disallowed
ARISEN_CARD_TEXT_NLV,Next,
ARISEN_CARD_TEXT_XP,XP,
ARISEN_CARD_TEXT_NOHISTORY,履歴はありません,There is no history.
ARISEN_CARD_TEXT_RENTALHISTORY,レンタル履歴,Rental History
ARISEN_CARD_TEXT_DATING,日付,Date
ARISEN_CARD_TEXT_PARTNER,Partner,Partner
ARISEN_CARD_TEXT_LIKABILITY,プレゼントした数,Number of Presents
ARISEN_CARD_TEXT_ORB_TREE,竜力の継承,
ARISEN_CARD_TEXT_ORB_TREE_2,戦技の継承,
ARISEN_CARD_TEXT_ORB_TREE_3,絶技の継承,
ARISEN_CARD_TEXT_PAWNTHINK_TITLE,ポーン戦術育成,Pawn Tactics Training
ARISEN_CARD_TEXT_PAWNTHINK_TOTALNUM,育成LV,Training LV
ARISEN_CARD_TEXT_PSPSKILL_1,特技,Special Skills
ARISEN_CARD_TEXT_PSPSKILL_2,特技の詳細,Special Skill Details
ARISEN_CARD_TEXT_TABSKILL,スキル,Skills
ARISEN_CARD_TEXT_TABPLAYER2,功績,Achievements
ARISEN_CARD_TEXT_TABPAWN2,育成,Training
