key,old,new
MandraBook_msg001,Mandragora Dictionary,Mandragora Observation Journal
MandraBook_msg002,マンドラゴラ生態図鑑,Mandragora Observation Journal
MandraBook_msg003,Category,
MandraBook_msg004,リスト,List
MandraBook_msg005,No.,No.
MandraBook_msg006,NEW,NEW
MandraBook_msg007,項目はありません,
MandraBook_msg008,Rarity,Rarity
MandraBook_msg009,Details,Details
MandraBook_msg010,First Discovery,First Discovery
MandraBook_msg011,見た目を変更する,Change Appearance
MandraBook_msg012,"<VAL>に
見た目を変更しますか？","Change the appearance of
<VAL>?"
MandraBook_msg013,<VAL>の見た目を変更しました,
MandraBook_msg014,生態を確認する,Review Observation
MandraBook_msg015,設定中,Current
