key,old,new
RIM_POP_MSG_HEADER_M_HEADER,検索条件,Search Criteria
RIM_POP_MSG_CHARACTER_M_JOB,ジョブ,Job
RIM_POP_MSG_CHARACTER_M_LV,ジョブレベル指定,Specify Vocation Level
RIM_POP_MSG_CHARACTER_M_SKILL,スキル,Skill
RIM_POP_MSG_CHARACTER_M_CHARACTER,性別,Gender
RIM_POP_MSG_M_ALL,全て,All
RIM_POP_MSG_M_UP,以上,Min
RIM_POP_MSG_SKILL_M_LV,クラフトレベル,Craft Level
RIM_POP_MSG_SKILL_M_SKILL00,クラフトスキル,Craft Skills
RIM_POP_MSG_SKILL_M_SKILL01,生産作業スピード,Production Speed
RIM_POP_MSG_SKILL_M_SKILL02,装備の強化技術,Equipment Enhancement
RIM_POP_MSG_SKILL_M_SKILL03,高品質装備の作成力,Equipment Quality
RIM_POP_MSG_SKILL_M_SKILL04,消耗品の生産数アップ,Consumable Quantity
RIM_POP_MSG_SKILL_M_SKILL05,コストパフォーマンス,Cost Performance
RIM_POP_MSG_OWNER_M_OWNER,オーナー名の指定,Owner Name
RIM_POP_MSG_OWNER_M_FIRST,First Name,
RIM_POP_MSG_OWNER_M_FAMILY,Family Name,Last Name
RIM_POP_MSG_OWNER_M_PAWN,ポーンの名前を指定,Pawn Name
RIM_POP_MSG_BTN_SEARCH,検索する,Search
RIM_POP_MSG_M_DOWN,以下,Maximum
RIM_POP_MSG_M_GENDER_ALL,指定なし,Any
RIM_POP_MSG_M_GENDER_MALE,男性,Male
RIM_POP_MSG_M_GENDER_FEMALE,女性,Female
RIM_POP_MSG_SEARCH_JOB,ジョブ,Job
RIM_POP_MSG_SEARCH_CRAFTSKILL,クラフトスキル,Craft Skills
RIM_POP_MSG_CHARACTER_M_IR,アイテムランク指定,Specify Item Rank
RIM_POP_MSG_SEARCH_DRASKILL,ドラゴンアビリティ,
