key,old,new
msg_SUB_MENU_PROFILE,覚者プロフィールを見る,View Arisen Profile
msg_SUB_MENU_STATUS,ステータス・装備を確認する,View Status and Equipment
msg_SUB_MENU_TELL,話しかける(Tell),Send Tell
msg_SUB_MENU_FRIEND,フレンド申請をする,Send Friend Request
msg_SUB_MENU_KICK,パーティーから外す,Kick from Party
msg_SUB_MENU_LEADER,パーティーリーダーに任命する,Promote to Party Leader
msg_SUB_MENU_CANCEL_INVITE,パーティー勧誘をやめる,Cancel Party Invite
msg_SUB_MENU_INVITE,パーティーに誘う,Invite to Party
msg_SUB_MENU_PARTY_DETAIL,パーティーメンバーの確認,View Party List
msg_SUB_MENU_PARTY_JOIN,パーティーに参加する,Accept Party Invite
msg_SUB_MENU_PARTY_DECLINE,パーティー勧誘を断る,Decline Party Invite
msg_SUB_MENU_APPLY_CLAN,クランへの加入申請をする,Apply to Clan
msg_SUB_MENU_CANCEL_APPLY_CLAN,クランへの加入申請を取り消す,Cancel Clan Application
msg_SUB_MENU_ALLOW_APPLY_CLAN,クランへの加入を許可する,Accept Application
msg_SUB_MENU_DENY_APPLY_CLAN,クランへの加入を拒否する,Decline Application
msg_SUB_MENU_CLAN_DETAIL,クラン詳細情報,Clan Information
msg_SUB_MENU_CLAN_INVITE,クランに勧誘する,Invite to Clan
msg_SUB_MENU_CANCEL_CLAN_INVITE,クランへの誘いを取り消す,Cancel Clan Invite
msg_SUB_MENU_ALLOW_INVITE_CLAN,クランからの誘いを許可する,Accept Clan Invite
msg_SUB_MENU_DENY_INVITE_CLAN,クランからの誘いを拒否する,Deny Clan Invite
msg_SUB_MENU_EXPEL_CLAN_MEMBER,クランから除名する,Expel from Clan
msg_SUB_MENU_CHANGE_CLAN_MASTER,クランマスターを委譲する,Transfer Clan Master
msg_SUB_MENU_SET_CLAN_LEADER,クランサブマスターに任命する,Promote to Leader
msg_SUB_MENU_RESET_CLAN_LEADER,クランサブマスターを解除する,Remove Leader Status
msg_SUB_MENU_CANCEL_FRIEND,フレンド申請を取り消す,Cancel Friend Request
msg_SUB_MENU_ALLOW_APPLY_FRIEND,フレンド申請を許可する,Accept Friend Request
msg_SUB_MENU_DENY_APPLY_FRIEND,フレンド申請を拒否する,Decline Friend Request
msg_SUB_MENU_REMOVE_FRIEND,フレンドを解除する,Remove from Friends
msg_SUB_MENU_FAVORITE_FRIEND,フレンドお気に入り登録,Add Friend to Favorites
msg_SUB_MENU_FAVORITE_PAWN,ポーンお気に入り登録,Add Pawn to Favorites
