key,old,new
ARISENCARD_BACKGROUND_INFO_1,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_2,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_3,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_4,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_5,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_6,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_7,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_8,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_9,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_10,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_11,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_12,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_13,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_14,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_15,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_16,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_17,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_18,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_19,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_20,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_21,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_22,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_23,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_24,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_25,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_26,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_27,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_28,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_29,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_30,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_31,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_32,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_33,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_34,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_35,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_36,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_37,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_38,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_39,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_40,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_41,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_42,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_43,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_44,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_45,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_46,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_47,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_48,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_49,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_50,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_51,最初から使用可能,Available by default
ARISENCARD_BACKGROUND_INFO_52,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_53,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_54,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_55,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
ARISENCARD_BACKGROUND_INFO_56,アチーブメント合計達成数 <VAL>個で獲得,Accomplish <VAL> achievements
