key,old,new
EDIT_MSG_TYPE_VOICE_VAL,ボイス<VAL>,Voice <VAL>
EDIT_MSG_TYPE_VOICE_VAL_M_SP4,ボイス<VAL> （神谷浩史）,Voice <VAL> Hiroshi Kamiya (神谷浩史)
EDIT_MSG_TYPE_VOICE_VAL_M_SP5,ボイス<VAL> （中村悠一）,Voice <VAL> Yuichi Nakamura (中村悠一)
EDIT_MSG_TYPE_VOICE_VAL_M_SP6,ボイス<VAL> （安元洋貴）,Voice <VAL> Hiroki Yasumoto (安元洋貴)
EDIT_MSG_TYPE_VOICE_VAL_M_SP7,ボイス<VAL> （柿原徹也）,Voice <VAL> Tetsuya Kakihara (柿原徹也)
EDIT_MSG_TYPE_VOICE_VAL_F_SP4,ボイス<VAL> （水樹奈々）,Voice <VAL> Nana Mizuki (水樹奈々)
EDIT_MSG_TYPE_VOICE_VAL_F_SP5,ボイス<VAL> （坂本真綾）,Voice <VAL> Maaya Sakamoto (坂本真綾)
EDIT_MSG_TYPE_VOICE_VAL_F_SP6,ボイス<VAL> （田中理恵）,Voice <VAL> Rie Tanaka (田中理恵)
EDIT_MSG_TYPE_VOICE_VAL_F_SP7,ボイス<VAL> （斎藤千和）,Voice <VAL> Chiwa Saito (斎藤千和)
EDIT_MSG_TYPE_VOICE_VAL_M_SP8,ボイス<VAL> （櫻井孝宏）,Voice <VAL> Takahiro Sakurai (櫻井孝宏)
EDIT_MSG_TYPE_VOICE_VAL_M_SP9,ボイス<VAL> （森川智之）,Voice <VAL> Toshiyuki Morikawa (森川智之)
EDIT_MSG_TYPE_VOICE_VAL_F_SP8,ボイス<VAL> （堀江由衣）,Voice <VAL> Yui Horie (堀江由衣)
EDIT_MSG_TYPE_VOICE_VAL_F_SP9,ボイス<VAL> （加藤英美里）,Voice <VAL> Emiri Kato (加藤英美里)
EDIT_MSG_TYPE_VOICE_VAL_M_SP10,ボイス<VAL> （梶裕貴）,Voice <VAL> Yuki Kaji (梶裕貴)
EDIT_MSG_TYPE_VOICE_VAL_F_SP10,ボイス<VAL> （早見沙織）,Voice <VAL> Saori Hayami (早見沙織)
