key,old,new
CLAN_EDHIT_MSG_NAME,クランの名前,Clan name
CLAN_EDHIT_MSG_NAME_S,クランの略称,Clan tag
CLAN_EDHIT_MSG_MOTTO,モットー,Motto
CLAN_EDHIT_MSG_ATIME,活動時間帯,Time active
CLAN_EDHIT_MSG_STYLE,クランの特徴,Style
CLAN_EDHIT_MSG_INFO,紹介メッセージ,Introduction
CLAN_EDHIT_MSG_BOARD,メンバーへのメッセージ,Message to Members
CLAN_EDHIT_MSG_ACHECK,すべてにチェック,Check All
CLAN_EDHIT_MSG_STATUS,ステータス,Status
CLAN_EDHIT_MSG_MEMBER,メンバー,Member
CLAN_EDHIT_MSG_MISSION,ミッション,Mission
CLAN_EDHIT_MSG_REWARDS,リワード,Reward
CLAN_EDHIT_MSG_HISTORY,歴史,History
CLAN_EDHIT_MSG_OPEN_INFO,公開情報,Public Information
CLAN_EDHIT_MSG_OK,完了,OK
CLAN_EDHIT_MSG_CANCEL,中止,Cancel
CLAN_EDHIT_MSG_NAME_INPUT_TITLE,クランの名前を設定,Enter clan name
CLAN_EDHIT_MSG_NAME_INPUT_TEXT,"注意事項
・半角２文字～１２文字まで入力可能です
・半角英数字と一部の記号 '.,:;!?&-_ が使用可能です","Notes:
・You can input up to 2 to 12 characters.
・Alphanumeric characters and some symbols '.,:;!?&-_ can be used."
CLAN_EDHIT_MSG_NAME_S_INPUT_TITLE,クランの略称を設定,Enter clan tag
CLAN_EDHIT_MSG_NAME_S_INPUT_TEXT,"注意事項
・半角２文字～３文字まで入力可能です
・半角英数字と一部の記号 '.,:;!?&-_ が使用可能です","Notes:
・You can input up to 2 to 3 characters.
・Alphanumeric characters and some symbols '.,:;!?&-_ can be used."
CLAN_EDIT_BBS,伝言メモ,Message
CLAN_EDIT_INDEX_EN,Clan Edit,
CLAN_EDIT_INDEX_JP,クラン編集,Clan Edit
