key,old,new
GMD_CLAN_LIST_TAB_JOIN_REQ,加入希望者リスト,Applications
GMD_CLAN_LIST_TAB_INVITE,招待リスト,Invitations
GMD_CLAN_LIST_TAB_APPLY,加入申請中リスト,Applications
GMD_CLAN_LIST_TAB_INVITED,スカウトエントリー招待,Invitations
GMD_CLAN_LIST_TOP_EN,Clan List,Clan List
GMD_CLAN_LIST_TOP_JP,クランリスト,Clan List
GMD_CLAN_LIST_COLUMN_NAME,名前,Name
GMD_CLAN_LIST_COLUMN_CLAN,クラン,Clan
GMD_CLAN_LIST_COLUMN_DATE,日付,Date
GMD_CLAN_LIST_NO_JOIN_REQ,加入申請がありません,There are no applicants.
GMD_CLAN_LIST_NO_INVITE,招待していません,There are no invitations.
GMD_CLAN_LIST_NO_APPLY,加入申請していません,Not currently applying for membership.
GMD_CLAN_LIST_NO_INVITED,招待されていません,Not currently invited to join.
GMD_CLAN_LIST_TAB_INVITED_DIRECT,直接招待,Direct Invites
