key,old,new
CLAN_SCOUT_MSG_RANK,ランク,Rank
CLAN_SCOUT_MSG_MEMBER,メンバー数,Members Count
CLAN_SCOUT_MSG_MOTTO,モットー,Motto
CLAN_SCOUT_MSG_ATIME,活動時間帯,Active Time Zone
CLAN_SCOUT_MSG_STYLE,特徴,Style
CLAN_SCOUT_MSG_NAME,名前,Name
CLAN_SCOUT_MSG_JOB,ジョブ,Job
CLAN_SCOUT_MSG_COMMENT_E,Comment,
CLAN_SCOUT_MSG_COMMENT_J,コメント,Comment
CLAN_SCOUT_MSG_SUBMENU,サブメニュー,Submenu
CLAN_SCOUT_MSG_INFO,スカウト申請のメッセージを入力してください,Please enter the applicant scout message.
CLAN_SCOUT_MSG_OK,完了,Complete
CLAN_SCOUT_MSG_CANCEL,キャンセル,Cancel
CLAN_SCOUT_MSG_DECIDE,決定,Confirm
CLAN_SCOUT_MSG_VAL,<VAL>,
CLAN_SCOUT_MSG_VAL_MD,<VAL>/<VAL MAX>,
CLAN_SCOUT_MSG_ORLESS,<VAL>以下,Below <VAL>
CLAN_SCOUT_MSG_ORLESS_P,%d名以下,Below %d people.
CLAN_SCOUT_RANK_LIMIT,%d～%dまで,
CLAN_SCOUT_MEMBER_LIMIT,%d～%d人まで,
CLAN_SCOUT_MEMBER_NUM,<VAL>名,<VAL> People
CLAN_SCOUT_INDEX_EN,Scout Entry,Scout Entry
CLAN_SCOUT_INDEX_JP,スカウトエントリー,Scout Entry
CLAN_SCOUT_COMMENT_EN,コメント,Comment
CLAN_SCOUT_COMMENT_JP,Comment,
CLAN_SCOUT_JOB_LV,ジョブ,Job
CLAN_SCOUT_NAME,名前,Name
CLAN_SCOUT_ANNOUNCE,スカウト申請のメッセージを入力してください,Please enter the applicant scout message.
CLAN_SCOUT_NOENTRY,スカウトエントリーがありません,There is no scout entries.
CLAN_SCOUT_NO_SPECIFIED,指定なし,Unspecified
