key,old,new
ana_cmd_error,そのコマンドは実行できません,The command could not be executed.
ana_mprofile_off,"パーティーへの参加希望をOFFにします。よろしいですか？
受け取ったパーティーへの誘いは取り消されます",
ana_recv_invite_cancel,受け取ったパーティーの誘いは取り消されます,The party invite will be canceled.
ana_party_remove_q,"<NAME TARGET>を
パーティーから外します。よろしいですか？","Are you sure you want to remove
<NAME TARGET> from the party?"
ana_party_remove_tg,<NAME TARGET>がパーティーから外れました,<NAME TARGET> was removed from the party.
ana_party_remove_error_tg,<NAME TARGET>をパーティーから外せませんでした,Could not remove <NAME TARGET> from the party.
ana_party_leader_q,"<NAME TARGET>を
リーダーにします。よろしいですか？","Are you sure you want to promote
<NAME TARGET> the party leader?"
ana_party_leader_tg,<NAME TARGET>がリーダーになりました,<NAME TARGET> is now party leader.
ana_party_leader,パーティーリーダーになりました,You are now party leader.
ana_party_leader_error,パーティーリーダーになれませんでした,Could not promote you to party leader.
ana_party_leader_error_tg,<NAME TARGET>をリーダーにできませんでした,Could not promote <NAME TARGET> to party leader.
ana_party_invite_q,<NAME TARGET>をパーティーに誘いますか？,"Are you sure you want to invite
<NAME TARGET> to the party?"
ana_party_invite,<NAME TARGET>をパーティーに誘いました,<NAME TARGET> was invited to the party.
ana_party_invite_error,<NAME TARGET>をパーティーに誘えませんでした,Could not invite <NAME TARGET> to the party.
ana_party_join_q,"<NAME TARGET>の
パーティーに参加します。よろしいですか？ ","Are you sure you want to join
the party of <NAME TARGET>?"
ana_party_join_in,<NAME TARGET>のパーティーに参加しました,You have joined the party of <NAME TARGET>.
ana_party_join_tg,<NAME TARGET>がパーティーに参加しました,<NAME TARGET> has joined the party.
ana_party_join_error,<NAME TARGET>のパーティーに参加できませんでした,<NAME TARGET> could not join the party.
ana_party_dissolution_q,パーティーを解散します。よろしいですか？,Are you sure you want to disband the party?
ana_party_dissolution_leader,パーティーを解散しました,You have disbanded the party.
ana_party_dissolution,パーティーが解散されました,The party has been disbanded.
ana_party_dissolution_error,パーティーを解散できませんでした,Could not disband the party.
ana_party_invite_cancel_q,"<NAME TARGET>への
パーティーの誘いを取り消します。よろしいですか？","Are you sure you want to cancel the
party invite for <NAME TARGET>?"
ana_party_invite_cancel,<NAME TARGET>へのパーティーの誘いを取り消しました,Canceled party invite for <NAME TARGET>.
ana_party_invite_cancel_error,<NAME TARGET>へのパーティーの誘いを取り消せませんでした,Could not cancel the party invite for <NAME TARGET>.
ana_party_member_conflict,すでに同じメンバーがパーティーにいます,
ana_party_no_mainpawn,メインポーンがいない状態ではサポートポーンはパーティーに入れられません,You cannot have a support pawn in the party with no main pawns.
ana_party_pawn_invite_q,<NAME PAWN>をパーティーに入れますか？,"Are you sure you want to put
<NAME PAWN> into the party?"
ana_party_pawn_invite,<NAME PAWN>をパーティーに入れました,You have put <NAME PAWN> into the party.
ana_party_pawn_invite_error,<NAME PAWN>をパーティーに入れられませんでした,Could not put <NAME PAWN> into the party.
ana_party_pawn_remove_q,<NAME PAWN>をパーティーから外しますか？,"Are you sure you want to remove
<NAME PAWN> from the party?"
ana_party_pawn_remove,<NAME PAWN>をパーティーから外しました,Removed <NAME PAWN> from the party.
ana_party_pawn_remove_error,<NAME PAWN>をパーティーから外せませんでした,Could not remove <NAME PAWN> from the party.
ana_employ_q,<NAME PAWN>を雇用しますか？,Are you sure you want to hire <NAME PAWN>?
ana_employ,<NAME PAWN>を雇用しました,<NAME PAWN> has been hired.
ana_employ_error,<NAME PAWN>を雇用できませんでした,Could not hire <NAME PAWN>.
ana_dismissal_q,"<NAME PAWN>を
返却します。よろしいですか？",Are you sure you want to return <NAME PAWN>?
ana_dismissal,<NAME PAWN>を返却しました,<NAME PAWN> has been returned.
ana_dismissal_error,<NAME PAWN>を返却できませんでした,<NAME PAWN> could not be returned.
ana_req_friend_q,"<NAME TARGET>に
フレンド申請をします。よろしいですか？","Are you sure you want to send
<NAME TARGET> a friend request?"
ana_req_friend,<NAME TARGET>にフレンド申請しました,Friend request send to <NAME TARGET>.
ana_req_friend_error,<NAME TARGET>にフレンド申請できませんでした,Could not send a friend request to <NAME TARGET>.
ana_permit_friend_q,"<NAME TARGET>の
フレンド申請を許可します。よろしいですか？","Are you sure you want to accept
the friend request from <NAME TARGET>?"
ana_permit_friend,<NAME TARGET>とフレンドになりました,You are now friends with <NAME TARGET>.
ana_permit_friend_error,<NAME TARGET>とフレンドになれませんでした,Could not accept friend request from <NAME TARGET>.
ana_denial_friend_q,"<NAME TARGET>の
フレンド申請を拒否します。よろしいですか？","Are you sure you want to decline
the friend request from <NAME TARGET>?"
ana_denial_friend,<NAME TARGET>のフレンド申請を拒否しました,Declined the friend request from <NAME TARGET>.
ana_denial_friend_error,<NAME TARGET>のフレンド申請を拒否できませんでした,Could not decline the friend request from <NAME TARGET>.
ana_release_friend_q,"<NAME TARGET>との
フレンドを解除します。よろしいですか？","Are you sure you want to remove
<NAME TARGET> from friends?"
ana_release_friend,<NAME TARGET>のフレンドを解除しました,Removed <NAME TARGET> from friends.
ana_release_friend_error,<NAME TARGET>のフレンドを解除できませんでした,Could not remove <NAME TARGET> from friends.
ana_fav_friend_q,"<NAME TARGET>を
お気に入りに登録します。よろしいですか？","Are you sure you want to add
<NAME TARGET> to favorites?"
ana_fav_friend,<NAME TARGET>をお気に入りに登録しました,Added <NAME TARGET> to favorites.
ana_fav_friend_error,<NAME TARGET>をお気に入りに登録できませんでした,Could not add <NAME TARGET> to favorites.
ana_fav_release_friend_q,"<NAME TARGET>の
お気に入りを解除します。よろしいですか？","Are you sure you want to remove
<NAME TARGET> from favorites?"
ana_fav_release_friend,<NAME TARGET>のお気に入りを解除しました,Removed <NAME TARGET> from favorites.
ana_fav_release_friend_error,<NAME TARGET>のお気に入りを解除できませんでした,Could not remove <NAME TARGET> from favorites.
ana_entryb_entry,エントリーボードに参加申請を出しました,You have applied to join the entryboard.
ana_entryb_entry_error,エントリーボードに参加申請を出せませんでした,You could not apply to join the entryboard.
ana_entryb_join,エントリーボードに参加しました,You joined the entryboard.
ana_entryb_join_error,エントリーボードに参加できませんでした,You could not join the entryboard.
ana_entryb_join_cancel,エントリーボードの参加を取り消します。 よろしいですか？,"Are you sure you want to cancel your
entryboard registration?"
ana_member_ready_wait,全員が準備完了するのを待っています,Please wait for everyone to ready.
ana_member_less_party_q,"規定人数に足りていませんがパーティーを組みます
よろしいですか？","There are not enough members,
but the party will be formed. Are you sure?"
ana_search_result,検索結果は<VAL>件でした,There were <VAL> search results.
ana_transport_error,礎を解放する条件をみたしていません,You do not meet the conditions to go to the Portcrystal.
ana_countdown_die,カウントがなくなると死亡状態になります,You will die when the count reaches 0.
ana_revival_and_credits_num,"復活力を使用して復活しました
残り<VAL>個です","You were resurrected by using a revival force.
You have <VAL> remaining."
ana_you_die,戦闘不能になりました,You have died.
ana_revival_and_credits_full,黄金石を使用して復活しました,You were resurrected by using a Golden Gemstone.
ana_pawn_delete_q,"<NAME PAWN>を
削除します。よろしいですか？",Are you sure you want to delete <NAME PAWN>?
ana_pawn_delete,<NAME PAWN>を削除しました,<NAME PAWN> has been deleted.
ana_pawn_public,公開設定を変更しました,You have changed your pawn's privacy settings.
ana_mail_send,メールを送信しました,You sent a mail.
ana_mail_delete_q,メールを削除します。よろしいですか？,You will delete the mail. Are you sure?
ana_clan_info_update,クラン情報を更新しました,Clan information has been updated.
ana_clan_join_q,"<NAME CLAN>に
加入申請をします。よろしいですか？
（一定期間承認されない場合、申請はキャンセルされます）","You will submit an application to
join <NAME CLAN>.
Are you sure?
(If it is not accepted within a period of time,
the invite will be canceled)"
ana_clan_join,<NAME CLAN>に加入申請しました,"You have submitted an application to
join <NAME CLAN>."
ana_clan_join_cancel_q,"クランの加入申請をキャンセルします。
よろしいですか？","You will cancel your application to join the clan.
Are you sure?"
ana_clan_join_cancel,加入申請をキャンセルしました,You have canceled your application to join the clan.
ana_clan_join_permit_q,"<NAME TARGET>の
加入を許可します。よろしいですか？","<NAME TARGET> will be permitted to
join the clan. Are you sure?"
ana_clan_join_permit,<NAME TARGET>の加入を許可しました,"<NAME TARGET> has been permitted to
join the clan."
ana_clan_join_ng_q,"<NAME TARGET>の
加入を拒否します。よろしいですか？","The clan application of <NAME TARGET> will be refused.
Are you sure?"
ana_clan_join_ng,<NAME TARGET>の加入を拒否しました,The clan application of <NAME TARGET> has been refused.
ana_clan_leave_q,クランを脱退します。よろしいですか？,You will leave the clan. Are you sure?
ana_clan_leave,クランを脱退しました,You have left the clan.
ana_clan_scout_entry,"スカウトリストにエントリーしました
クランから招待が届くようになります",
ana_clan_invite_q,"<NAME TARGET>を
クランに勧誘します。よろしいですか？
（一定期間承認されない場合、申請はキャンセルされます）","<NAME TARGET> will be invited to the clan.
Are you sure?
(If it is not accepted within a period of time,
the invite will be canceled)"
ana_clan_invite,<NAME TARGET>をクランに誘いました,<NAME TARGET> has been invited to the clan.
ana_clan_scout_cancel_q,"クランへのスカウトをキャンセルします
よろしいですか？","The clan scouting will be canceled.
Are you sure?"
ana_clan_scout_cancel,勧誘をキャンセルしました,The clan scouting has been canceled.
ana_clan_invite_ok_q,"<NAME CLAN>の
勧誘を承認します。よろしいですか？","Accept the invitation to <NAME CLAN>
Are you sure?"
ana_clan_join_result,<NAME CLAN>に加入しました,You have joined <NAME CLAN>.
ana_clan_invite_ng_q,"<NAME CLAN>の
勧誘を拒否します。よろしいですか？","Decline the invitation to <NAME CLAN>
Are you sure?"
ana_clan_invite_ng,<NAME CLAN>の勧誘を拒否しました,You declined the invitation to <NAME CLAN>.
ana_entryb_kicked,エントリーボードから抜けました,You have been removed from the entryboard.
ana_entryb_dissolution,エントリーボードが解散されました,The entryboard has been dissolved.
ana_entryb_timeup,エントリーボードの有効時間が切れました,The entryboard's time limit has expired.
ana_entryb_ready_timeup,時間内に準備完了できなかったので、エントリーボードから抜けました,"Since you did not ready in time, you were removed from the entryboard."
ana_member_ready_timeup,全員が準備完了しませんでした。エントリー状態を解除します,All members did not ready. Ending entry.
ana_entryb_alarm,エントリー可能時間が<VAL>分を切りました,You only have <VAL> minutes remaining to ready.
ana_mail_present_get,メール添付アイテムを取得しました,You have received items from the mail.
ana_entryb_alarm_reset,エントリーから<VAL>分経ちました。再延長が可能です,<VAL> minute has passed for entry. The time can be re-extended.
ana_leader_join_ready_info,リーダーがパーティー要請を受諾しました。一定時間内に準備完了してください,The leader has accepted the party request. Please select ready within a period of time.
