key,old,new
common_next,次へ,Next
common_yes,はい,Yes
common_no,いいえ,No
common_decide,決定,OK
common_cancel,キャンセル,Cancel
common_back,戻る,Back
common_end,終了,End
common_serch,検索,Search
common_entry,登録,Register
common_ok,OK,OK
common_unit_g,G,G
common_unit_r,R,R
common_unit_bo,BO,BO
common_unit_gp,GP,GP
common_unit_xp,XP,XP
common_unit_jp,JP,JP
common_unit_cap,CAP,CAP
common_unit_ap,AP,AP
common_unit_pt,pt,pt
common_unit_cp,CP,CP
common_unit_cr,CR,CR
common_unit_lv,LV.,LV.
common_unitname_g,ゴールド,Gold
common_unitname_r,リム,Rift Crystal
common_unitname_bo,ブラッドオーブ,Blood Orb
common_unitname_jp,ジョブポイント,Job Point
common_edit,編集,Edit
common_clan_s_begin,≪,≪
common_clan_s_end,≫,≫
common_unitname_gs,黄金石,Golden Gemstone
common_name,名前,Name
common_level,レベル,Level
common_mymsg,マイ定型文セット,My Phrase 
common_above,～,～
common_open_bracket,(,(
common_close_bracket,),)
common_grade,★,★
common_up,UP,UP
common_down,DOWN,DOWN
common_off,OFF,OFF
common_max,MAX,MAX
common_hyphen,-,-
common_plus,+,+
common_complete,完了,Complete
common_select_clan_motto,モットーを１つ以上選択してください,Please select one or more mottos
common_select_clan_day,活動時間帯を選択してください,
common_select_clan_hour,活動時間帯を選択してください,
common_select_clan_feature,特徴を１つ以上選択してください,
common_guide_blank,,
common_guide_change_info,情報切り替え,Change Info
common_guide_close,閉じる,Close
common_guide_submenu,サブメニュー,Submenu
common_guide_decide,決定,OK
common_guide_execute,実行,Execute
common_guide_end,終了,Exit
common_guide_change_page,ページ切り替え,Change Page
common_guide_return,戻る,Back
common_date_format,%Y/%m/%d,%Y/%m/%d
common_guide_open,開く,Open
common_delete,削除,Delete
common_rest_time,時間,h
common_rest_day,日,d
common_unit_gs,個,x
common_indicator_lestania,GT,GT
common_indicator_local,LT,LT
common_indicator_server,ST,ST
common_indicator_lobby,World,World
common_key_alt,Alt,Alt
common_indicator_saving,セーブ中,Saving
common_guide_replacement,入れ替え,Replace
common_guide_set,セット,Set
common_guide_drag,つかむ,Drag
common_guide_goto_itembag,アイテムバッグに移動,Go to Item Bag
common_rest_minute,分,m
common_time_limit,あと,Left: 
common_time_after,後,After
common_time_before,前, ago
common_unit_turn,回,Time
common_unit_body,体,x
common_switch_expand,拡張枠,Expansion
common_switch_strage,通常枠,Normal
common_numbox,直接入力,Direct Input
common_switch_storagebox,保管ボックス,Storage Box
common_switch_itembag,アイテムバッグ,Item Bag
common_guide_shortcut_set,ショートカット登録,Register Shortcut
common_system_savedata,システムセーブデータ,System Save Data
common_edit_savedata,エディットデータ,Edit Data
common_new_edit_savedata,新しいエディットデータ,
common_edit_savedata_author,作成者：,Author: 
common_edit_savedata_sex,性別：,Gender: 
common_edit_savedata_comment,コメント：,Comment: 
common_chat_ch_general,General,General
common_chat_ch_party,Party,Party
common_unitname_silverticket,シルバーチケット,Silver Ticket
common_titlename_jp,ドラゴンズドグマ オンライン,Dragon's Dogma Online
common_clan_search_on,クラン情報公開,Clan info public
common_clan_search_off,クラン情報非公開,Clan info private
common_select_clan_motto_search,モットーを２つまで選択してください,
common_select_clan_day_search,活動時間帯を選択してください,
common_select_clan_hour_search,活動時間帯を選択してください,
common_select_clan_feature_search,特徴を４つまで選択してください,
common_unitname_rp,レンタルポイント,Rental Point
common_unit_rp,RP,RP
common_guide_drag_mousedrag,つかむ(ドラッグ操作),Drag
common_percent,%,%
common_enemy_transform_erosion_01,・軽度, (Slight)
common_enemy_transform_erosion_02,・重度, (Severe)
common_enemy_transform_erosion_03,・危険, (Critical)
common_switch_deposit,通常枠,Normal
common_unit_multiplication,×,×
common_quest_unpublished,？？？？？？,??????
common_custom_skill_pallet_sub,パレット サブ,Sub Palette
common_custom_skill_pallet_main,パレット メイン,Main Palette
common_equip_ir,IR.,
common_unitname_craftskillreset,クラフトスキルリセット,Reset Craft Skills
common_switch_deposit_ex01,拡張枠,Expansion
common_colon,：,: 
