key,old,new
cpf_clan_authority_setting_title,クランの権限設定,Clan permission settings
cpf_clan_authority_setting_cap01,メンバー加入の権限付与,Inviting
cpf_clan_authority_setting_cap02,その他,Other
cpf_clan_authority_setting_cap03,役職,Position
cpf_clan_authority_setting_cap01_01,勧誘する権限,Authority to Invite
cpf_clan_authority_setting_cap01_02,加入を許可する権限,Authority to Review Applications
cpf_clan_authority_setting_cap01_03,直接招待する権限,Authority to Direct Invite
cpf_clan_authority_setting_cap02_01,クランポイントを使用する権限,Authority to use Clan Points
cpf_clan_authority_setting_cap03_01,サブマスターに任命,Appoint as sub-master
cpf_bt_change,変更,
cpf_bt_close,閉じる,
cpf_clan_authority_setting_comp,<NAME TARGET>の権限設定を変更しました,
cpf_clan_authority_setting_err_01,変更する権限がありません,
cpf_clan_authority_setting_err_02,インターバル期間中のため変更できません,
cpf_craft_filter_title,フィルタの設定,Filter settings
cpf_craft_filter_cap01,ジョブ,Vocation
cpf_craft_filter_cap02,アイテムランク,Item Rank
cpf_craft_filter_cap03,装備レベル,Equipment Level
cpf_craft_filter_cap04,性別,Gender
cpf_craft_filter_cap01_01,全て,All
cpf_craft_filter_cap02_01,アイテムランクを絞り込む,Filter Item Rank
cpf_craft_filter_cap03_01,装備可能レベルを絞り込む,Filter equipment level
cpf_craft_filter_cap04_01,指定なし,Unspecified
cpf_craft_filter_cap04_02,男性,Male
cpf_craft_filter_cap04_03,女性,Female
cpf_num_and_over,以上,Minimum
cpf_num_and_less,以下,Maximum
cpf_initialization,設定を初期化,
cpf_bt_decision,決定,
cpf_bt_cancel,キャンセル,
cpf_trainingroom_title,戦技練習,Warfare Practice
cpf_entry_solo_pawn_01,連れていくポーンを選択してください,
cpf_entry_solo_pawn_02,最大<VAL>人まで同行可能,
cpf_job_emblem_title,継承の設定,Setup augmentation
cpf_job_emblem_cap01,"護錬石を使用することで成功率をあげることができます
1口につき＋1％、最大＋<VAL>％まで上昇できます
（1口あたりの必要数は種類により異なります）",
cpf_job_emblem_cap02,継承成功率：<VAL>％<COL ffdc78>＋<VAL>％</COL>,Augmentation success rate: <VAL>%<COL ffdc78>+<VAL>%</COL>
cpf_job_emblem_cap03,ジュエリー：,Jewelry:
cpf_job_emblem_cap04,<VAL>（1口＝<VAL>）,
cpf_job_emblem_cap05,口,
cpf_job_emblem_cap06,使用数：<COL ffdc78><VAL></COL>,
cpf_job_emblem_cap07,所持数：,
cpf_clan_authority_setting_cap02_02,拠点のレイアウトを使用する権限,
cpf_entry_solo_pawn_03,最低<VAL>人同行する必要があります,
cpf_entry_solo_pawn_04,同行条件を満たしていません,
cpf_entry_solo_title,連れて行くポーンを選択してください,
cpf_entry_pawn_status_no_adv,冒険回数0,
cpf_entry_sub_title_main_pawn,メインポーン,
cpf_entry_sub_title_support_pawn,サポートポーン,
cpf_entry_error_no_main_pawn,"サポートポーンのみで連れて行くことはできません
メインポーンを１人以上、選択してください",
cpf_entry_dra_skill_001,ドラゴンアビリティ指定,
cpf_entry_dra_skill_002,ドラゴンアビリティを指定する,
cpf_entry_dra_skill_003,現在の指定でシミュレート,
cpf_entry_dra_skill_004,プレビュー,
cpf_entry_member_001,メンバー1,
cpf_entry_member_002,メンバー2,
cpf_entry_member_003,メンバー3,
cpf_entry_member_004,メンバー4,
cpf_entry_member_005,メンバー5,
cpf_entry_member_006,メンバー6,
cpf_entry_member_007,メンバー7,
cpf_entry_dra_skill_005,オススメ設定,
cpf_entry_solo_attention,<COL 787878>メインポーンとサポートポーンを最大<VAL>人まで同行可能です</COL>,
