key,old,new
drasuki_msg_001,ドラゴンアビリティ情報,
drasuki_msg_002, ,
drasuki_msg_003,パーティー合計＝,
drasuki_msg_004,個人合計＝,
drasuki_msg_005,レベル,
drasuki_msg_006,必要ポイント,
drasuki_msg_007,推奨ドラゴンアビリティ,
drasuki_msg_008,発動可能ドラゴンアビリティ,
drasuki_msg_009,ボーナスドラゴンアビリティ,
drasuki_msg_010,Information,Information
drasuki_msg_011,発動中,
drasuki_msg_012,未発動,
drasuki_msg_013,―,
drasuki_msg_014,ドラゴンアビリティ情報（プレビュー）,
drasuki_msg_015,プレビュー合計＝,
drasuki_msg_016,有利：,
drasuki_msg_017,適正：,
drasuki_msg_018,不利：,
drasuki_msg_019,募集：,
drasuki_msg_020,ボーナス発動,
drasuki_msg_021,（推奨）,
