key,old,new
emote_text_853,あいさつ・１,Greet 1
emote_text_854,おじぎ,Bow
emote_text_855,敬礼,Salute
emote_text_856,さよなら,Wave Goodbye
emote_text_857,歓迎,Welcome
emote_text_858,うなずく,Nod
emote_text_859,首振り,Shake Head
emote_text_860,肯定,Agree
emote_text_861,否定,Disagree
emote_text_862,喜ぶ,Rejoice
emote_text_863,怒る,Anger
emote_text_864,泣く,Cry
emote_text_865,笑う,Laugh
emote_text_866,あいさつ・２,Greet 2
emote_text_867,照れる,Embarassment
emote_text_868,驚く,Surprise
emote_text_869,あきれる,Shock
emote_text_870,考える,Ponder
emote_text_871,悔しがる,Disappointment
emote_text_872,あわてる,Panic
emote_text_873,すねる,Sulk
emote_text_874,手を振る,Wave Hands
emote_text_875,手招き,Beckon
emote_text_876,ほめる,Praise
emote_text_877,拍手,Applaud
emote_text_878,応援,Cheer
emote_text_879,なだめる,Placate
emote_text_880,聞き直す,Listen
emote_text_881,ねだる,Pester
emote_text_882,土下座,Prostrate
emote_text_883,投げキス,Blow Kiss
emote_text_884,おどす,Intimidate
emote_text_885,見渡す,Survey
emote_text_886,指差し,Point
emote_text_887,掛け声,Rally
emote_text_888,気合い,Fighting Spirit
emote_text_889,雄叫び,War Cry
emote_text_890,拳突き上げ,Clench Fist
emote_text_891,祈る,Pray
emote_text_892,謝る,Apologize
emote_text_893,大賛成,Strongly Agree
emote_text_894,伸びをする,Stretch
emote_text_895,座る,Sit
emote_text_896,,
emote_text_897,歓喜,Delight
emote_text_898,うさぎ跳び,Rabbit Hop
emote_text_899,,
emote_text_900,居眠り,Snooze
emote_text_901,踊る・１,Dance 1
emote_text_902,踊る・２,Dance 2
emote_text_903,ポーズ・参上１,I'm Here! Pose 1
emote_text_904,,
emote_text_905,ポーズ・参上２,I'm Here! Pose 2
emote_text_906,テンションを上げる,Give Tension
emote_text_907,伏せる,Crawl
emote_text_908,大反対,Strongly Oppose
emote_text_909,ポーズ・衣装自慢１,Model Pose 1
emote_text_910,ポーズ・衣装自慢２,Model Pose 2
emote_text_911,ポーズ・誘惑１,Seduction Pose 1
emote_text_912,ポーズ・誘惑２,Seduction Pose 2
emote_text_913,ポーズ・誇らしげ１,Proud Pose 1
emote_text_914,ポーズ・誇らしげ２,Proud Pose 2
emote_text_915,ポーズ・媚び１,Flirting Pose 1
emote_text_916,ポーズ・媚び２,Flirting Pose 2
emote_text_917,ポーズ・ユニーク,Unique Pose
emote_text_918,ポーズ・参上３,I'm Here! Pose 3
emote_text_919,ポーズ・独創的２,Original Pose 2
emote_text_920,ポーズ・独創的１,Original Pose 1
emote_text_921,ポーズ・参上４,I'm Here! Pose 4
emote_text_922,ポーズ・悪ぶる,Act Tough Pose
emote_text_923,ポーズ・体自慢１,Bodybuilder Pose 1
emote_text_924,ポーズ・体自慢２,Bodybuilder Pose 2
emote_text_11766,じゃんけん,Rock-paper-scissors
emote_text_11767,じゃんけんの構え,Rock-paper-scissors Stance
