key,old,new
emote_text_pawn_7506,あいさつ・１,Greet 1
emote_text_pawn_7507,おじぎ,Bow
emote_text_pawn_7508,敬礼,Salute
emote_text_pawn_7509,歓迎,Welcome
emote_text_pawn_7510,うなずく,Nod
emote_text_pawn_7511,首振り,Shake Head
emote_text_pawn_7512,喜ぶ,Rejoice
emote_text_pawn_7513,怒る,Anger
emote_text_pawn_7514,泣く,Cry
emote_text_pawn_7515,笑う,Laugh
emote_text_pawn_7516,落ち込む,Glum
emote_text_pawn_7517,照れる,Embarassment
emote_text_pawn_7518,驚く,Surprise
emote_text_pawn_7519,あきれる,Shock
emote_text_pawn_7520,考える,Ponder
emote_text_pawn_7521,悔しがる,Disappointment
emote_text_pawn_7522,すねる,Sulk
emote_text_pawn_7523,手を振る,Wave Hands
emote_text_pawn_7524,手招き,Beckon
emote_text_pawn_7525,ほめる,Praise
emote_text_pawn_7526,拍手,Applaud
emote_text_pawn_7527,応援,Cheer
emote_text_pawn_7528,おどす,Intimidate
emote_text_pawn_7529,投げキス,Blow Kiss
emote_text_pawn_7530,見渡す,Survey
emote_text_pawn_7531,指差し,Point
emote_text_pawn_7532,気合,Fighting Spirit
emote_text_pawn_7533,雄叫び,War Cry
emote_text_pawn_7534,拳突き上げ,Clench Fist
emote_text_pawn_7535,祈る,Pray
emote_text_pawn_7536,ひざまずく,Kneel
emote_text_pawn_7537,転ぶ,Fall
emote_text_pawn_7538,伸びをする,Stretch
emote_text_pawn_7539,くつろぐ,Relax
emote_text_pawn_7540,寝る,Sleep
emote_text_pawn_7541,座る,Sit
emote_text_pawn_7542,踊る,Dance
emote_text_pawn_7543,トレーニング,Train
emote_text_pawn_9715,あいさつ・２,Greet 2
emote_text_pawn_9716,歓喜,Delight
emote_text_pawn_9717,居眠り,Snooze
emote_text_pawn_11807,あわてる,Panic
emote_text_pawn_11808,なだめる,Appease
emote_text_pawn_11809,掛け声,Shout Encouragement
