key,old,new
status_title_equip_status,ステータス・装備,Status / Equipment
status_tab_equip,ステータス・装備,Status / Equipment
status_tab_anomaly_resist,耐性・特能,Debilitations / Resists
status_tab_job_arisenpower,ジョブ・竜力の継承,Jobs / Dragon Force
status_tab_skill_ability,スキル・アビリティ,Skills / Augments
status_tab_currency,通貨,Currency
status_heading_base_status,General,
status_heading_attack_status,Attack,
status_heading_difence_status,Defense,
status_option_change_equipment,装備変更,Change Equipment
status_option_remove,はずす,Remove
status_tab_craft_review,クラフト・評価,Craft / Evaluation
status_heading_job_status,Special,
status_pawn_owner,Arisen:,
status_player_id,,
status_heading_debilitation_resist,Debilitation / Debilitation Resist,
status_heading_money,Money,
status_none,なし,None
status_pawn_review_title,総合評価,Comprehensive Evaluation
status_pawn_review_rental,レンタル回数,Rental Total
status_pawn_review_battle,敵の討伐数,Enemies Defeated
status_pawn_review_craft,クラフト回数,Craft Total
status_pawn_review_looks_ave,外見平均評価,Average Appearance Rating
status_pawn_review_battle_ave,冒険平均評価,Average Battle Rating
status_pawn_review_craft_ave,クラフト平均評価,Average Craft Rating
status_gain_orb,オーブ,Orb
status_gain_kakin,<CRS>,
status_gain_total,合計,Total
status_money_title,Money,
status_ticket_title,Ticket,
status_orb_class,Class,
status_heading_resist_status,Other Status,
status_preset_title,プリセット,Preset
status_preset_dialog_rename,プリセット名編集,Rename Preset
status_preset_not_regist,未登録,Unregistered
status_preset_dialog_title,プリセット操作,Preset Setting
status_preset_dialog_equip,プリセット適用,Apply Preset
status_preset_dialog_regist,プリセット登録,Register Preset
status_preset_default_name,プリセット,Preset
status_select_equip_title,装備を選んでください,Please select equipment
status_title_equip_status_eng,Status,
status_orb_title,竜力の継承,Dragon Force Augmentation
status_gain_param_ability_cost,アビリティセットコスト,Augment Points
status_gain_jewerly_slot,ジュエリー装備スロット,Jewelry Slots
status_gain_main_pawn,メインポーン契約枠,Main Pawn Contract Limit
status_gain_sub_pawn,サポートポーン雇用枠,Support Pawn Contract Limit
status_select_performance_equip,性能装備選択,Select Performance Equipment
status_select_mirage_equip,着飾り装備選択,Select Dress Equipment
status_sub_menu,サブメニュー,Submenu
status_error_storage_box_full,保管ボックスがいっぱいです,Storage box is full.
status_buttonguide_equip,装備,Equip
status_error_storage_bag_full,アイテムバッグがいっぱいです,Item bag is full.
status_total_job_level,Total <VAL LV>,
status_other_title,Other,
status_craft_title,Craft,
status_equip_jewelry_slot_num,ジュエリー装備可能数：%d,Max jewelry that can be equipped: %d
status_equip_jewelry_category_num,%s (%d/%d),
status_heading_resist_details,Details,
status_job_orb_title,戦技の継承,Skill Augmentation
status_high_orb_tree_title,絶技の継承,Special Skill Augmentation
status_tab_skill,スキル,Skills
status_tab_job,ジョブ,Jobs
status_error_equip_no_enough_empty,倉庫の空きが不足しているため、装備変更ができませんでした,
