key,old,new
HANDOVER_MSG_TITLE_M_TITLE00,Receive,
HANDOVER_MSG_TITLE_M_TITLE01,受け取り,Receive
HANDOVER_MSG_BTN_ALL,すべて受け取る,Receive All
HANDOVER_MSG_BTN_NONE,すべて破棄,Destroy All
HANDOVER_MSG_BTN_CANCEL,キャンセル,Cancel
HANDOVER_MSG_TITLE_M_TITLE02,Present,
HANDOVER_MSG_TITLE_M_TITLE03,プレゼント,Present
HANDOVER_MSG_TAB_CONSUME,消費,Consumable
HANDOVER_MSG_TAB_EQUIP,装備,Equipment
HANDOVER_MSG_TAB_MATERIAL,素材,Material
HANDOVER_MSG_TAB_SPECIAL,特殊,Special
HANDOVER_MSG_BTN_FINISH,完了,Complete
HANDOVER_MSG_TITLE_M_TITLE04,Delivery,Delivery
HANDOVER_MSG_TITLE_M_TITLE05,納品,Delivery
HANDOVER_MSG_DIALOG_00,"アイテムを受け取らずに戻りますか？
受け取ったアイテムは戻されます","Do you want to return without receiving items?
Items received will be returned."
HANDOVER_MSG_DIALOG_YES,はい,Yes
HANDOVER_MSG_DIALOG_NO,いいえ,No
HANDOVER_MSG_ANNOUCE_00,送り先がいっぱいのため、受け取ることができません,You cannot receive it because the destination is full
HANDOVER_MSG_DIALOG_01,"アイテムを受け取らずすべて捨てます
よろしいですか？","Are you sure you want to discard all items
without receiving them?"
HANDOVER_MSG_ANNOUCE_01,アイテムを受け取りました,You received an item
HANDOVER_MSG_DIALOG_02,"アイテムの納品をキャンセルします
よろしいですか？","Are you sure you want to cancel
item delivery?"
HANDOVER_MSG_DIALOG_03,"選択したアイテムを渡します
よろしいですか？","Are you sure you want to deliver
the selected items?"
HANDOVER_MSG_ANNOUCE_02,アイテムを渡しました,You delivered an item
HANDOVER_MSG_DIALOG_04,"アイテムが選択されていません
アイテムの納品をキャンセルします
よろしいですか？","Item is not selected.
Are you sure you want to cancel delivery?"
HANDOVER_MSG_DIALOG_00_MANDRA,"アイテムの受け取りを中止しますか？
(未受け取りのままだと再び育てることができません)",
