key,old,new
title_item,所持アイテム,Possessed Items
title_item_strage,キーアイテム,Key Items
option_disposal,捨てる,Discard
option_use,使う,Use
option_hold,持つ,Hold
option_sheathe,しまう,Stash
heading_howmany_disposal,いくつ捨てますか？,How many to discard?
option_equip,装備,Equipment
title_fee_e,Reward Box,Reward Box
title_fee,報酬ボックス,Reward Box
title_strage,保管ボックス,Storage Box
option_move,移動,Move
submenu_sort_name,せいとん（名前順）,Sort (Name)
submenu_sort_better,せいとん,Sort
submenu_sort_buy_ascending,せいとん（装備優先）,Sort (Equipment)
submenu_sort_buy_descending,せいとん（素材優先）,Sort (Materials)
submenu_buy,売却,Sell
submenu_select_all,全て選択,Select All
submenu_release_all,選択全解除,Release All
item_title_item_en,Item Bag,Item Bag
item_title_item_jp,アイテムバッグ,Item Bag
itempost_title_itempost_en,Item Post,Item Post
itempost_title_itempost_jp,アイテムポスト,Item Post
option_send_bag,アイテムバッグに送る,Send to Item Bag
option_send_box,保管ボックスに送る,Send to Storage Box
option_send_exbox,拡張枠に送る,Send to Expansion
option_send_num_specified,（個数指定）, (Amount)
option_drag,つかむ,Drag
item_msg_pop_put,置く,Putく
item_msg_pop_switch,タブ切り替え,Tab Switch
item_msg_pop_sum,合算,Sum
item_msg_pop_exchange,交換,Swap
item_msg_pop_unexchangeable,交換不可,Cannot be swapped
item_msg_pop_move,移動,Move
item_title_storage_en,Storage Box,Storage Box
item_title_sell_en,Sell,Sell
item_title_keyitem_en,Key Item,Key Item
item_msg_guid_tostorage,保管ボックスに移動,Go to Storage Box
item_btnguide_buy,アイテムを買う,Buy
item_btnguide_multichoice,複数選択,Select Multiple
item_conf_disposal,以下のアイテムを破棄します。よろしいですか？,"Are you sure you want to
discard the following?"
item_conf_buy,"以下のアイテムを売却します。よろしいですか？

　売却価格：<VAL GOLD>","Are you sure you want to sell the following?

Sell Price: <VAL GOLD>"
item_title_depositbox_en,Storage Chest,Storage Chest
item_title_depositbox_jp,格納チェスト,Storage Chest
option_send_depositbox,格納チェストに送る,Send to Storage Chest
item_msg_guid_todeposit,格納チェストに移動,Go to Storage Chest
item_btnguide_select_all,全選択,Select All
item_btnguide_select_all_cancel,全選択解除,Deselect All
submenu_jump_onlineshop,オンラインショップを開く,Open the Online Shop
item_conf_jump_onlineshop,"オンラインショップを開きます
よろしいですか？","Are you sure you want to
open the Online Shop?"
title_leftbox_e,Left Box,Left Box
title_leftbox_j,左のボックス,Left Box
title_rightbox_e,Right Box,Right Box
title_rightbox_j,右のボックス,Right Box
option_send_leftbox,左のボックスに送る,Send to Left Box
option_send_rightbox,右のボックスに送る,Send to Right Box
item_msg_guid_toleftbox,左のボックスに移動,Move to Left Box
item_msg_guid_torightbox,右のボックスに移動,Move to Right Box
pulldown_itembag_1,<COL EBF1DE>アイテムバッグ（消費）</COL>,<COL EBF1DE>Item Bag (Consumable)</COL>
pulldown_itembag_2,<COL EBF1DE>アイテムバッグ（素材）</COL>,<COL EBF1DE>Item Bag (Material)</COL>
pulldown_itembag_3,<COL EBF1DE>アイテムバッグ（装備）</COL>,<COL EBF1DE>Item Bag (Equipment)</COL>
pulldown_itembag_4,<COL EBF1DE>アイテムバッグ（ジョブ専用）</COL>,<COL EBF1DE>Item Bag (Job)</COL>
pulldown_storage_normal_1,<COL F2DCDB>保管ボックス（通常枠）</COL>,<COL F2DCDB>Storage Box (Normal)</COL>
pulldown_storage_ex_1,<COL F2DCDB>保管ボックス（拡張枠）</COL>,<COL F2DCDB>Storage Box (Expansion)</COL>
pulldown_deposit_normal_1,<COL DAEEF3>格納チェスト（通常枠）</COL>,<COL DAEEF3>Storage Chest (Normal)</COL>
pulldown_deposit_ex_1,<COL DAEEF3>格納チェスト（拡張枠）</COL>,<COL DAEEF3>Storage Chest (Expansion)</COL>
pulldown_itempost,<COL FDE9D9>アイテムポスト</COL>,<COL FDE9D9>Item Post</COL>
option_send_targeting,ボックス指定,Send to Specified
option_targeting_itembag_1,アイテムバッグ（消費）,Item Bag (Consumable)
option_targeting_itembag_2,アイテムバッグ（素材）,Item Bag (Material)
option_targeting_itembag_3,アイテムバッグ（装備）,Item Bag (Equipment)
option_targeting_itembag_4,アイテムバッグ（ジョブ専用）,Item Bag (Job)
option_targeting_storage_normal_1,保管ボックス（通常枠）,Storage Box (Normal)
option_targeting_storage_ex_1,保管ボックス（拡張枠）,Storage Box (Expansion)
option_targeting_deposit_normal_1,格納チェスト（通常枠）,Storage Chest (Normal)
option_targeting_deposit_ex_1,格納チェスト（拡張枠）,Storage Chest (Expansion)
option_targeting_itempost,アイテムポスト,Item Post
