key,old,new
ITEM_WORK_1,体力回復,Health Recovery
ITEM_WORK_2,スタミナ回復,Stamina Recovery
ITEM_WORK_3,「毒」解消,Cure Poison
ITEM_WORK_4,「遅延」解消,Cure Torpor
ITEM_WORK_5,「睡眠」解消,Cure Sleep
ITEM_WORK_6,「気絶」解消,Cure Knockout
ITEM_WORK_7,「水濡れ」解消,Cure Drench
ITEM_WORK_8,「油濡れ」解消,Cure Tar
ITEM_WORK_9,「スキル封印」解消,Cure Skill Stifling
ITEM_WORK_10,「軟化」解消,Cure Frail
ITEM_WORK_11,「石化」解消,Cure Petrification
ITEM_WORK_12,「黄金化」解消,Cure Golden
ITEM_WORK_13,「延焼」解消,Cure Catching Fire
ITEM_WORK_14,「凍結」解消,Cure Frozen Solid
ITEM_WORK_15,「炎防低下」解消,Cure Fire Res. Down
ITEM_WORK_16,「氷防低下」解消　,Cure Ice Res. Down
ITEM_WORK_17,「雷防低下」解消,Cure Thunder Res. Down
ITEM_WORK_18,「聖防低下」解消,Cure Holy Res. Down
ITEM_WORK_19,「闇防低下」解消,Cure Dark Res. Down
ITEM_WORK_20,「物攻低下」解消,Cure Phys. Atk. Down
ITEM_WORK_21,「物防低下」解消　,Cure Phys. Def. Down
ITEM_WORK_22,「魔攻低下」解消,Cure Mag. Atk. Down
ITEM_WORK_23,「魔防低下」解消,Cure Mag. Def. Down
ITEM_WORK_24,「物攻上昇」付加,Grant Physical Attack Up
ITEM_WORK_25,「物防上昇」付加,Grant Physical Defense Up
ITEM_WORK_26,「魔攻上昇」付加,Grant Magick Attack Up
ITEM_WORK_27,「魔防上昇」付加,Grant Magick Defense Up
ITEM_WORK_28,「吹き飛ばし力上昇」付加,Grant Blow Power Up
ITEM_WORK_29,「耐久力上昇」付加　,Grant Endurance Up
ITEM_WORK_30,「生命治癒力上昇」付加,Grant Healing Power Up
ITEM_WORK_31,「体力上昇」付加,Grant Max Health Up
ITEM_WORK_32,「スタミナ上昇」付加,Grant Max Stamina Up
ITEM_WORK_33,「闇霧」解消,Cure Blind
ITEM_WORK_34,復活（単体）,
ITEM_WORK_35,復活（３個単位）,
ITEM_WORK_36,ランタン点灯,Light Lantern
ITEM_WORK_110,ゴールド入手,Gold Available
ITEM_WORK_111,リム入手,Rift Crystals Available
ITEM_WORK_112,オーブ入手,Orbs Available
ITEM_WORK_113,エリクシル・毒,
ITEM_WORK_114,エリクシル・睡眠,
ITEM_WORK_115,エリクシル・気絶,
ITEM_WORK_116,エリクシル・炎防低下,
ITEM_WORK_117,エリクシル・氷防低下,
ITEM_WORK_118,エリクシル・雷防低下,
ITEM_WORK_119,エリクシル・聖防低下,
ITEM_WORK_120,エリクシル・闇防低下,
ITEM_WORK_121,エリクシル・封印,
ITEM_WORK_122,エリクシル・石化,
ITEM_WORK_123,エリクシル・黄金化,
ITEM_WORK_124,通貨入手,Currency Available
ITEM_WORK_125,「感電」解消,Cure Shock
ITEM_WORK_126,「侵食」解消,Cure Corruption
ITEM_WORK_127,「侵食耐性」付加,Grant Corruption Resist Up
ITEM_WORK_128,ジョブポイント入手,
ITEM_WORK_129,エリアポイント入手,
ITEM_WORK_130,スキル習得,
ITEM_WORK_131,アビリティ習得,
ITEM_WORK_132,経験値入手,
ITEM_WORK_133,家具入手【家具アイテム専用】,
ITEM_WORK_134,プロフ壁紙入手【解放アイテム専用】,
ITEM_WORK_135,クラフトレシピ入手【解放アイテム専用】,
ITEM_WORK_136,エモーション入手【解放アイテム専用】,
ITEM_WORK_137,ポーン会話入手【解放アイテム専用】,
ITEM_WORK_138,エディットパーツ入手【解放アイテム専用】,
ITEM_WORK_139,定型文【解放アイテム専用】,
ITEM_WORK_140,レベルアップポーション,
ITEM_WORK_141,竜力の継承全開放,
ITEM_WORK_142,冒険をしやすくする,
ITEM_WORK_143,PP入手,
ITEM_WORK_144,AttackStatus,
ITEM_WORK_145,「全攻撃能力上昇」付加,
ITEM_WORK_146,「全防御能力上昇」付加,
ITEM_WORK_147,「闇炎」解消,
ITEM_WORK_148,「呪い」解消,
