key,old,new
JMMH_MSG_ALLTASK_CLEAR_STR,課題を達成し、ジョブマスターに報告しました,Task finished and reported to the Job Master.
JMMH_MSG_LV_STR,LV.,LV.
JMMH_MSG_TASK_STR,<VAL>で課題を達成し、ジョブマスターに報告せよ,Accomplish the task and report to the <VAL> Job Master.
JMMH_MSG_SLASH_STR,/,/
JMMH_MSG_BEAT_STR,<VAL LV>以上の<NAME ENEMY>を倒せ！,Defeat <VAL LV>+ <NAME ENEMY>!
JMMH_MSG_EQUIP_STR,を装備しろ！,
JMMH_MSG_MAX_STR,MAX,MAX
JMMH_MSG_JOB_MASTER_STR,Job Master,Job Master
JMMH_MSG_JOB_MASTER_STR_JP,ジョブマスター,Job Master
JMMH_MSG_MASTER_HB_STR_JP,ジョブ修練ログ,Job Training Log
JMMH_MSG_LV_STR_2,Level,Level
JMMH_MSG_CUSTOM_SKILL_STR,カスタムスキル,Custom Skills
JMMH_MSG_ABILITY_STR,アビリティ,Augments
JMMH_MSG_NEXT_STR,Next,
JOBEXAM_MSG_DECIDE_STR,OK,
JOBEXAM_MSG_SKILLGET_STR,<NAME SKILL>の習得を認められた,<NAME SKILL> is ready to learn
JOBEXAM_MSG_ABILITYGET_STR,<NAME ABILITY>の習得を認められた,<NAME ABILITY> is ready to learn
JMMH_MSG_ENEMY_LEVEL_STR,以上のオーブエネミーを倒せ！, Defeat blood orb enemies!
JMMH_MSG_MASTER_HB_STR,Training Note,Training Note
JMMH_MSG_TASK_EXAM_STR,課題を達成し、ジョブマスターに報告せよ,Accomplish the task and report to the Job Master.
JMMH_MSG_JOB_STR,ジョブ,Vocations
JMMH_MSG_NO_ORDER_STR,課題はありません,There are no tasks.
JMMH_MSG_JOB_CHANGE_ENABLE,転職できるようになりました,Vocation change available.
