key,old,new
kcd_000,移動 ↑,Move ↑
kcd_001,移動 ↓,Move ↓
kcd_002,移動 ←,Move ←
kcd_003,移動 →,Move →
kcd_004,オートラン,Auto-Run
kcd_005,項目移動 ↑,Item Move ↑
kcd_006,項目移動 ↓,Item Move ↓
kcd_007,項目移動 ←,Item Move ←
kcd_008,項目移動 →,Item Move →
kcd_009,チャット,Chat
kcd_010,ダイレクトチャット,Direct Chat
kcd_011,"マルチショートカット１
簡易コミュニケーション１","Multi Shortcut 1
Simple Communication 1"
kcd_012,"マルチショートカット２
簡易コミュニケーション２","Multi Shortcut 2
Simple Communication 2"
kcd_013,"マルチショートカット３
簡易コミュニケーション３","Multi Shortcut 3
Simple Communication 3"
kcd_014,"マルチショートカット４
簡易コミュニケーション４","Multi Shortcut 4
Simple Communication 4"
kcd_015,"マルチショートカット５
簡易コミュニケーション５","Multi Shortcut 5
Simple Communication 5"
kcd_016,"マルチショートカット６
簡易コミュニケーション６","Multi Shortcut 6
Simple Communication 6"
kcd_017,"マルチショートカット７
簡易コミュニケーション７","Multi Shortcut 7
Simple Communication 7"
kcd_018,"マルチショートカット８
簡易コミュニケーション８","Multi Shortcut 8
Simple Communication 8"
kcd_019,"マルチショートカット９
簡易コミュニケーションのページ切り替え ←","Multi Shortcut 9
Simple Communication Page Switch ←"
kcd_020,"マルチショートカット１０
簡易コミュニケーションのページ切り替え →","Multi Shortcut 10
Simple Communication Page Switch →"
kcd_021,マルチショートカット１１,Multi Shortcut 11
kcd_022,マルチショートカット１２,Multi Shortcut 12
kcd_023,ジャンプ / 行動キャンセル 等,"Jump / Cancel Action, etc"
kcd_024,タッチアクション / つかむ / 耐える 等,"Interact / Grab / Endure, etc"
kcd_025,ノーマルスキル１,Normal Skill 1
kcd_026,ノーマルスキル２　※ハンター / エレメントアーチャーは別項目,"Normal Skill 2
※ Hunter / Element Archer is separate"
kcd_027,<COL DAEEF3>【Ｓｈ】</COL>アトラクト,<COL DAEEF3>(Sh)</COL> Attract
kcd_028,武器を構える / 納める,Hold Weapon / Accept
kcd_029,カスタムスキルパレット切り替え（長押し）,Custom Skill Palette Switch (Long Press)
kcd_030,カスタムスキル１,Custom Skill 1
kcd_031,カスタムスキル２,Custom Skill 2
kcd_032,カスタムスキル３,Custom Skill 3
kcd_033,カスタムスキル４,Custom Skill 4
kcd_034,カメラリセット,Camera Reset
kcd_035,ゲームメニュー,Game Menu
kcd_036,ショートカット：ステータス・装備,Shortcut: Status / Equipment
kcd_037,ショートカット：アイテムバッグ,Shortcut: Item Bag
kcd_038,ショートカット：ゲーム設定,Shortcut: Game Config
kcd_039,ショートカット：パーティー管理,Shortcut: Party
kcd_040,ショートカット：チュートリアルガイド,Shortcut: Tutorial
kcd_041,ショートカット：クエストログ,Shortcut: Quest Log
kcd_042,ショートカット：コミュニティリスト,Shortcut: Community List
kcd_043,ショートカット：マップ,Shortcut: Map
kcd_044,"マルチショートカット、
簡易コミュニケーションの切り替え","Multi Shortcut,
Toggle Simple Communication"
kcd_045,ミニマップ操作の起動,Activate Mini-map Operation
kcd_046,<PFWD 0>の<COL FFFFFF><KCP UI_DECIDE></COL>と同じ機能（決定）,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_DECIDE></COL> (Decide)
kcd_047,<PFWD 0>の<COL FFFFFF><KCP UI_CANCEL></COL>と同じ機能（キャンセル）,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_CANCEL></COL> (Cancel)
kcd_048,<PFWD 0>の<COL FFFFFF><KCP UI_START></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_START></COL>
kcd_049,<PFWD 0>の<COL FFFFFF><KCP UI_X></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_X></COL>
kcd_050,<PFWD 0>の<COL FFFFFF><KCP UI_Y></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_Y></COL>
kcd_051,<PFWD 0>の<COL FFFFFF><KCP UI_LB></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_LB></COL>
kcd_052,<PFWD 0>の<COL FFFFFF><KCP UI_RB></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_RB></COL>
kcd_053,<PFWD 0>の<COL FFFFFF><KCP UI_LT></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_LT></COL>
kcd_054,<PFWD 0>の<COL FFFFFF><KCP UI_RT></COL>と同じ機能,Same function as <PFWD 0>'s <COL FFFFFF><KCP UI_RT></COL>
kcd_055,マウス左ボタン（決定）,Left Mouse Button (Decide)
kcd_056,マウス右ボタン（キャンセル）,Right Mouse Button (Cancel)
kcd_057,マウス中ボタン（アイテムの複数選択 等）,"Middle Mouse Button (Multiple item selection, etc)"
