key,old,new
pop_prof_mokuteki_1,冒険目的,
pop_prof_mokuteki_2,活動場所,
pop_prof_playstyle,プレイスタイル,Play Style
pop_prof_comment,Comment,
pop_prof_party,パーティー参加要請,
pop_prof_maching_profile_en,Matching Profile,
pop_prof_maching_profile_jp,マッチングプロフィール,Matching Profile
pop_prof_decide,決定,OK
pop_prof_cancel,キャンセル,Cancel
pop_prof_pt_ok,受ける,
pop_prof_quick_party,マッチング中,Matching
pop_prof_party_info,パーティー詳細,
pop_prof_name,Name,
pop_prof_job,Job,
pop_prof_lobby,Lobby,
pop_prof_pawn,ポーンの加入,
pop_prof_job_balance,ジョブバランス,Job Balance
pop_prof_do,行う,
pop_prof_ok,OK,
pop_prof_mokuteki_now,現在の冒険目的,
pop_prof_search,検索条件,
pop_prof_job_jp,ジョブ,Job
pop_prof_all,すべて,All
pop_prof_level,レベル,Level
pop_prof_profile,Profile,
pop_prof_participate,パーティー参加を希望する,
pop_prof_participate_not,パーティー参加を希望しない,
pop_prof_quickparty_title00,設定の編集,Edit Settings
pop_prof_quickparty_name,セット名,Name
pop_prof_main_purpose,冒険目的,Main Purpose
pop_prof_sub_purpose,小目的,Sub Purpose
pop_prof_quickparty_pawn,ポーン：,Pawns:
pop_prof_quickparty_pawn_allow,許可する,Allow
pop_prof_quickparty_pawn_disallow,許可しない,Disallow
pop_prof_quickparty_continue,続ける,Continue
pop_prof_quickparty_end,終了,End
pop_prof_quickparty,クイックパーティー,Quick Party
pop_prof_quickparty_retry,リトライ,Retry
pop_prof_quickparty_fail,マッチング失敗,Match failed
pop_prof_quickparty_time,あと <VAL> 秒後に終了します,Quick party will quit after <VAL> seconds
pop_prof_level_wavedash,～,
PopPartyList_PlayerSearch_Title,パーティー検索条件設定,Party Search Criteria
PopPartyList_PlayerSearch_MainPurpose,冒険目的を設定して探す,Search by adventure objective
PopPartyList_PlayerSearch_PlayStyle,プレイスタイルを指定して探す,Search by play style
PopPartyList_PlayerSearch_Job,ジョブを設定して探す,Search by job
PopPartyList_PlayerSearch_Level,レベルを設定して探す,Search by level
PopPartyList_PlayerSearch_LevelMin,以上,Minimum
PopPartyList_PlayerSearch_LevelMax,以下,Maximum
PopPartyList_QuickPartyEdit_Title,クイックパーティー条件編集,Edit Quick Party Conditions
PopPartyList_QuickPartyEdit_JobBalance,ジョブバランスを取る,Job Balance
PopPartyList_QuickPartyEdit_JobBalanceBrief,(タンク1人/アタッカー2人/ヒーラー1人でバランスを取ります）,(Party will be balanced with 1 Tank / 2 Attackers / 1 Healer)
PopPartyList_QuickPartyEdit_LevelBalance,レベルバランスを取る,Level Balance
PopPartyList_QuickPartyEdit_LevelBalanceBrief,(±4以内で検索します),(Search for levels within ±4)
PopPartyList_QuickPartyEdit_Warning,"※進行に変化があった場合は、クイックパーティーの登録が解除されます
※パーティー内のポーンは、合流時にパーティーから外れます
※登録時のジョブと異なる場合は、合流時に元のジョブに戻ります","※If quest progress changes, the registration will be canceled.
※If there are pawns in party, they will be dismissed.
※If your job is different, you will return to your original job."
PopPartyList_QuickPartyEdit_MainPurpose_Main,メインクエストで遊ぶ,Play Main Quest
PopPartyList_QuickPartyEdit_MainPurpose_Area,エリアスポットで遊ぶ,Play in an Area Spot
PopPartyList_QuickPartyEdit_MainPurpose_News,レスタニアニュースで遊ぶ,Play Lestania News
PopPartyList_Simple_Req_Title,簡易パーティー要請条件設定,Set Simple Party Conditions
PopPartyList_QuickPartyEdit_PTLeader,パーティーリーダーＯＫ,Party Leader
PopPartyList_QuickPartyEdit_PTLeaderBrief,(パーティーが組まれた時、リーダー候補になります),"(When the party forms, you will be a candidate to be leader)"
