key,old,new
poptop_bazaar_disp_exhibit_warehouse,保管ボックスから出品,Sell from Storage Box
poptop_bazaar_disp_exhibit_item,アイテムバッグから出品,Sell from Item Bag
poptop_bazaar_disp_exhibit,出品,Sell
poptop_bazaar_situation,出品状況,Exhibit Status
poptop_bazaar_exhibit,出品,Sell
poptop_bazaar_buy,購入,Buy
poptop_bazaar_jp,メニュー,Menu
poptop_bazaar_en,Menu,Menu
poptop_bazaar_disp_posnum,出品可能数：,Exhibits:
poptop_contriinfo,名声度確認,View Reputation
poptop_spotinfo,スポット情報,Spot Info
poptop_questinfo,ワールドクエスト情報,World Quest Info
poptop_areamaster_jp,エリアマスター,Area Master
poptop_areamaster_en,Area Master,Area Master
poptop_profile_set,プロフィール編集,Edit Profile
poptop_quick_party,クイックパーティー,Quick Party
poptop_clan_clan_name,<NAME CLAN> <NAME CLAN_S>,<NAME CLAN> <NAME CLAN_S>
poptop_rim_stone_support_pawn,サポートポーン,Support Pawns
poptop_rim_stone_main_pawn,メインポーン,Main Pawns
poptop_rim_stone_pawn_search,ポーン検索,Pawn Search
poptop_entryboard_extend,募集時間延長,Extend Time
poptop_entryboard_cancel_entry,エントリー中止,Cancel Entry
poptop_entryboard_search_union,別エントリー検索,Search Entries
poptop_entryboard_sally,出撃,Sortie
poptop_entryboard_num,<VAL>/<VAL>,
poptop_entryboard_entry,エントリー中,
poptop_entryboard_menu,メニュー,Menu
poptop_entryboard_title,Entry Board,
poptop_clan_invite_list,招待リスト,View Invites
poptop_clan_join_list,加入希望者リスト,View Applications
poptop_pawn_join,ポーンを入れる,Invite Pawn
poptop_player_search,パーティー検索,Party Search
poptop_member_info,パーティーメンバー確認,Check Party Members
poptop_color_change,カラー変更,Change Color
poptop_crest_attach,クレスト装着,Mount Crest
poptop_equip_build,装備の強化,Enhance Equipment
poptop_item_create,アイテム生産,Craft Item
poptop_craft_jp,メニュー,Menu
poptop_craft_en,Menu,Menu
poptop_ability,アビリティ,Augments
poptop_skill,スキル,Skills
poptop_job,ジョブ,Vocation
poptop_battle_assist_jp,戦技補佐,
poptop_battle_assist_en,Battle Assist,Battle Assist
poptop_jp,JP<JP>,
poptop_lv,Lv<LV>,
poptop_item_state,アイテム作成状況,Production Status
poptop_point_sep,ステータス確認,Pawn Status
poptop_clan_en,Clan,
poptop_party_jp,パーティー管理,Party
poptop_party_en,Party,
poptop_scout,スカウト,Scout
poptop_clan_reave,クラン脱退,Leave
poptop_clan_management,クランステータス,Clan Status
poptop_clan_entry_now,スカウトエントリー中,
poptop_clan_not_join,未加入,None
poptop_clan_invite,スカウトエントリー招待,View Invites
poptop_clan_join,加入申請中クラン,View Applications
poptop_clan_scout_entry,スカウトエントリー,Scout
poptop_clan_search,クラン検索,Clan Search
poptop_clan_create,クラン設立,Found Clan
poptop_clan_jp,クラン,Clan
poptop_issue,支援品,Support Goods
poptop_bazaar_exhibit_en,Sell,Sell
poptop_clan_entry_cancel,スカウトエントリー中止,Stop Scouting
poptop_clan_entry_check,スカウトエントリー確認,View Recruits
poptop_warehouse_en,Menu,Menu
poptop_warehouse_jp,メニュー,Menu
poptop_entryboard_reentry,再エントリー,Reregister
poptop_entryboard_newspaper,イベント確認,Check Event
poptop_clan_member_num,メンバー<VAL>名,<VAL> members
poptop_rim_stone_lost_pawn,ポーンの救出,Lost Pawns
poptop_entryboard_password_release,パスワード解除,Remove Password
poptop_entryboard_comment_input,コメント再編集,Edit Comment
poptop_entryboard_member_check,メンバー確認,Check Members
poptop_entryboard_entry_invitation_pt,パーティー招待,Party Invite
poptop_entryboard_ready,準備完了,Ready
poptop_clan_interval_now,インターバル期間中,Interval Duration
poptop_entryboard_less_member_go,少人数でパーティーを組む,Form Small Party
poptop_depositbox_menutop_en,Menu,Menu
poptop_depositbox_menutop_jp,メニュー,Menu
poptop_depositbox_menu_01,引き出す / 預ける,Withdraw / Deposit
poptop_clan_invite_direct,直接招待,Direct Invites
poptop_depositbox_menu_ex01,拡張枠,Expansion
poptop_lot_normal,通常ロット,Normal Lot
poptop_lot_box,ボックスロット,Box Lot
poptop_gp_charge,黄金石の確認,Check GG
poptop_deli_box,アイテムポスト,Item Post
poptop_clan_kyoten_4,ポーン遠征隊の状況確認,Pawn Expedition Corps Status
poptop_clan_kyoten_1,拠点拡張,Hall Expansion
poptop_clan_kyoten_2,ポーン遠征隊支援,Pawn Expedition Corps Support
poptop_clan_kyoten_3,クラン執務官の変更,Change Clan Officers
poptop_clan_kyoten_5,拠点のレイアウト,Hall Layout
poptop_enhance_evolution,リミット解除,Limit Break
poptop_enhance_special_evolution,極限合成,Ultimate Synthesis
poptop_recycle_remaining_num,残り回数：,Remaining:
poptop_recycle_equip,武具の分解,Disassemble Arms
poptop_recycle_gs_equip,特殊武具の分解,Disassemble Special Arms
poptop_recycle_remaining_num_reset,残り回数リセット,Reset Remaining
poptop_depositbox_menu_02_restore,アイテム復元,Item Restoration
poptop_craft_change_quality,装備の品質変更,Change Quality
poptop_entryboard_chat_recruit,チャット募集,Chat Recruitment
poptop_daily_mission,ミッションリスト,Mission List
poptop_weekly_mission,特別報酬,Special Reward
poptop_time_event,期間イベント,Time Event
poptop_daily_mission_title_en,Menu,Menu
poptop_daily_mission_title_jp,メニュー,Menu
poptop_recycle_ds_equip,竜武具の分解,
poptop_btn_dra_skill,ドラゴンアビリティ情報,
