key,old,new
RETRY_MSG_REVIVE_MENU_STOCK,復活力を使用して復活,Revive with Revival Force
RETRY_MSG_SELECT_ANNOUNCE,復活方法を選択してください,Please select a revival method.
RETRY_MSG_NEAR_OUTPOST,直前の拠点,Last Camp
RETRY_MSG_PENALTY_EXP,"最後に立ち寄った拠点から再開します
<COL AA1414>状態異常【弱化】が発生します</COL>","Revive at the last camp.
<COL AA1414>You will be afflicted with the Weakness debilitation.</COL>"
RETRY_MSG_STOCK_EXP,復活力を使用することで、体力を全快して復活します,Use a revival force and recover full health.
RETRY_MSG_GOLD_STONE_EXP,"黄金石を<VAL>個使用することで、体力を全快し
付与効果【強化】を得て復活します
(黄金石が足りない場合はショップ画面を開きます)","Use <VAL> Golden Gemstone and completely recover your strength.
You will also receive an Invulnerability effect.
(You can open the shop screen if you do not have enough Golden Gemstones)"
RETRY_MSG_DIALOG_GOLD_STONE,"<COL FFFF00>黄金石</COL>を<VAL>個使用して復活します
よろしいですか？","Are you sure you want to resurrect with
<VAL> <COL FFFF00>Golden Gemstone</COL>?"
RETRY_MSG_DIALOG_STOCK,"<COL FFFF00>復活力</COL>を使用して復活します
よろしいですか？","Are you sure you want to resurrect using
a <COL FFFF00>revival force?</COL>"
RETRY_MSG_DIALOG_GPSHOP_OPEN,黄金石が不足しているのでショップ画面を開きます,The shop screen will open because you are missing Golden Gemstones.
RETRY_MSG_REVIVE_MENU_TICKET,黄金石を<VAL>個使用して復活,Resurrect using <VAL> Golden Gemstone
RETRY_MSG_REVIVE_MENU_SHOP,黄金石を購入して復活,Revive with Golden Gemstone
RETRY_MSG_REVIVE_MENU_PENALTY,直前の拠点から再開,Revive at Last Camp
RETRY_MSG_DIALOG_PENALTY,"から再開します
よろしいですか？
<COL AA1414>状態異常【弱化】が発生します</COL>","Are you sure you want to revive
at the last camp?
<COL AA1414>You will be afflicted with
the Weakness debilitation.</COL>"
RETRY_MSG_REVIVE_MENU_RIM,リムを使用して復活,Revive with Rift Crystals
RETRY_MSG_DIALOG_RIM,"<COL FFFF00>リム</COL>を<VAL RIM>消費して救出します
よろしいですか？","Are you sure you want to resurrect by using
<VAL RIM> <COL FFFF00>Rift Crystals</COL>?"
RETRY_MSG_PENALTY_EXP_BBI,"状態異常【弱化】が発生しませんが
<COL AA1414>アイテムバッグの中身がすべて消失します</COL>",
RETRY_MSG_DIALOG_PENALTY_BBI,"に戻りますか？
状態異常【弱化】が発生しませんが
<COL AA1414>アイテムバッグの中身がすべて消失します</COL>",
