Identifier,Source string,Translation,Context,Labels,Max. length
EDIT_MSG_DIALOG_REPLY_YES,はい,Yes,"EDIT_MSG_DIALOG_REPLY_YES
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_NO,いいえ,No,"EDIT_MSG_DIALOG_REPLY_NO
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_OK,OK,OK,"EDIT_MSG_DIALOG_REPLY_OK
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_DECISION,はい,OK,"EDIT_MSG_DIALOG_REPLY_DECISION
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_CONTINUE,いいえ,Cancel,"EDIT_MSG_DIALOG_REPLY_CONTINUE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_BACKSPACE,キャンセル,Cancel,"EDIT_MSG_DIALOG_REPLY_BACKSPACE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_BACK,いいえ,Back,"EDIT_MSG_DIALOG_REPLY_BACK
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_ONLINESHOP,オンラインショップで購入する,Buy from Online Shop,"EDIT_MSG_DIALOG_REPLY_ONLINESHOP
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_REPLY_EDIT_SAVE,エディットをセーブする,Save the edits,"EDIT_MSG_DIALOG_REPLY_EDIT_SAVE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_CHOICE_SAVE,セーブ,Save,"EDIT_MSG_DIALOG_CHOICE_SAVE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_CHOICE_LOAD,ロード,Load,"EDIT_MSG_DIALOG_CHOICE_LOAD
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_EDIT_CANCEL,"エディットを終了して
前の画面に戻りますか？","Do you want to exit the editor and return to the
previous screen?","EDIT_MSG_DIALOG_EDIT_CANCEL
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_EDIT_FIX,"エディットを決定します
これでよろしいですか？",Are you sure you want these edits?,"EDIT_MSG_DIALOG_EDIT_FIX
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_CANCEL,"美容院をキャンセルします
よろしいですか？","Canceling changes
Do you wish to proceed??","EDIT_MSG_DIALOG_SALON_CANCEL
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_FIX,"<VAL>を使用して
エディットを変更します
よろしいですか？","Use <VAL>
to complete changes
OK?","EDIT_MSG_DIALOG_SALON_FIX
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_NOTGP,<VAL>が足りません,<VAL>GP is not enough,"EDIT_MSG_DIALOG_SALON_NOTGP
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_LOAD,"エディットのセーブ/ロード

性別や顔、体型などのモデルに関する
エディット情報をセーブ
またはロードすることができます","Save/Load edits

Save or Load edit information about the model, 
such as gender, face, body type, etc.","EDIT_MSG_DIALOG_SAVE_LOAD
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_WORD,現在のエディット情報をセーブします,Save current edits,"EDIT_MSG_DIALOG_SAVE_WORD
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_DATE,エディットデータ：,Edit data：,"EDIT_MSG_DIALOG_SAVE_DATE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_LOAD_OVERWRITE,"ロードしたエディット情報を
今のモデルに
適用してもよろしいですか？",Are you sure you wish to apply the loaded edit information to your current model?,"EDIT_MSG_DIALOG_LOAD_OVERWRITE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_ERROR_LOAD_NG_DATA,"ロードしたエディットデータは
破損しているため使用できません",Loaded edit data cannot be used because it is corrupted,"EDIT_MSG_DIALOG_ERROR_LOAD_NG_DATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_LOAD_OVERWRITE_AT,"ロードしたエディットデータは
設定できない項目が含まれているため
使用できません","Loaded edit data cannot be used
because it contains items that cannot be set","EDIT_MSG_DIALOG_LOAD_OVERWRITE_AT
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_ERROR_LOAD_NG_SEX,"ロードしたエディットデータは
設定している性別と異なるため
使用できません",The loaded edit data is different from the gender set and cannot be used,"EDIT_MSG_DIALOG_ERROR_LOAD_NG_SEX
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_ERROR_NAME_EMPTY,"名前が決定していません
名前を使用可能の状態にしてください",Please enter a name,"EDIT_MSG_DIALOG_ERROR_NAME_EMPTY
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_ERROR_NAME_USED1,"<NAME>は
すでに使用されている名前です
違う名前に変更してください","<NAME>is already in use.
Please try a different name.","EDIT_MSG_DIALOG_ERROR_NAME_USED1
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_ERROR_SPPARTS_NG,"選択した声は未購入のポーンボイスです
ポーンボイスはオンラインショップで購入できます","The voice you selected is an unpurchased pawn voice
Pawn voices are available for purchase in the online store","EDIT_MSG_DIALOG_ERROR_SPPARTS_NG
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVEDATA_SAVEWORD,セーブするスロットを選択してください,Please select the slot to save,"EDIT_MSG_DIALOG_PC_SAVEDATA_SAVEWORD
ui\00_message\ui\character_edit_dialog_win.gmd",,
