0,,"覚者さんじゃないですか！
城内の散策ですか？","You are an Arisen, aren't you?
Enjoying a stroll around the castle?",ui\00_message\npc\base\n3119.gmd,\npc\n3119.arc,n3119.arc,0,Tanel
0,,"ずっと落ち込んでたんです
だけど、ここへ来てからは空を眺める
余裕ができました
――覚者さんのおかげですよ！","I was depressed for quite some time, but since
coming here and looking at the sky, I have gained
some peace of mind.
It's all thanks to you, Arisen!",ui\00_message\npc\base\n3119.gmd,\npc\n3119.arc,n3119.arc,1,Tanel
0,,"この場内には様々な人がいますね
そういえば、盗賊みたいな服を着た
女の子もウロウロしてたなぁ","All sorts come to this hall, huh.
Oh, by the way, there was a girl about dressed
like a bandit.",ui\00_message\npc\base\n3119.gmd,\npc\n3119.arc,n3119.arc,2,Tanel
0,,"展望城の塔のてっぺんには
もう行かれましたか？
いい眺めですよ","Have you already been to the top of the Tower of
Lookout Castle?
It's such a great view.",ui\00_message\npc\base\n3119.gmd,\npc\n3119.arc,n3119.arc,3,Tanel
0,,"あら、覚者さんも
景色を眺めに来たの？","Oh, did you come to view the scenery, too, Ser
Arisen?",ui\00_message\npc\base\n3120.gmd,\npc\n3120.arc,n3120.arc,0,Ray
0,,"ここっていいところね
ちょっと覗くだけのはずだったんだけど
もうちょっとここに居るつもり","This place is nice, isn't it?
I was supposed to just take a quick look, but I
think I'll stay here a little longer.",ui\00_message\npc\base\n3120.gmd,\npc\n3120.arc,n3120.arc,1,Ray
0,,"ふぅ
高いところって空気が澄んでる気がしない？
風が吹いてるせいかな","Phew. Don't you feel like the air is clearer up
high?
Perhaps it's due to the wind.",ui\00_message\npc\base\n3120.gmd,\npc\n3120.arc,n3120.arc,2,Ray
0,,"はやく戦、終わらないかなぁ
楽しく盗みに入りたいよね","I wish the war would end already.
I want to get back to having fun stealing things.",ui\00_message\npc\base\n3120.gmd,\npc\n3120.arc,n3120.arc,3,Ray
0,,"おおっ、覚者さん！
こんなところでどうした？","Oh, an Arisen! What are you doing in a place like
this?",ui\00_message\npc\base\n3140.gmd,\npc\n3140.arc,n3140.arc,0,Elmer
0,,"こうしてオークに奪われた村も
取り返せるものなんだな
俺の故郷もいつか――","As it stands, even a village taken by Orcs can be
reclaimed.
Someday, my hometown too—",ui\00_message\npc\base\n3140.gmd,\npc\n3140.arc,n3140.arc,1,Elmer
0,,"地元では酒場をやってたんだ
戦が落ち着いて、解放軍が解体されたら――
またあの頃の常連を集めて飲みたいよ","I used to run a tavern in my hometown.
Once the war settles down and the Liberation Army
disbands... I want to gather the regulars from
those days and have a drink together again.",ui\00_message\npc\base\n3140.gmd,\npc\n3140.arc,n3140.arc,2,Elmer
0,,"この村のベイザばあさん
やたらおっかない顔してないか？
オーク相手にもあの調子だったのかな","Grandma Beza of this village looks very scary,
doesn't she?
I wonder if she was like that with the Orcs.",ui\00_message\npc\base\n3140.gmd,\npc\n3140.arc,n3140.arc,3,Elmer
0,,"――なに？
言いたいことがありそうな顔ね","...What is it?
You look like you have something to say.",ui\00_message\npc\base\n3141.gmd,\npc\n3141.arc,n3141.arc,0,Harriet
0,,あなたのおかげで、この村はもう安心ね,"Thanks to you, this village is safe now.",ui\00_message\npc\base\n3141.gmd,\npc\n3141.arc,n3141.arc,1,Harriet
