0,,"でも、いくらあなたが強くても
魔物がいっぱいいるところを木材かついで
歩くわけだから――
気を付けていってきてね","But no matter how strong you are, you're going to 
be walking through a place full of monsters with 
a load of lumber on your back...
So... take care of yourself.",ui\00_message\quest\q10300200.gmd,\quest\q10300200.arc,q10300200.arc,20,Carrie
0,,"調理台ができたから
簡単な料理なら作れるようになったんだ！
やっと料理人らしいことができるようになって
なんだか安心しちゃった","Now that I have a cooktop, 
I can cook simple meals!
It's a relief to finally be able to 
do something chef-like.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,0,Carrie
0,,"でも、今の環境じゃ火の扱いが
ちょっと難しいのが悩みどころかなぁ","But I guess the problem is that fire is a bit 
difficult to handle in the 
current circumstances.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,1,Carrie
0,,"こんな状況だからこそ
食べるもので病気になったりしないように
生ものはしっかり加熱したいんだけど――","I want to make sure that raw food is well heated 
so that we don't get sick from what we eat, 
precisely because of this situation...",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,2,Carrie
0,,釜戸、何とか直せないかなぁ,"The hearth... 
I wonder if it can be fixed somehow.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,3,Carrie
0,,"あのね、釜戸を直す材料には
心当たりがあって――","Well, I have an idea for fixing the hearth.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,4,Carrie
0,,"<COL ff2600>《粘土質の土》</COL>があれば、アタシと解放軍の人とで
協力して直せると思うんだよね
釜戸の構造はアタシが覚えてるからさ","If we have <COL ff2600>《Clay Soil》</COL>, I think 
I and the Liberation Army could cooperate to fix it. 
I remember the structure of the hearth, after all.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,5,Carrie
0,,"<COL ff2600>《粘土質の土》</COL>ね
ピレモスに行く途中で見た気がするんだ
ほら、食料を届けにいく途中で
ちらっと目にした記憶が――","<COL ff2600>《Clay Soil》</COL>... 
I think I saw it on my way to Piremoth. 
I remember catching a glimpse of it while I 
was on my way to deliver supplies—
just a fleeting memory.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,6,Carrie
0,,"今度ピレモスに行く時にでも見つけられないかなぁ
そしたら一石二鳥だよね
よし、探してみよう","I wonder if I could find it when we next go to 
Piremoth. That would be a win-win, right? 
Alright, let's go search for it.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,7,Carrie
0,,"もしかしたらアタシ、魔物を避けるので
必死になってるかもしれないから
あなたも一応覚えておいてくれない？
ピレモスに行く途中で<COL ff2600>《粘土質の土》</COL>、ってさ","Hey, just in case I get too focused on dodging 
monsters, could you keep it in mind? 
That clay-rich soil I was telling you about, 
near Piremoth, okay?",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,8,Carrie
0,,"釜戸を修理するための<COL ff2600>《粘土質の土》</COL>――
今度ピレモスに行く時にでも見つけられないかなぁ","That clay-rich soil we need to fix the hearth—
I wonder if we can find it 
next time we go to Piremoth.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,9,Carrie
0,,"もしかしたらアタシ、魔物を避けるので
必死になってるかもしれないから
あなたも一応覚えておいてくれない？
ピレモスに行く途中で<COL ff2600>《粘土質の土》</COL>、ってさ","I could be busy avoiding monsters, 
so can you remember that? 
On the way to Piremoth, there's<COL ff2600> 《clay soil》.</COL>",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,10,Carrie
0,,"あれっ――
いつの間に見つけたの！？",What?—When did you find it!?!,ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,11,Carrie
0,,"ううん、やっぱりアタシってば
魔物を避けるのに必死で
<COL ff2600>《粘土質の土》</COL>を探すのを忘れちゃってたみたい","I guess I was so focused on avoiding monsters 
that I forgot to look for the <COL ff2600>clay soil</COL>.",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,12,Carrie
0,,"あなたに言っておいてよかったわ！
これで釜戸が直せそう――ありがとう！","I'm so glad I told you! 
Now we can fix the hearth. Thanks!",ui\00_message\quest\q10300201.gmd,\quest\q10300201.arc,q10300201.arc,13,Carrie
0,,"調理台に釜戸――
ここもだいぶ食堂らしくなってきたよね","The cooking area with the hearth...
This place is really starting 
to feel like a dining hall.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,0,Carrie
0,,"あとは、潰されちゃった井戸が
元通りになれば言うこと無しだよ","As for the collapsed well, 
if it could be restored to how it was before, 
I'd have no further complaints.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,1,Carrie
0,,"料理ってなんだかんだで水をいっぱい使うでしょ？
食堂の中に井戸があるのと無いのとでは
大違いなんだ","You know, no matter how you look at it, 
cooking uses a lot of water.
You'd notice a big difference
if there was a well inside the dining hall 
compared with the lack of one.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,2,Carrie
0,,"うぅん――
やっぱり直したいなぁ――",Hmm... I definitely want to fix it...,ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,3,Carrie
0,,"井戸を直すための<COL ff2600>《水はけの良い石》</COL>なんだけど
実は、どこかで見たような気がするんだよね","The stone for fixing the well is called 
<COL ff2600>《Highland Akadama》</COL>.
I get the feeling I've seen it somewhere before, though.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,4,Carrie
0,,"どの辺りで見たかは忘れちゃったんだけど
「何かに使えそうだな」って思ったことだけは
覚えてるというか――","I've forgotten where I saw it, 
but I remember thinking 
""it looks like it could be used for something...""",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,5,Carrie
0,,"ほら、前もだったけど
いつどこから魔物が飛び出してくるかって
警戒してると、つい忘れちゃうんだよね","See, it was like before. When you're on edge, 
watching for monsters to appear at any time, 
you end up forgetting, don't you?",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,6,Carrie
0,,"この辺りに落ちてる物のこと
詳しそうな人っていないかな――","Could there be anyone nearby who knows more 
about the items scattered around here――?",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,7,Carrie
0,,"井戸を直すための<COL ff2600>《水はけの良い石》</COL>――
どこかで見たような気はするんだよね","<COL ff2600>《Highland Akadama》</COL>...
I feel like I've seen that somewhere before.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,8,Carrie
