2,q60200004_00_3139,<STG 202>に向かい<NPC 1026>から詳細を確認する,"Head to <STG 202> and confirm details
from <NPC 1026>",ui\00_message\quest_info\q60200004_00.gmd,\quest\q60200004.arc,q60200004.arc,2,Renton
0,q60200005_00_149,クラン拠点の門を叩いて,Banging the Gates of the Clan Hall,ui\00_message\quest_info\q60200005_00.gmd,\quest\q60200005.arc,q60200005.arc,0,Kibiza
1,q60200005_00_149,"キビザからの依頼で
覚者である友人を手助けする",Receive a gift in return from Elliot and Gurdolin,ui\00_message\quest_info\q60200005_00.gmd,\quest\q60200005.arc,q60200005.arc,1,Kibiza
4,q60200005_00_2139,商店区にいる<NPC 530>に伝言を伝える,"Relay the message to <NPC 530>
in the Shopping District",ui\00_message\quest_info\q60200005_00.gmd,\quest\q60200005.arc,q60200005.arc,4,Kibiza
2,q60200005_00_2140,酒場に設置されたクランクエストボードを調べる,"Examine the Clan Quest Board
that has been installed in the Tavern",ui\00_message\quest_info\q60200005_00.gmd,\quest\q60200005.arc,q60200005.arc,2,Kibiza
3,q60200005_00_2141,宿場区にいる<NPC 1011>に報告する,Report to <NPC 1011> in the Relay Station,ui\00_message\quest_info\q60200005_00.gmd,\quest\q60200005.arc,q60200005.arc,3,Kibiza
0,q60200006_00_140,辺境に眠りし宝１,The Treasure Lying in the Frontier 1,ui\00_message\quest_info\q60200006_00.gmd,\quest\q60200006.arc,q60200006.arc,0,Isaac
1,q60200006_00_140,"アイザックの依頼で、「氷気の遺路」「群像の岩屋」
「不浄の掃き溜め」のどれか1か所へ向かい、
最奥の宝箱を調べてくる","On Isaac's request, head to either
the Frigid Ancient Passage, Statuary Hollow,
or Cesspool of Filth, and find the treasure chest
at the deepest part.",ui\00_message\quest_info\q60200006_00.gmd,\quest\q60200006.arc,q60200006.arc,1,Isaac
2,q60200006_00_1973,指定されたダンジョンのうち1か所で、最奥の宝箱を調べる,"Examine the innermost treasure chest
in one designated dungeon.",ui\00_message\quest_info\q60200006_00.gmd,\quest\q60200006.arc,q60200006.arc,2,Isaac
3,q60200006_00_1974,アイザックに報告する,Report to Isaac,ui\00_message\quest_info\q60200006_00.gmd,\quest\q60200006.arc,q60200006.arc,3,Isaac
0,q60200007_00_139,辺境に眠りし宝２,The Treasure Lying in the Frontier 2,ui\00_message\quest_info\q60200007_00.gmd,\quest\q60200007.arc,q60200007.arc,0,Isaac
1,q60200007_00_139,"アイザックの依頼で、「せせらぎの地下聖堂」
「小塔傍の枯れ井戸」「霧幻のテラス」
「灼熱の封鎖道」「罪人の修獄」
のどれか１か所へ向かい、最奥の宝箱を調べてくる","On Isaac's request, head to either
the Crypt of Murmurs, the Towerside Dry Well,
Misty Illusion Terrace, or Scorching Blocked Passage,
and examine the innermost treasure chest.",ui\00_message\quest_info\q60200007_00.gmd,\quest\q60200007.arc,q60200007.arc,1,Isaac
2,q60200007_00_1975,指定されたダンジョンのうち１か所で、最奥の宝箱を調べる,"Examine the deepest treasure chest
in one designated dungeon.",ui\00_message\quest_info\q60200007_00.gmd,\quest\q60200007.arc,q60200007.arc,2,Isaac
3,q60200007_00_1976,アイザックに報告する,Report to Isaac,ui\00_message\quest_info\q60200007_00.gmd,\quest\q60200007.arc,q60200007.arc,3,Isaac
0,q60200008_00_142,辺境に眠りし宝３,The Treasure Lying in the Frontier 3,ui\00_message\quest_info\q60200008_00.gmd,\quest\q60200008.arc,q60200008.arc,0,Isaac
1,q60200008_00_142,"アイザックの依頼で、「橋向かいの坑道」
「ガルドノック廃水廊」「幽玄の霊堂」
のどれか1か所へ向かい、最奥の宝箱を調べてくる","At Isaac's request, go to either The Tunnel
across the Bridge, Gardnox Sewers,
or Mysterious Mausoleum, and investigate
the treasure chest at the very end.",ui\00_message\quest_info\q60200008_00.gmd,\quest\q60200008.arc,q60200008.arc,1,Isaac
2,q60200008_00_1977,指定されたダンジョンのうち1か所で、最奥の宝箱を調べる,"Examine the innermost treasure chest
in one designated dungeon.",ui\00_message\quest_info\q60200008_00.gmd,\quest\q60200008.arc,q60200008.arc,2,Isaac
3,q60200008_00_1978,アイザックに報告する,Report to Isaac,ui\00_message\quest_info\q60200008_00.gmd,\quest\q60200008.arc,q60200008.arc,3,Isaac
