0,,"それでは宝珠の力を解放しよう
――心を静かに、目を閉じるがよい","Now let us release the power of the Orb
--Quiet your mind and close your eyes.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,212,Joseph
0,,"そろそろ明るい兆しが見えても良いはずだが――
セシリーには焦るなと言ったものの
一番落ち着くべきなのはわたしかもしれんな","There should be a silver lining by now-- Although
I told Cecily not to rush I'm probably the one who
needs to calm down the most.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,71,Joseph
0,,"そんな世界があるとして、そこでは
どんな道理がはたらくのか――想像もつかんわ","If there is such a world, I can't imagine what
kind of reasoning would work there--I can't
imagine it!",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,13,Joseph
0,,"たとえば、各エリアランクが上昇したり
リム転移先とできる礎が解放されるといった
働きだな","For example, it works by increasing the rank of
each area or
releasing Portcrystals that can be used as a Rift
Teleport destination.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,182,Joseph
0,,"つまり、警戒していたはずだ
それなのに何故――","I mean, they should have been warned. So why--",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,50,Joseph
0,,"とすれば竜力の継承抜きに竜の討伐は
考えられないとは思わんか？","Don't you think it's impossible to defeat a
dragon without inheriting the power of Dragon
Force Augmentation?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,146,Joseph
0,,"どうした、不安なことがあるのか？
まず、おまえたちが落ち着かなくては","What's wrong? Is there something that's making
you anxious? First, you guys need to calm down.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,8,Joseph
0,,"どこかへ行っていたのか？
ふむ――これは隠し事の臭いだな","Did you go somewhere? Hmmm... This has the smell
of a secret.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,26,Joseph
0,,"どこへ行ってどう戦うべきか――
我々が考えるから、おまえは何も考えずに
戦ってくれればいい","Where to go and how to fight―― Just fight without
thinking, as we will do the thinking for you.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,44,Joseph
0,,"どのように成長したかは
見た目ではわからないからな
アーチボルトのところへ行って
確認してみることをすすめるよ","How you have grown is not apparent from your
appearance, so I recommend going to Archibald's
place and checking to confirm.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,160,Joseph
0,,はい,Yes,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,152,Joseph
0,,はい,Yes,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,163,Joseph
