0,,"おっと、商品をみたいかい？
申し訳ない、今は準備しきれて
いないものも多くてね","Oh, do you want to see the goods? I'm sorry,
there are many things that haven't been fully
prepared yet.",ui\00_message\npc\base\n0509.gmd,\npc\n0509.arc,n0509.arc,2,Peddler
0,,覚者さま、ご機嫌いかがですか,"Master Arisen, how are you feeling today?",ui\00_message\npc\base\n0510.gmd,\npc\n0510.arc,n0510.arc,0,Man
0,,"ああ、ちょっと待ってください
――はい、何か？","Ah, please wait a little ―― Yes, what is it?",ui\00_message\npc\base\n0510.gmd,\npc\n0510.arc,n0510.arc,1,Man
0,,"武器でも作れたら商売になるかもと
思うこともあるんですがね","I sometimes think that it might be good for
business if we could make some weapons.",ui\00_message\npc\base\n0510.gmd,\npc\n0510.arc,n0510.arc,2,Man
0,,やあ、調子はどうだい,"Hey, how are you feeling?",ui\00_message\npc\base\n0511.gmd,\npc\n0511.arc,n0511.arc,0,Man
0,,今日があるのも、白竜さまのおかげだよ,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0511.gmd,\npc\n0511.arc,n0511.arc,1,Man
0,,こう魔物が増えちゃ、たまらないな,"These enemies are multiplying, it's really
overwhelming.",ui\00_message\npc\base\n0511.gmd,\npc\n0511.arc,n0511.arc,2,Man
0,,ご機嫌いかが？,How are you?,ui\00_message\npc\base\n0512.gmd,\npc\n0512.arc,n0512.arc,0,Woman
0,,暮らしは厳しくなる一方だね,"Yes, life is becoming increasingly difficult.",ui\00_message\npc\base\n0512.gmd,\npc\n0512.arc,n0512.arc,1,Woman
0,,お仕事、頑張ってくださいな,"Please, do your best with your work.",ui\00_message\npc\base\n0512.gmd,\npc\n0512.arc,n0512.arc,2,Woman
0,,"おや、覚者さんかな
研究に付き合って貰って感謝しているよ","Oh, are you an Arisen? I'm grateful for your
assistance in my research.",ui\00_message\npc\base\n0513.gmd,\npc\n0513.arc,n0513.arc,0,Christoph
0,,"異変はそこかしこで起こっている
私はそれを探求していてね
レスタニア中を巡っている","There are strange occurrences happening
everywhere I am investigating them, you know.
Traveling throughout Lestania.",ui\00_message\npc\base\n0513.gmd,\npc\n0513.arc,n0513.arc,1,Christoph
0,,この辺りをもう少し調べていくか――,Should I investigate this area a little further?,ui\00_message\npc\base\n0513.gmd,\npc\n0513.arc,n0513.arc,2,Christoph
0,,やあ、調子はどうだい,"Hey, how are you doing?",ui\00_message\npc\base\n0514.gmd,\npc\n0514.arc,n0514.arc,0,Thomas
0,,今日があるのも、白竜さまのおかげだよ,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0514.gmd,\npc\n0514.arc,n0514.arc,1,Thomas
0,,こう魔物が増えちゃ、たまらないな,"These enemies are multiplying, it's really
overwhelming.",ui\00_message\npc\base\n0514.gmd,\npc\n0514.arc,n0514.arc,2,Thomas
0,,"ああ、素晴らしきかな食事！
料理とはあらゆる素材と料理人の手が
織りなす究極のハーモニーなのだ！","Ah, a wonderful meal!
Cooking is the ultimate harmony of all
ingredients and the cook's hands!",ui\00_message\npc\base\n0515.gmd,\npc\n0515.arc,n0515.arc,0,August
0,,"珍しい食材について知っていたら
教えてくれたまえ","If you know anything about rare ingredients,
please tell me.",ui\00_message\npc\base\n0515.gmd,\npc\n0515.arc,n0515.arc,1,August
0,,"ふむ――意外とあの魔物の肉は
焼いたらいけるかもしれんな","Hmm... I wonder if that monster's meat could be
cooked.",ui\00_message\npc\base\n0515.gmd,\npc\n0515.arc,n0515.arc,2,August
0,,ヒヒヒヒ――ご機嫌いかが？,Hehehe――How are you feeling today?,ui\00_message\npc\base\n0516.gmd,\npc\n0516.arc,n0516.arc,0,Dalia
0,,"わたしはね、あれを探しているのさ
アレをね――","I am looking for it, you know. That thing, you
know.",ui\00_message\npc\base\n0516.gmd,\npc\n0516.arc,n0516.arc,1,Dalia
0,,なんだい、何か用でもあるのかい？,What's up? Do you need something?,ui\00_message\npc\base\n0516.gmd,\npc\n0516.arc,n0516.arc,2,Dalia
0,,やあ、調子はどうだい,"Hey, how are you doing?",ui\00_message\npc\base\n0517.gmd,\npc\n0517.arc,n0517.arc,0,Dubois
0,,今日があるのも、白竜さまのおかげだよ,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0517.gmd,\npc\n0517.arc,n0517.arc,1,Dubois
0,,こう魔物が増えちゃ、たまらないな,"These enemies are multiplying, it's really
overwhelming.",ui\00_message\npc\base\n0517.gmd,\npc\n0517.arc,n0517.arc,2,Dubois
0,,"やあ、君も探索かね？
この辺りはなかなか興味深いと思わないか","Hey, are you also exploring? Don't you find this
area quite interesting?",ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,0,Marquis
0,,"私は人を試すのが趣味でね――
いやいや、悪くとらないでくれたまえ","I enjoy testing people— No, no, no, don't take
this the wrong way.",ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,1,Marquis
0,,"単に人に興味があるだけだよ
ある者が何を目指し、何を思い、何を成すかね","I'm simply interested in people.
What some aspire to, what some think, what some
accomplish.",ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,2,Marquis
0,,"君は、なかなか腕に自信がありそうだ
――時に思うことはないかな？","You seem to have confidence in your skills. Do
you ever wonder about it?",ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,3,Marquis
0,,己の力量は、真にどれほどのものか――とね,How much are your abilities really worth?,ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,4,Marquis
0,,おお、私に何か用かね？,"Oh, do you need something from me?",ui\00_message\npc\base\n0518.gmd,\npc\n0518.arc,n0518.arc,5,Marquis
0,,はぁい、何か用？,"Yes, can I help you?",ui\00_message\npc\base\n0519.gmd,\npc\n0519.arc,n0519.arc,0,Freya
