0,,"我がもの顔で暴れてる奴らの隠れ家に
乗り込んで、一つ懲らしめてやってくださいよ","Please go to
to the hideouts of those who are raging against
themselves and punish them one by one!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,52,Roy
0,,"ヤツら、金目の装身具をずいぶん
略奪してるみたいで、鉱泉の客足にも
響くってもんです","They seem to be looting a lot of gold-grained
trinkets
, which will affect the number of visitors to the
mineral springs
",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,53,Roy
0,,"うーむ困ったことになったんですよ
覚者さん！","Ummm, I'm in trouble, Arisen!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,54,Roy
0,,"ボルド鉱山の頂きに、祠があるのはご存知で？
その祠――《山頂の小堂》付近が
グリフィンの巣になってましてね","Did you know that there is a shrine at the top of
the Boldt Mine?
That shrine - near the small hall at the top of
the mountain
is a Griffin's nest.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,55,Roy
0,,"グリフィンがしばしばそこで羽休めをしてたん
ですが、特に厄介なグリフィンが
舞い戻ってきたんですよ！","Griffins often rested their wings there
, but one particularly nasty griffin came back
!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,56,Roy
0,,"覚者さん、どうかそのグリフィンを
追い払っちゃくれませんかね？
また、詳しくは追って説明しますんで","Arisen, can you please get rid of that griffin?
I'll explain the details later.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,57,Roy
0,,"当鉱泉はお客様の需要にあわせ
３つの浴場を用意してますよ","We have three bathhouses at
to meet your needs!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,58,Roy
0,,"どうぞ、ごゆるりと
それぞれのお湯を楽しんでください！
入場キーは受付けのルーシーが販売しております","Please relax and
enjoy each hot tub!
Admission keys are available for sale by Lucy at
the reception!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,59,Roy
0,,"私は一応この地域の顔役もやってましてね
組合宿のリビアンともども、自治と仕事の斡旋も
引き受けてるってわけです","I'm also the face of the community
and the union inn, Livian, and I also take care
of the local government and job placement
",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,60,Roy
0,,"キノザとボルド鉱山のため、良かったら
一肌脱いで頂けませんかね、風呂だけに！","For the sake of Kinoza and Volden Mine, if you
would like to
please give us a skinful, just for the bath!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,61,Roy
0,,"実は、ちょっと私は人外方面の方とも
付き合いがありましてね","Actually, I have a bit of a relationship with
the non-human side of things, too.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,62,Roy
0,,"覚者さんだったら、ご存知じゃありませんか？
穴ぐらに住んでる連中と会ったら
よろしくお伝えください","If you are an Arisen person, wouldn't you know?
If you see any of the guys living in the cave,
please send them my regards at
",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,63,Roy
0,,"おお、いらっしゃい！
キノザとボルドに関して
私に何かご用で？","Oh, welcome!
Regarding Kinoza and Volden:
What can I do for you?",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,64,Roy
0,,"おお、覚者さんにお伝えしたいことがあるんですよ！
《辺境の礎》ってやつがこのボルドでも
使えるようになりましてね","Oh, I have something to tell you, Arisen!
Subcrystals are now available at here in Volden!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,65,Roy
0,,"何でも、行きづらかったところに
一瞬で到着する便利な代物だとか","I hear it's a convenient way to get to places
you've been trying to get to
in an instant.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,66,Roy
0,,"キノザの管理者としては、ボルドにいらっしゃるなら
ぜひともこのキノザに寄って一風呂浴びていって
ほしいところですが――","As the manager of Kinoza, if you're in Volden,
I'd love for you to stop by Kinoza and take a
bath.
",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,67,Roy
0,,"ま、任務の途中や帰りにも、疲れを癒すために
ぜひお湯に浸かっていってくださいよ！
いつでもお待ちしてますんで！","Well, please visit
to soak in the hot water to relieve your fatigue
on your way to or from your mission!
We're always waiting for you!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,68,Roy
0,,"おお、覚者さんじゃないですか！
ちょうどよかった
一つ相談に乗っちゃくれませんか","Oh, you are an Arisen, aren't you?
I was just in time.
Can you help me with one thing?",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,69,Roy
0,,"いや、《ボルド大坑道》についてなんですけどね
せっかく再開発も軌道に乗り始めたところだってのに
最近妙な噂が立っちまって鉱員が集まらないんですよ","No, I'm talking about the Boldt Tunnel.
The redevelopment is just getting back on track.
Lately there have been strange rumors and it's
hard to get miners.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,70,Roy
0,,"なんでも、骸骨騎士が坑内を歩いてる――とか
光るドクロがこっちを見てた――とか
気味が悪いでしょう","Anything, a skeletal knight walking down the mine
shaft-- or
a glowing skull looking at me-- or
It must be creepy!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,71,Roy
0,,"多分何かの魔物がうろついてるんだと思うんですがね
覚者さん、そいつを退治してきてくれませんか","I think there's probably some kind of demon
hanging around.
Arisen, can you go kill that guy?",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,72,Roy
0,,"詳しくは追って説明しますんで
一度考えてみてください
このボルドの未来のためと思って、頼みます！","I'll follow up with more details.
Please think about it once
I'm asking you to do this for the future of this
Volden!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,73,Roy
0,,"ところで覚者さん、《ボルド大坑道》の中にある
《灼熱の封鎖道》なんですが
ご興味があったりはしませんかね？","By the way, Arisen, I was wondering if you might
be interested in
""Burning Blockade"" in the ""Great Volden Tunnel""?",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,74,Roy
0,,"いえ、というのもですね！
ああいうところには良質な鉱脈が
埋まっていることが多いんですよ","No, I mean, you know!
There are often good veins of ore
buried in places like that!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,75,Roy
0,,"特に私が目を付けているのは
この辺りだけで、それもごく少量しか採れない
貴重なボルディックダイヤってやつでしてね","I'm particularly interested in
which is only found around here, and only in very
small quantities.
It's called a precious bordic diamond.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,76,Roy
0,,――あるんじゃないか、と――！,"――Maybe, or maybe not――!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,77,Roy
0,,"あそこは地下のマグマの活性度によって
坑内の気温がやたら上がってしまうってことで
封鎖してたんですが
今なら何とか入れる状態なんですよ","The mine was closed
because the activity of the magma underground
causes
the temperature in the mine to rise dramatically,
but
it is now in a state where we can manage to get
in.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,78,Roy
0,,"今回もこっそり封鎖を解いておきますんで
よかったら、一度中を調査してみてください！
絶対何かあると思うんですよね、あそこは――","I'll be sneaking off the blockade again this time.
If you'd like, you can investigate inside once
more!
I'm sure there's something in there that--",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,79,Roy
0,,"おや、ちょうどいいところに！
覚者さんにご相談したいことが
あったんですよ！","Oh, just in time!
There was something I wanted to discuss with the
Arisen
!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,80,Roy
0,,"実は私も《灼熱の封鎖道》に入ってみたんですがね
ボルディックダイヤどころか
ジオゴーレムを見つけてしまいまして！","I actually went into the ""Burning Blockade""
and found not only a bordic diamond, but
a geo-golem!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,81,Roy
0,,"いやぁ、やっぱり封鎖されて長いと
ああいうのが棲みついてしまうんですねぇ","Well, after all, if it's been blockaded for a
long time,
that kind of thing will inhabit it.",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,82,Roy
0,,"なんとか討伐をお願いできないでしょうか？
詳しくはまた追ってご説明しますので！","Can you please manage to take them down?
I will explain the details as soon as possible!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,83,Roy
0,,"いやぁ～～！！
覚者さんのご活躍には
我々ただもう舌を巻くばかり！","Oh no!
We at
just can't get enough of your work!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,84,Roy
0,,"このキノザ鉱泉の管理者として、
そしてボルドのエリアマスターとして
ここはお礼を奮発しないとですな！","As the manager of Kinoza Mineral Springs,
and as an Area Master of Voldic,
we need to spare no expense to show our gratitude
here!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,85,Roy
0,,"良いものを取り揃えておきますんで
今後とも、どうぞよしなに！","We will prepare good things for you
so please continue to favor us in the future!",ui\00_message\npc\base\n1604.gmd,\npc\n1604.arc,n1604.arc,86,Roy
0,,"いやぁ、温泉は最高だよ！
まさに命の湯、生き返るね！","Oh, hot springs are the best!
It's truly the water of life, it revitalizes you!",ui\00_message\npc\base\n1605.gmd,\npc\n1605.arc,n1605.arc,0,Kennec
0,,"キノザに来たら、一回はほら
行きたいだろ！？　《豊穣の泉》！！
しかしアレだよ、料金がなぁ","When you come to Kinoza, you know you want to go
to
at least once! You want to go to the Fountain of
Abundance at least once when you come to Kinoza!
But that's the thing, the price.",ui\00_message\npc\base\n1605.gmd,\npc\n1605.arc,n1605.arc,1,Kennec
0,,"ふー、湯の後は酒場で一杯！
お陰でここを離れられないよ","Whew, after the hot water, I had a drink at the
bar!
Thanks to you, I'll never leave this place!",ui\00_message\npc\base\n1605.gmd,\npc\n1605.arc,n1605.arc,2,Kennec
0,,やあ、何かな？,"Hello, do you need something?",ui\00_message\npc\base\n1605.gmd,\npc\n1605.arc,n1605.arc,3,Kennec
0,,"覚者がわざわざボルド地方まで任務か
まぁ、大かた温泉目当てだろう？","So, the Arisen went all the way to the Volden
region on a mission.
Well, they went for the hot springs, didn't they?",ui\00_message\npc\base\n1606.gmd,\npc\n1606.arc,n1606.arc,0,Sisley
0,,"キノザは鉱石と武具の町でもある
白竜神殿や、我ら白騎団
それに覚者にとっても重要な拠点だ","Kinoza is not only a town of minerals and
armaments, but also serves as a significant base
for the White Dragon Temple, our White Knights,
and is of importance to the Arisen ones as well.",ui\00_message\npc\base\n1606.gmd,\npc\n1606.arc,n1606.arc,1,Sisley
0,,"だからその、なんだ
お前ら覚者が見張りになってもいいと
思うんだがな","So, you know, what the hell.
I'm sure you Arisen folks could be on the
lookout for
",ui\00_message\npc\base\n1606.gmd,\npc\n1606.arc,n1606.arc,2,Sisley
0,,"ハインツ副団長にあったらよろしく伝えてくれ
あと、そろそろ配置変えはどうか、とな","Please give my regards to Vice Commander Heinz
and also, how about changing the formation soon?",ui\00_message\npc\base\n1606.gmd,\npc\n1606.arc,n1606.arc,3,Sisley
0,,うん？　覚者か,Hmm? An Arisen?,ui\00_message\npc\base\n1606.gmd,\npc\n1606.arc,n1606.arc,4,Sisley
0,,ほら、向こうの山頂に祠が見えるでしょ？,"Look, can you see the shrine at the summit over
there?",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,0,Eugene
0,,"あの《山頂の小堂》は
以前は白竜様と、故人への祈りの場として
大事にされる場所だったそうです","That ""small hall at the top of the mountain""
used to be a place of prayer for the White Dragon
and the deceased
",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,1,Eugene
0,,"今はちょくちょく魔物が出る上
でっかい鷲がすぐ傍に巣を作ったとかで
寄りつく人が居なくなったとか","Nowadays, there are always demons and
a big eagle has built a nest right next to it, so
there's no one left to hang around.",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,2,Eugene
0,,どこも大変ですよねえ,"Everywhere is tough, isn't it?",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,3,Eugene
0,,"キノザは人も多いし品も豊富です
商売するにはいい土地なんですが
商売仇が多いのが玉に傷ですねえ","Kinoza has a lot of people and a lot of goods.
It's a good place to do business.
It's just that there are a lot of business people.",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,4,Eugene
0,,"あたしにとっては、準備と勉強の場って
とこでしょうか","For me, the place to prepare and study is at
",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,5,Eugene
0,,"あたしゃ、近々素材を扱う行商を
始めようと思ってるんですよ","I'm thinking of starting a materials peddling
business
in the near future!",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,6,Eugene
0,,"近くに素材を取りにいくにも
なかなかどうして魔物が厄介なんですよ","It's not easy to gather materials nearby
because of those troublesome monsters.",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,7,Eugene
0,,いい坑道はあちこちにあるんですけどねえ,"There are good mines everywhere, but...",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,8,Eugene
0,,"どうも覚者さん
あたしにご用で？","Hi, Arisen.
You wanted to see me?",ui\00_message\npc\base\n1607.gmd,\npc\n1607.arc,n1607.arc,9,Eugene
0,,"ふー、遠出したいけど勇気がでなくて――
強い護衛を雇うしかないかなぁ","Whew, I want to go away, but I'm not brave
enough--
I guess I'll just have to hire a strong escort.",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,0,Nelson
0,,"ゴツゴツした岩みたいな鬼やらトカゲやら
外にはうようよ居るっていうじゃないか
あわわわ","There are rough-looking demons or lizards or
something like that,
and they say that there are a lot of them outside.
Ahh...",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,1,Nelson
0,,"よ、よしリンウッドまで行くぞ！
そ、そのうちに――","Alright, let's go to Lynwood!
And, eventually--",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,2,Nelson
0,,や、やぁ、何か用？,"Um, um, do you need something?",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,3,Nelson
0,,"そ、そういえばさ
キノザからちょっと山の麓へ下りて
北に行ったところに《ボルド小坑道》って
場所があるのは知ってるかい？","Oh, by the way,
did you know that there is a place called ""Volden
Narrow Tunnels""
north of Kinoza, a little down the foot of the
mountain?",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,4,Nelson
0,,"そこはかなり前から怖いオーガがうろつく
ようになったんたけど、派遣された騎士団が
かなりやられちゃったらしいんだ！","There has been a scary ogre roaming
around there for quite a while now, but the
knights who were sent there
got hit pretty hard, I heard!",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,5,Nelson
0,,"戦いの跡がまだ残ってて、《山腹の野戦場》
なんて呼ばれているよ
ううう、おそろしい――！","There are still battle scars and it's called
《Fieldsides of the Mountainside》
Ugh, horrifying--!",ui\00_message\npc\base\n1608.gmd,\npc\n1608.arc,n1608.arc,6,Nelson
0,,"ふう、貴重な宝石の原石を探しに
ここへ来たのだけれど、魔物が邪魔で
なかなか思うように探せないわ","I came here
to look for precious gemstones, but the demons
are in the way
and I can't find them as easily as I'd like.",ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,0,Nirvana
0,,"ねぇあなた、《ボルド大坑道》へは行った？
閉鎖されてから、中はどうなっているのかしら","Hey, have you been to the Volden Tunnel?
I wonder what's going on in there since it was
closed.",ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,1,Nirvana
0,,"巨人出現って、サイクロプスかコロッサス
でも出たのかしら","Giants appeared, were there also Cyclops or
Colossus
?",ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,2,Nirvana
0,,"魔物の中には、宝石を身体に生やした
ステキな生き物もいるそうなの","It seems that among the enemies there are also
creatures with gems growing on their bodies like
",ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,3,Nirvana
0,,"まるで宝石そのもの、みたいな魔物も
いるらしいわ","They say there are monsters that look just like
real gems.",ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,4,Nirvana
0,,なんとか生け捕りにできないかしら,I wonder if they can be captured alive somehow,ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,5,Nirvana
0,,その様子、あなたも探索者かしら？,Are you also an adventurer exploring this place?,ui\00_message\npc\base\n1609.gmd,\npc\n1609.arc,n1609.arc,6,Nirvana
0,,"ここは《癒しの泉》です
ゆっくり旅のお疲れを癒してくださいね","This is the ""Spring of Healing""
Please relax and heal your fatigue from your
journey",ui\00_message\npc\base\n1610.gmd,\npc\n1610.arc,n1610.arc,0,Serea
0,,"浴場では、ミックスハーブの蒸気も
炊いているんですよ","In the bath, we are also steaming
mixed herbs",ui\00_message\npc\base\n1610.gmd,\npc\n1610.arc,n1610.arc,1,Serea
