0,,"あー、見つかっちゃったか
隠れてるつもりだったんだけどなぁ","Ah, it seems I've been found out. I thought I was
hiding well.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,0,Enf
0,,"砦に入れてもらえたのはいいんだけど
人手が足りないからってさ
鎧着せられそうになってびっくりしたよ","I'm glad they let me into the fortress, but I was
surprised when they tried to put armor on me
because they're short-staffed.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,1,Enf
0,,"僕、大きい音がダメになっちゃってさ
血の臭いとかも――
絶対、気が遠くなってくるんだ
弱虫だろ","I can't handle loud noises, you know.
Even the smell of blood...
It makes me feel dizzy.
I'm such a coward.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,2,Enf
0,,"覚者さんはいいなぁ
血が出ても、ちょっとくらいなら死なないんだろ
僕の姉さんはあっという間に顔が
真っ白になっちゃってさ――","Arisen are amazing, aren't they?
Even if they bleed, they probably won't die from
just a little.
My older sister's face turned completely pale in
an instant...",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,3,Enf
0,,"あら、覚者様！
砦奪還の英雄じゃないですか","Oh, Ser Arisen!
You're the hero who recaptured the fortress,
aren't you?",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,0,Seda
0,,"お聞きになった？
あそこにいるミカエラっていう女の子
あの子の歌から、ネド王子のご存命が
わかったそうですわよ","Did you hear about it? Thanks to that girl
Michaela over there, we learned that Prince Nedo's
alive from her song.",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,1,Seda
0,,"ここにいる武装してる人たちってね
元々軍属だった兵士さんもいれば
兵士も民間人も寄せ集めで武装したっていう
解放軍の戦士さんもいるらしいですよ","The armed individuals here, you see, include not
only former military personnel, but also a mix of
soldiers and civilians who armed themselves.
There are even warriors from the Liberation Army,
it seems.",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,2,Seda
0,,"私、ここに寄せてもらう前は
近くの洞窟の入り口で雨風を
しのいでたんです――
薄気味悪くて堪らなかったわね――","Before I came here, I was taking shelter at the
entrance of a nearby cave to escape from the rain
and wind ――
It was creepy and unbearable――",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,3,Seda
0,,"あら、覚者さま
こんなところにまで、どうされました？","Oh, Ser Arisen. What brings you to this place?",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,0,Tabitha
0,,"オークに捕らわれた人たちを
解放してあげることができて良かった――
危ないところでしたから","I'm glad I could free the people captured by the
orcs – it was a dangerous situation.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,1,Tabitha
0,,"捕らわれていた人たちは
まだ深く傷ついていて――
無理もないことです","The people who were captured are still deeply
wounded, and it's completely understandable.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,2,Tabitha
0,,"兵士である私がここに残ることで
みなさん、少しは気持ちが安らぐようですよ","By remaining here as a soldier, I hope it can
bring some peace of mind to all of you.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,3,Tabitha
0,,"ああ、覚者様
様子を見に来てくださったのですか？","Oh, Arisen, have you come to check on the
situation?",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,0,Youin
0,,"この村が解放されたのも
覚者様のお陰と聞いております
ありがとうございます","I have heard that this village was liberated
thanks to the Arisen.
Thank you.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,1,Youin
0,,"まだ気疲れが取れませんでな
いえ、覚者様に気にしていただくようなことでは――","I still can't shake off my fatigue. No, it's not
something for the Arisen to worry about...",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,2,Youin
0,,"もう、捕らわれていた時は
色々と覚悟をしていましたので――
まだ緊張が抜けないと言いますか、ね――","Even when I was captured, I was prepared for
various things. I can't say the tension has
completely eased.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,3,Youin
0,,やぁ、覚者様じゃないですか,"Oh, if it isn't the Arisen!",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,0,Ethan
0,,"こうして暮らしていけるのも
この村を解放してくださったお陰ですよ","We are able to live like this thanks to the
liberation of this village.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,1,Ethan
0,,"これから、ですか？
――いえ、以前と同じように暮らしていきます","From now on?
――No, we will continue to live as we did before.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,2,Ethan
0,,"囚われている間、ずっと
前みたいに暮らしたいって思ってたんです
地味な生活、大いに結構ですよ","While I was imprisoned, I kept thinking I wanted
to live like I used to. A simple life is more than
fine.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,3,Ethan
0,,"働いて、食べて、寝る
これ以外のことは今のところ
何も望んじゃいません","Work, eat, sleep – I don't want anything else for
now.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,4,Ethan
0,,"ふぅ――
あ、ハイハイ！　何がご入用でしょう？","Phew, uh, yes, what can I assist you with?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,0,Lucinda
0,,"そりゃ、辛いことも疲れも溜まってますけどね
働かないことには、ねぇ","Well, even with the hardships and exhaustion, we
can't just sit around doing nothing, can we?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,1,Lucinda
0,,"うちの店、どうです？
よそのお店ってもっと品揃えが
良かったりするのかしら――","How do you like our shop? I wonder if other shops
have better selections.",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,2,Lucinda
0,,"セイディは――
セイディは、私の姪なんです","Sadie is...
Sadie is my niece.",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,3,Lucinda
0,,だから、私が替わりに育ててやれたらって――,That's why I wanted to take care of her instead...,ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,4,Lucinda
0,,覚者さま、こんにちは,"Ser Arisen, hello.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,0,Sadie
0,,オークは臭いからキライ,I hate Orcs because they smell.,ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,1,Sadie
0,,"檻の中に入れられたの、すごく嫌だった
覚者さまが助けてくれたんだよね","I really hated being put in a cage.
Ser Arisen, thank you for saving me.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,2,Sadie
0,,"ねぇ、覚者さま
ママを知らない？
わたし、ママと違うところに閉じ込められてたの","Hey, Arisen. Do you know where my mom is?
I was kept somewhere different from her.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,3,Sadie
0,,はい、何でしょう,"Yes, what is it?",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,0,Curtis
0,,"そうですね、一応は私が
ここの守備責任者ということになります","Well, I suppose for now, I will be in charge of
the defense here.",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,1,Curtis
0,,"――ああ、エディの言うことは
気になさらないでください","- Please don't worry about what Eddie says, okay?",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,2,Curtis
0,,"どこも物資、人手共に不足しています
ギリギリですが、あるもので
どうにかするしかないでしょう――","Supplies and manpower are scarce everywhere.
We're barely managing, but we have no choice but
to make do with what we have until...",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,3,Curtis
0,,"おおっ、覚者様
何かご用でしょうか！","Oh, Arisen!
What can I do for you?",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,0,Eddie
0,,"早く手柄を立てて、カーティス隊長の
自慢の部下になりたいんですよ","I want to quickly accomplish great feats and
become Captain Curtis' proudest subordinate.",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,1,Eddie
0,,"いえね、俺ってこう見えて
元は木こりやってたんですよ
でも解放軍に入って、これは運命かも知れないって","Actually, I used to be a lumberjack. But now I'm
in the Liberation Army, so this might be fate.",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,2,Eddie
0,,"もう何でもいいから
とにかく手柄立てられないかな――","I don't care about anything anymore, so could I
at least achieve some kind of accomplishment...",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,3,Eddie
0,,"あー、はいはい
何が必要ですかね","Ah, yes, yes.
What do you need?",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,0,Sean
0,,"ああ、道具類の手入れはこまめにしてますよ
きっちり使えますんで、安心して
買ってってください","Ah, I regularly maintain and take care of my
tools, so you can rest assured. Please go ahead
and purchase them.",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,1,Sean
0,,"はいはい、なんですかね
――俺からは特に用は無いんですけど","Yes, yes, what is it?
――I don't particularly have any business with you.",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,2,Sean
0,,"火種は大量に買っといた方がいいですよ
何と言っても、そんなにかさばりませんから
そんでもって無いと大変なことになるでしょう","It's a good idea to stock up on tinder. After
all, it doesn't take up much space, and it can be
a lifesaver.",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,3,Sean
0,,"洞窟の奥で火種が切れる――
なんて状況、ゾッとしますからね","The fire dies out deep in the cave -
Such a situation gives me the chills, you know.",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,4,Sean
0,,――何か用かな,Do you have any business with me?,ui\00_message\npc\base\n2893.gmd,\npc\n2893.arc,n2893.arc,0,Sidika
0,,"特に怪我はなさそうだね
よかった","It doesn't seem like there are any injuries in
particular. That's a relief.",ui\00_message\npc\base\n2893.gmd,\npc\n2893.arc,n2893.arc,1,Sidika
0,,"ここでの任務が終われば
また別の任地に送られるだけだ
ま、それが仕事だから","Since you're here, how about taking a little
break too, Arisen? You need a good night's sleep
to stay sharp for when it really matters.",ui\00_message\npc\base\n2893.gmd,\npc\n2893.arc,n2893.arc,2,Sidika
0,,覚者ってのも大変そうだな,"Being an Arisen seems like a tough job, doesn't
it?",ui\00_message\npc\base\n2893.gmd,\npc\n2893.arc,n2893.arc,3,Sidika
0,,"イェルハルド様は多忙だ
ロスギルの村のことなら
まずは俺を通してもらおうか","Lord Gerhard is busy. If it's about Rothgill
village, it's better to go through me.",ui\00_message\npc\base\n2900.gmd,\npc\n2900.arc,n2900.arc,0,Victor
0,,"俺が誰かって？
イェルハルド様の筆頭補佐官といえば俺だ
――まぁ、貴方はこの国の者でもない
多少の無礼も大目に見よう","Who am I, you ask? I'm the chief assistant to
Lord Gerhard.
Well, since you're not from this country, I'll
overlook a little rudeness.",ui\00_message\npc\base\n2900.gmd,\npc\n2900.arc,n2900.arc,1,Victor
0,,"イェルハルド様はお忙しい
伝言なら俺がことづかろう","Lord Gerhard is quite busy. If it's a message, I
can take care of it.",ui\00_message\npc\base\n2900.gmd,\npc\n2900.arc,n2900.arc,2,Victor
0,,"怪しげであっても客人だ
イェルハルド様のためにも
貴方をもてなすよう皆に言っておいた","Even if it's suspicious, you're a guest.
I've told everyone to treat you well for Lord
Gerhard's sake.",ui\00_message\npc\base\n2900.gmd,\npc\n2900.arc,n2900.arc,3,Victor
0,,"や、調子どうだい？
戦技のことなら相談に乗るよ","Hey, how are you doing? If you have any questions
about battle techniques, I'm here to help.",ui\00_message\npc\base\n2901.gmd,\npc\n2901.arc,n2901.arc,0,Laura
0,,"いやー、いいねぇ
自分の望んだように戦えるっての
羨ましいよ","Oh, I see. That's nice.
Being able to fight the way you want, I'm envious.",ui\00_message\npc\base\n2901.gmd,\npc\n2901.arc,n2901.arc,1,Laura
0,,"アタシ？
アタシは今、療養中ってやつさ
体が良くなれば、また村の外に行くつもりだよ","Me? I'm currently in recovery. Once my body gets
better, I plan to go outside the village again.",ui\00_message\npc\base\n2901.gmd,\npc\n2901.arc,n2901.arc,2,Laura
0,,"覚者ってのは色んな技を覚えてるもんだね
戦技補佐のしがいがあるよ","Arisen are skilled in various techniques, huh?
There's satisfaction in supporting their martial
arts.",ui\00_message\npc\base\n2901.gmd,\npc\n2901.arc,n2901.arc,3,Laura
0,,"ようこそおいでくださいました
さぁ、ゆっくり休んでいってくださいね","Welcome, please come in and rest. Take your time
to relax.",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,0,Ingrid
0,,"ご宿泊は<VAL PRICE_INN>です
ロスギル名物、翡翠湖で採れた魚を使った
お粥もサービスしますよ！
きっと身も心も癒されるはずです","Your accommodation is <VAL PRICE_INN>.
We'll also serve you some rice porridge made with
fish from the famous Emerald Lake in Rothgill.
It should surely heal your body and soul.",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,1,Ingrid
0,,はい,OK,ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,2,Ingrid
0,,いいえ,Cancel,ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,3,Ingrid
0,,"ええ、どうぞこのロスギルで
長旅の疲れを癒してください
干し魚を使ったお粥、この辺りの名物なんです
こちらも、よかったら食べていってくださいね！","Well, feel free to rest in Rothgill.
We have a local specialty, fish porridge made
from dried fish.
It's a famous dish around here. You're welcome to
try it if you'd like!",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,4,Ingrid
0,,はい,OK,ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,5,Ingrid
0,,いいえ,Cancel,ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,6,Ingrid
0,,"《弱化の治療》ですね！
はい、もちろん承っていますとも
<VAL PRICE_WEAK>ですが、よろしいですか？","It's ""Treat Weakness"", right?
Yes, of course, I can do that.
<VAL PRICE_WEAK>, is that okay?",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,7,Ingrid
