0,3,"Maybe I should take a short rest. Since no one is
lending a hand.",\npc\n0591.arc,n0591.arc,ui\00_message\npc\base\n0591.gmd,"少し休もうかしら
誰も手を貸してくれないんだもの",
0,0,"Yes, what is it?",\npc\n0592.arc,n0592.arc,ui\00_message\npc\base\n0592.gmd,な、なんでしょう？,
0,1,"Hey, I don't have anything. I've already escaped
with my life. Give me a break!",\npc\n0592.arc,n0592.arc,ui\00_message\npc\base\n0592.gmd,"もう、命からがら逃げてきたんです
な、何も持ってませんよ
勘弁してください",
0,2,"I was left with nothing but this body.
I wanted to bring at least a memento of my dad's,
but--",\npc\n0592.arc,n0592.arc,ui\00_message\npc\base\n0592.gmd,"この体以外、何も手元に残りませんでした
せめて親父の形見くらいは
持ってきたかったんですけど――",
0,3,"I'm hungry and thirsty. I need to find a place to
settle down.",\npc\n0592.arc,n0592.arc,ui\00_message\npc\base\n0592.gmd,"腹も減ったし、喉も乾いてますよ
どこか落ち着ける場所を探さないと",
0,0,"Sigh, I want to rest a little. I'm exhausted from
running away this far.",\npc\n0593.arc,n0593.arc,ui\00_message\npc\base\n0593.gmd,"はぁ、少し休みたいわ
ここまで逃げてくるのに精一杯で――",
0,1,"I wonder if there is a village somewhere that
would accept me.
Hey, do you know of any--?",\npc\n0593.arc,n0593.arc,ui\00_message\npc\base\n0593.gmd,"どこか、わたしを
受け入れてくれる村は無いかしら
ねぇ、ご存じない――？",
0,2,"I just want to rest for a while. That way, I can
think about what to do next.",\npc\n0593.arc,n0593.arc,ui\00_message\npc\base\n0593.gmd,"とにかく少しだけ休みたいの
そうすれば、次に何をすればいいか
考えられそうだから",
0,3,I hope everyone in the village is safe—,\npc\n0593.arc,n0593.arc,ui\00_message\npc\base\n0593.gmd,"村のみんな
無事かしら――",
0,0,"Ah, yes―― Do you need anything?",\npc\n0594.arc,n0594.arc,ui\00_message\npc\base\n0594.gmd,"あ、はい――
何かご用、ですか？",
0,1,I don't know where this is.,\npc\n0594.arc,n0594.arc,ui\00_message\npc\base\n0594.gmd,"ぐすっ――
ここがどこか、わからないんです",
0,2,"I was running desperately, facing forward, and I
didn't even realize when my mother, who was behind
me, disappeared.",\npc\n0594.arc,n0594.arc,ui\00_message\npc\base\n0594.gmd,"前を向いて走るのに必死で―ー
後ろにいたお母さんがいつの間にか
いなくなってたのに気付かなかったんです",
0,3,"Where should I go, sob sob...",\npc\n0594.arc,n0594.arc,ui\00_message\npc\base\n0594.gmd,"どこに、行けばいいんでしょう
しくしく――",
0,0,"What is it, what is it!?",\npc\n0595.arc,n0595.arc,ui\00_message\npc\base\n0595.gmd,むぅ、なんだなんだ！？,
0,1,"This sword is dedicated to the royal family! Just
like the renowned hero who will be remembered,
let's swing it valiantly.",\npc\n0595.arc,n0595.arc,ui\00_message\npc\base\n0595.gmd,"この剣は王家へ捧げたもの！
今に名を残す英雄のように
それは勇ましく振るってみせよう",
0,2,"I once dreamt of being one of the elite chosen to
guard the capital, Megado. But now, I'm just
struggling to fight within my reach. But even that
isn't so bad.",\npc\n0595.arc,n0595.arc,ui\00_message\npc\base\n0595.gmd,"いつかは王都メガドの護衛に
選ばれるツワモノにと夢見てきたが
今は手の届く範囲で戦うのに必死！
――だが、それも悪くない",
0,3,"Hm? Are you interested in this shield?
It has a splendid design.",\npc\n0595.arc,n0595.arc,ui\00_message\npc\base\n0595.gmd,"ん？　この盾が気になるのですかな？
素晴らしいデザインでしょう",
0,0,"Yeah, I'll listen if you want to talk.",\npc\n0596.arc,n0596.arc,ui\00_message\npc\base\n0596.gmd,うん、話なら聞くよ,
0,1,"Enemies have a better sense of smell than us, and
of course, their hearing is also good. Well,
that's why they might underestimate humans
sometimes.",\npc\n0596.arc,n0596.arc,ui\00_message\npc\base\n0596.gmd,"魔物は私たちよりも鼻が利くし
もちろん耳だっていい
――まぁ、だから人間を
甘くみてるところもあるんだろうね",
0,2,"The ability to adapt to different situations is
probably the greatest strength of a human, don't
you think?",\npc\n0596.arc,n0596.arc,ui\00_message\npc\base\n0596.gmd,"臨機応変に対処できるってのが
人間の一番の強みなんじゃないかな",
0,3,"When pursuing enemies, it's better to be careful
and make sure you're not being led into dangerous
places.",\npc\n0596.arc,n0596.arc,ui\00_message\npc\base\n0596.gmd,"魔物を追う時は
マズい場所に誘いこまれてないか
気を付けた方がいいよ",
0,0,"Ah, would you like to talk for a bit?",\npc\n0597.arc,n0597.arc,ui\00_message\npc\base\n0597.gmd,ああ、少し話すか？,
0,1,"I would like to have better equipment, but I
can't afford to be extravagant.",\npc\n0597.arc,n0597.arc,ui\00_message\npc\base\n0597.gmd,"もう少しいい装備が欲しいところだが
贅沢は言ってられないか",
0,2,"— What did you say? I'm sorry, it might be
because of the sound of the cannons. I think I'm
going deaf these days.",\npc\n0597.arc,n0597.arc,ui\00_message\npc\base\n0597.gmd,"――なんだって？
すまない、大砲の音のせいか
ここのところ耳が遠くなったみたいだ",
0,3,"Lately, I have been going out to battle for
consecutive days and it's been difficult to
maintain my equipment, ah— If it were to break on
the battlefield, it would be the end.",\npc\n0597.arc,n0597.arc,ui\00_message\npc\base\n0597.gmd,"ここのところ戦いに出る日が続いて
なかなか武具の手入れができないのが、な――
戦場で壊れでもしたら、終わりだ",
0,0,"Um, what's wrong?",\npc\n0598.arc,n0598.arc,ui\00_message\npc\base\n0598.gmd,はい、どうかしました？,
0,1,"I'm sure you must be very strong, too. I'm not
ready to--",\npc\n0598.arc,n0598.arc,ui\00_message\npc\base\n0598.gmd,"あなたも、きっとお強いんでしょうね
私はまだまだで――",
0,2,"I have to work harder. This time, I want to
become someone who can support others.",\npc\n0598.arc,n0598.arc,ui\00_message\npc\base\n0598.gmd,"もっとがんばらないといけませんね
今度こそ、人を支えられるように
なりたいんです",
0,3,"I have just joined the Liberation Army. Compared
to those who already had swords, I can definitely
feel the difference in skill.",\npc\n0598.arc,n0598.arc,ui\00_message\npc\base\n0598.gmd,"解放軍には入ったばかりなんです
――元から剣を持っていた人たちとは
やっぱり実力の差を感じますね",
0,0,"Uh, please keep it brief as I am on a mission!",\npc\n0599.arc,n0599.arc,ui\00_message\npc\base\n0599.gmd,はっ、任務中ですので手短にお願いします！,
0,1,"Countless others have scattered in the battle
against the orcs--
My heart breaks for the families left behind.",\npc\n0599.arc,n0599.arc,ui\00_message\npc\base\n0599.gmd,"オークとの戦いに散った者も数知れず――
遺された家族のことを想うと
胸が潰れそうになります",
0,2,"Do orcs think nothing of when their friends die?
Or--or--don't they?",\npc\n0599.arc,n0599.arc,ui\00_message\npc\base\n0599.gmd,"オークは、仲間が死んでも
何とも思わないのでしょうか？
――それとも――",
0,3,"H-hold on, I mustn't lose heart—- I keep
reminding myself",\npc\n0599.arc,n0599.arc,ui\00_message\npc\base\n0599.gmd,"はっ、気弱になってはいけないと
自分に言い聞かせております",
0,0,"Hey, how are you doing?",\npc\n0600.arc,n0600.arc,ui\00_message\npc\base\n0600.gmd,よう、元気か？,
0,1,"Well, let's go without being too cautious—- I've
only just become a bandit. But I can tell that
you're skilled, just by looking at you.",\npc\n0600.arc,n0600.arc,ui\00_message\npc\base\n0600.gmd,"まぁ、お互い身構えずに行こうぜ
俺も盗賊になったばっかりだけど
君が腕の立つ人だってことは、見りゃわかるよ",
0,2,"You never know what can happen in life—You think
""it couldn't possibly happen,"" but then it does.",\npc\n0600.arc,n0600.arc,ui\00_message\npc\base\n0600.gmd,"人生何が起こるかわからないものだよな
起こっちまってから「まさか」と思うんだよ",
0,3,"Do you have a family? Huh, there's a Pawn――
That's quite a philosophical answer.",\npc\n0600.arc,n0600.arc,ui\00_message\npc\base\n0600.gmd,"家族はいるのか？
はぁ、ポーンがいる――
なんか哲学的な答えだな",
0,0,"Hmm, what is it? Did you call me?",\npc\n0601.arc,n0601.arc,ui\00_message\npc\base\n0601.gmd,"ん、なになに？
呼んだ？",
0,1,"Well, what should I do?",\npc\n0601.arc,n0601.arc,ui\00_message\npc\base\n0601.gmd,さーて、どうしよっかな,
0,2,"Hey, hey~ Do you know any interesting stories?",\npc\n0601.arc,n0601.arc,ui\00_message\npc\base\n0601.gmd,"ねぇねぇ～
何かおいしい話、知らない？",
0,3,"Oh dear. I wonder if there might be an amazing
treasure hidden somewhere. If so, Sister Selma
could take another look at it for me.",\npc\n0601.arc,n0601.arc,ui\00_message\npc\base\n0601.gmd,"あーあ
どっかにすんごいお宝、転がってないかなぁ
そしたらセルマの姐さんに見直してもらえるのに",
0,0,"Oh, is something wrong?",\npc\n0602.arc,n0602.arc,ui\00_message\npc\base\n0602.gmd,おお、どうかしたかい？,
0,1,"Oh, it's been a while since I held a sword. It
feels heavy now. It used to be a little lighter,
like...",\npc\n0602.arc,n0602.arc,ui\00_message\npc\base\n0602.gmd,"いやぁ、久しぶりに持つ剣は重いな
前はもうちょっと、こう――",
