19,CUSTOM_SKILL_COMMAND_03_198,セットボタンで構え後、<KC SHOOT>で発射,"While holding the assigned button, <KC SHOOT> to
shoot.",ui\00_message\skill\custom_skill_command_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,19
20,CUSTOM_SKILL_COMMAND_03_199,セットボタンで構え後、<KC SHOOT>で発射,"While holding the assigned button, <KC SHOOT> to
shoot.",ui\00_message\skill\custom_skill_command_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,20
21,CUSTOM_SKILL_COMMAND_03_200,セットボタンで構え後、<KC SHOOT>で発射,"While holding the assigned button, <KC SHOOT> to
shoot.",ui\00_message\skill\custom_skill_command_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,21
0,CUSTOM_SKILL_INFO_03_32,"複数の矢を連続で放ち
敵を大きくのけぞらせる
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で矢の発射数増加（３→５）</COL>","Fire multiple arrows in quick succession.
Staggers large enemies.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases arrows fired (3→5).</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,0
1,CUSTOM_SKILL_INFO_03_37,"貫通力のある矢を放つ
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で貫通時のヒット間隔が短縮し
連続ヒットしやすくなる</COL>","Fires a shot capable of piercing multiple targets.
<COL ffdc78>LV UP: Increases damage.
LV.6: Shortens the interval between hits,
increasing the likelihood of hitting more
times.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,1
2,CUSTOM_SKILL_INFO_03_33,"複数の矢を同時に扇状に放つ
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で矢の発射数増加（３→５）</COL>","Fires three arrows in a wedge pattern.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases arrows fired (3→5).</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,2
3,CUSTOM_SKILL_INFO_03_34,"敵のガードを崩す爆音火薬を巻いた矢を放つ
爆音に巻き込むことで周囲の敵をも怯ませる
<COL ffdc78>LV UP毎に吹き飛ばし力の上昇
LV.６で攻撃範囲拡大</COL>","Fires an arrow that produces a deafening
blare on impact, breaking enemy guard.
Will also launch nearby enemies.
<COL ffdc78>LV UP: Increases blow power.
LV.6: Increases the range of the effect.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,3
4,CUSTOM_SKILL_INFO_03_36,"矢筒内のすべての矢を直上に放ち、
敵の頭上に降らせる
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で攻撃ヒット数増加</COL>","Sends a wall of arrows skyward to
rain down on a broad area.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases number of hits.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,4
5,CUSTOM_SKILL_INFO_03_38,"着弾時に回転し多段攻撃を加える矢を放つ
特に状態異常矢の使用時に効果的
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で攻撃ヒット数増加</COL>","Looses a spinning arrow that delivers a
barrage of hits to an area.
Especially effective with status arrows.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases number of hits.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,5
6,CUSTOM_SKILL_INFO_03_39,"装填中のすべての矢に気絶効果のある火薬を
巻きつけ強化する
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で攻撃範囲拡大</COL>","Applies an explosive stun effect to all
arrows loaded. Increases damage inflicted.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases the range of the effect.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,6
7,CUSTOM_SKILL_INFO_03_35,"渾身の力で弓を引き、高威力の矢を放つ
溜め満了の瞬間に矢を放つと威力が
大幅に上昇する
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で溜め段階拡張（１→２）</COL>","Draws the bow with all the user's might,
then looses a shot straight ahead.
Power greatly increases if released as
maximum charge is reached.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases total charge stages (1→2).</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,7
8,CUSTOM_SKILL_INFO_03_42,"素早く後方に移動する
敵との間合いを素早く離す
<COL ffdc78>LV UP毎にスタミナ消費減少／発動中の耐久力上昇
LV.６でモーション変化／すり抜け時間延長</COL>","Quickly dodges backwards, creating distance
between you and your enemies.
<COL ffdc78>LV UP: Decreases Stamina cost.
Increases Endurance during usage.
LV.6: Motion changes. Increases invulnerability
time.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,8
9,CUSTOM_SKILL_INFO_03_40,"火薬を巻きつけた複数の矢を、
渾身の力で空に放ち、敵の頭上に降らせる
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で矢の発射数増加（３→５）</COL>","Coat multiple arrows in gunpowder and send them
skyward to rain down on a broad area.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases arrows fired (3→5).</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,9
10,CUSTOM_SKILL_INFO_03_41,"ボタンの連打で射撃回数が増加する
また、射撃回数が増えるにつれ
敵を怯ませやすくなる
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で攻撃速度上昇</COL>","Continously shoot multiple arrows as you press
the button. As you shoot more arrows, it becomes
easier to stagger enemies.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases attack speed.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,10
11,CUSTOM_SKILL_INFO_03_43,"絶大な威力の矢を放つ。溜め満了の瞬間に放つと
威力が大幅に上昇し、残り体力が低い敵ほど
効果が高い
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で溜め時間短縮</COL>","Draw the bow back with all your might and loose
an arrow
of extraordinary power. Further increase damage
if fired
just as the charge is completed. The lower the
enemy's
health, the higher the damage of this skill.
<COL ffdc78>LV UP: Increases damage of the skill.
LV.6: Decreases charge time.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,11
12,CUSTOM_SKILL_INFO_03_131,"連鎖的に爆発する火薬を巻きつけた矢を
上空に放つ
射撃時にボタン長押しで起爆高度が上昇
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で爆発回数増加</COL>","Loose an arrow wrapped with explosive powder into
the sky. Detonation altitude rises the longer the
button is
held while firing.
<COL ffdc78>LV UP: Increases damage of the skill.
LV.6: Increases the number of explosions.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,12
13,CUSTOM_SKILL_INFO_03_132,"敵に密着し、複数の矢を番えて渾身の力で放つ
しがみつき状態からでも可能
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で溜め段階上昇（２→３）
ボタン入力回数減少</COL>","Tightly bind together all the arrows in the
quiver, and
unleash them with your entire body's might.
Can be activated while climbing an enemy.
<COL ffdc78>LV UP: Increases damage of the skill.
LV.6: Increases maximum charge (2→3) and reduces
number of
button presses needed to advance to the next
level of charge.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,13
14,CUSTOM_SKILL_INFO_03_162,"【ＥＸ追加効果】
発射数が増加（５→６）
連なり射ち 剛に付与した紅蓮爆矢の攻撃威力が上昇","EX Additional Effects:
Increase the number of arrows shot (5→6).
Further increase the damage and blow power when
using in conjuction with Crimson Arrow.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,14
15,CUSTOM_SKILL_INFO_03_163,"【ＥＸ追加効果】
構え中の移動速度が上昇
最適距離の範囲が拡張
射程距離が延長","EX Additional Effects:
Increase moving speed during bow stance.
Extend the optimal shooting range.
Extend the shooting range.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,15
16,CUSTOM_SKILL_INFO_03_164,"【ＥＸ追加効果】
ダメージ量が増加
状態異常値が増加
<COL ff7878>獣／有翼／侵食系の敵に与えるダメージ量が増加</COL>","EX Additional Effects:
Increase damage.
Increase debilitation rate.
<COL ff7878>Further increase damage to
Beast/Winged/Infected enemies.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,16
17,CUSTOM_SKILL_INFO_03_165,"【ＥＸ追加効果】
チャンス攻力と疲労攻力が増加
気絶攻力が増加
<COL ff7878>戦甲を攻撃時、ダメージ量が増加</COL>","EX Additional Effects:
Increase chance attack and exhaust power.
Increase knockout power.
<COL ff7878>Further increase damage against
War-Ready enemies.</COL>",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,17
18,CUSTOM_SKILL_INFO_03_197,"【ＥＸ追加効果】
溜め段階２の攻撃ヒット数が増加","EX Additional Effects:
Increase number of hits on second charge.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,18
19,CUSTOM_SKILL_INFO_03_198,"【ＥＸ追加効果】
構え中の移動速度が上昇
最適距離の範囲が拡張
射程距離が延長","EX Additional Effects:
Increase moving speed during bow stance.
Extend the optimal shooting range.
Extend the shooting range.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,19
20,CUSTOM_SKILL_INFO_03_199,"【ＥＸ追加効果】
溜め時間短縮
起爆時の爆発ダメージ量が増加
溜め２段階で、中央の爆発の攻撃ヒット数が増加","EX Additional Effects:
Reduce charge time.
Increase explosion damage.
Increase number of hits at the center on second
charge.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,20
21,CUSTOM_SKILL_INFO_03_200,"【ＥＸ追加効果】
溜め時間短縮
爆薬矢に継続ダメージを付与
攻撃により起爆しなくなり
時間による起爆時の威力が増加","EX Additional Effects:
Reduce charge time.
Arrows deal continuous damage.
Arrows cannot be detonated by attack.",ui\00_message\skill\custom_skill_info_03.gmd,\skill\custom_skill_data_03.arc,custom_skill_data_03.arc,21
0,CUSTOM_SKILL_COMMAND_04_48,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,0
1,CUSTOM_SKILL_COMMAND_04_49,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,1
2,CUSTOM_SKILL_COMMAND_04_46,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,2
3,CUSTOM_SKILL_COMMAND_04_50,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,3
4,CUSTOM_SKILL_COMMAND_04_44,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,4
5,CUSTOM_SKILL_COMMAND_04_45,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,5
6,CUSTOM_SKILL_COMMAND_04_47,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,6
7,CUSTOM_SKILL_COMMAND_04_54,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,7
8,CUSTOM_SKILL_COMMAND_04_55,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,8
9,CUSTOM_SKILL_COMMAND_04_52,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,9
10,CUSTOM_SKILL_COMMAND_04_53,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,10
11,CUSTOM_SKILL_COMMAND_04_51,"セットボタンを押して詠唱、詠唱完了で発動
展開後、その場に留まることで展開時間を延長","Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,11
12,CUSTOM_SKILL_COMMAND_04_133,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,12
13,CUSTOM_SKILL_COMMAND_04_134,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,13
14,CUSTOM_SKILL_COMMAND_04_166,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,14
15,CUSTOM_SKILL_COMMAND_04_167,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,15
16,CUSTOM_SKILL_COMMAND_04_168,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,16
17,CUSTOM_SKILL_COMMAND_04_169,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,17
18,CUSTOM_SKILL_COMMAND_04_218,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,18
19,CUSTOM_SKILL_COMMAND_04_217,セットボタンを押して詠唱、詠唱完了で発動,"Press the assigned button to chant,
activated on completion.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,19
20,CUSTOM_SKILL_COMMAND_04_219,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,20
21,CUSTOM_SKILL_COMMAND_04_220,セットボタンを押して詠唱、詠唱完了で発動、再度押すと解除,"Press the assigned button to chant,
activated on completion,
press again to cancel.",ui\00_message\skill\custom_skill_command_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,21
0,CUSTOM_SKILL_INFO_04_48,"自身を中心に物理攻撃力と魔法攻撃力を
一時的に強化する魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>","Emits an aura of Attack and Magick power.
Applies a temporary increase to nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Increases duration after
leaving the aura.
LV.6: Increases the size of the effect.</COL>",ui\00_message\skill\custom_skill_info_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,0
1,CUSTOM_SKILL_INFO_04_49,"自身を中心に物理防御力と魔法防御力を
一時的に強化する魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>","Emits an aura of Attack and Magick defense.
Applies a temporary increase to nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Increases duration after
leaving the aura.
LV.6: Increases the size of the effect.</COL>",ui\00_message\skill\custom_skill_info_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,1
2,CUSTOM_SKILL_INFO_04_46,"魔力を溜めた後、杖を振って追尾性能を持つ
聖属性の魔法球を複数放つ
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で魔法球増加（３→５）</COL>","After charging, launch tracking projectiles.
Fires magick spheres of Holy attribute.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases number of magick spheres
(3→5).</COL>",ui\00_message\skill\custom_skill_info_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,2
3,CUSTOM_SKILL_INFO_04_50,"自身を中心に高速に旋回する魔球を生成
受けた攻撃を魔球の数だけ無効化する
<COL ffdc78>LV UP毎に持続時間延長
LV.６で魔球数増加（３→５）</COL>","Generates magick spheres that revolve
around oneself. The spheres will each
nullify one attack.
<COL ffdc78>LV UP: Increases duration of the
effect.
LV.6: Increases number of magick spheres
(3→5).</COL>",ui\00_message\skill\custom_skill_info_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,3
4,CUSTOM_SKILL_INFO_04_44,"急速に体力を回復させる魔法エリアを発現させる
（最大回復量は治癒上限値）（対不死には攻撃）
<COL ffdc78>LV UP毎に設置持続時間が延長
LV.６で展開エリアのサイズ拡張</COL>","Creates a magick area that rapidly regenerates
health.
(Maximum healing limited to grey health)
(Inflicts damage to undead)
<COL ffdc78>LV UP: Increases duration of the
effect.
LV.6: Increases the size of the effect.</COL>",ui\00_message\skill\custom_skill_info_04.gmd,\skill\custom_skill_data_04.arc,custom_skill_data_04.arc,4
