key,old,new
ACHIEVEMENT_INFO_450,クエスト「横たわる神」クリア,"Clear quest ""The Slumbering God"""
ACHIEVEMENT_INFO_519,クエスト「異界の戦士」クリア,"Clear quest ""Soldiers of the Rift"""
ACHIEVEMENT_INFO_520,クエスト「湯煙の館」クリア,"Clear quest ""The House of Steam"""
ACHIEVEMENT_INFO_521,クエスト「神の目覚め」クリア,"Clear quest ""The God's Awakening"""
ACHIEVEMENT_INFO_522,クエスト「闇を纏う娘」クリア,"Clear quest ""The Girl Clad in Darkness"""
ACHIEVEMENT_INFO_523,クエスト「命の行方」クリア,"Clear quest ""The Course of Life"""
ACHIEVEMENT_INFO_524,クエスト「束の間の休息」クリア,"Clear quest ""A Brief Respite"""
ACHIEVEMENT_INFO_525,クエスト「託された未来」クリア,"Clear quest ""The Entrusted Future"""
ACHIEVEMENT_INFO_526,クエスト「戦士たちの困惑」クリア,"Clear quest ""The Quandary of Soldiers"""
ACHIEVEMENT_INFO_527,クエスト「偉大なる錬金術師」クリア,"Clear quest ""The Great Alchemist"""
ACHIEVEMENT_INFO_528,ボードクエスト（討伐）を初めてクリア,Complete your first bounty Board Quest
ACHIEVEMENT_INFO_529,ボードクエスト（討伐）を30回クリア,Complete 30 bounty Board Quests
ACHIEVEMENT_INFO_530,ボードクエスト（討伐）を100回クリア,Complete 100 bounty Board Quests
ACHIEVEMENT_INFO_531,ボードクエスト（討伐）を300回クリア,Complete 300 bounty Board Quests
ACHIEVEMENT_INFO_532,ボードクエスト（討伐）を600回クリア,Complete 600 bounty Board Quests
ACHIEVEMENT_INFO_533,ボードクエスト（納品）を初めてクリア,Complete your first delivery Board Quest
ACHIEVEMENT_INFO_534,ボードクエスト（納品）を30回クリア,Complete 30 delivery Board Quests
ACHIEVEMENT_INFO_535,ボードクエスト（納品）を100回クリア,Complete 100 delivery Board Quests
ACHIEVEMENT_INFO_536,ボードクエスト（納品）を300回クリア,Complete 300 delivery Board Quests
ACHIEVEMENT_INFO_537,ボードクエスト（納品）を600回クリア,Complete 600 delivery Board Quests
ACHIEVEMENT_INFO_538,ワールドクエスト（未公開）を初めてクリア,Complete your first Hidden Quest
ACHIEVEMENT_INFO_539,ワールドクエスト（未公開）を10回クリア,Complete 10 Hidden Quests
ACHIEVEMENT_INFO_540,ワールドクエスト（未公開）を50回クリア,Complete 50 Hidden Quests
ACHIEVEMENT_INFO_541,ワールドクエスト（公開）を初めてクリア,Complete your first World Quest
ACHIEVEMENT_INFO_542,ワールドクエスト（公開）を10回クリア,Complete 10 World Quests
ACHIEVEMENT_INFO_543,ワールドクエスト（公開）を100回クリア,Complete 100 World Quests
ACHIEVEMENT_INFO_544,ワールドクエスト（公開）を300回クリア,Complete 300 World Quests
ACHIEVEMENT_INFO_582,敵を総計100体討伐,Kill 100 total enemies
ACHIEVEMENT_INFO_583,敵を総計300体討伐,Kill 300 total enemies
ACHIEVEMENT_INFO_584,敵を総計1000体討伐,Kill 1000 total enemies
ACHIEVEMENT_INFO_585,敵を総計10000体討伐,Kill 10000 total enemies
ACHIEVEMENT_INFO_590,《ゴブリン》系エネミーを50体討伐,"Kill 50 ""Goblin"" enemies"
ACHIEVEMENT_INFO_591,《ゴブリン》系エネミーを200体討伐,"Kill 200 ""Goblin"" enemies"
ACHIEVEMENT_INFO_592,《ゴブリン》系エネミーを500体討伐,"Kill 500 ""Goblin"" enemies"
ACHIEVEMENT_INFO_608,《ホブゴブリン》系エネミーを30体討伐,"Kill 30 ""Hobgoblin"" enemies"
ACHIEVEMENT_INFO_609,《ホブゴブリン》系エネミーを100体討伐,"Kill 100 ""Hobgoblin"" enemies"
ACHIEVEMENT_INFO_610,《ホブゴブリン》系エネミーを300体討伐,"Kill 300 ""Hobgoblin"" enemies"
ACHIEVEMENT_INFO_623,《ウルフ》系エネミーを50体討伐,"Kill 50 ""Wolf"" enemies"
ACHIEVEMENT_INFO_624,《ウルフ》系エネミーを200体討伐,"Kill 200 ""Wolf"" enemies"
ACHIEVEMENT_INFO_625,《ウルフ》系エネミーを500体討伐,"Kill 500 ""Wolf"" enemies"
ACHIEVEMENT_INFO_629,《グリムワーグ》系エネミーを50体討伐,"Kill 50 ""Grimwarg"" enemies"
ACHIEVEMENT_INFO_630,《グリムワーグ》系エネミーを100体討伐,"Kill 100 ""Grimwarg"" enemies"
ACHIEVEMENT_INFO_631,《グリムワーグ》系エネミーを300体討伐,"Kill 300 ""Grimwarg"" enemies"
ACHIEVEMENT_INFO_632,シャドーウルフを50体討伐,Kill 50 Shadow Wolves
ACHIEVEMENT_INFO_633,シャドーウルフを100体討伐,Kill 100 Shadow Wolves
ACHIEVEMENT_INFO_634,シャドーウルフを300体討伐,Kill 300 Shadow Wolves
ACHIEVEMENT_INFO_635,《錬魔オオカミ》系エネミーを50体討伐,"Kill 50 ""Alchemized Wolf"" enemies"
ACHIEVEMENT_INFO_636,《錬魔オオカミ》系エネミーを100体討伐,"Kill 100 ""Alchemized Wolf"" enemies"
ACHIEVEMENT_INFO_637,《錬魔オオカミ》系エネミーを300体討伐,"Kill 300 ""Alchemized Wolf"" enemies"
ACHIEVEMENT_INFO_641,《スケルトン》系エネミーを50体討伐,"Kill 50 ""Skeleton"" enemies"
ACHIEVEMENT_INFO_642,《スケルトン》系エネミーを300体討伐,"Kill 300 ""Skeleton"" enemies"
ACHIEVEMENT_INFO_643,《スケルトン》系エネミーを1000体討伐,"Kill 1000 ""Skeleton"" enemies"
ACHIEVEMENT_INFO_650,スカルロードを30体討伐,Kill 30 Skull Lords
ACHIEVEMENT_INFO_651,スカルロードを100体討伐,Kill 100 Skull Lords
ACHIEVEMENT_INFO_652,スカルロードを200体討伐,Kill 200 Skull Lords
ACHIEVEMENT_INFO_653,リビングアーマーを30体討伐,Kill 30 Living Armors
ACHIEVEMENT_INFO_654,リビングアーマーを100体討伐,Kill 100 Living Armors
ACHIEVEMENT_INFO_655,リビングアーマーを200体討伐,Kill 200 Living Armors
ACHIEVEMENT_INFO_662,デスナイトを30体討伐,Kill 30 Death Knights
ACHIEVEMENT_INFO_663,デスナイトを100体討伐,Kill 100 Death Knights
ACHIEVEMENT_INFO_664,デスナイトを200体討伐,Kill 200 Death Knights
ACHIEVEMENT_INFO_665,ゴーストメイルを30体討伐,Kill 30 Ghost Mails
ACHIEVEMENT_INFO_666,ゴーストメイルを100体討伐,Kill 100 Ghost Mails
ACHIEVEMENT_INFO_667,ゴーストメイルを300体討伐,Kill 300 Ghost Mails
ACHIEVEMENT_INFO_668,スケルトンアルケミーを30体討伐,Kill 30 Alchemized Skeletons
ACHIEVEMENT_INFO_669,スケルトンアルケミーを100体討伐,Kill 100 Alchemized Skeletons
ACHIEVEMENT_INFO_670,スケルトンアルケミーを300体討伐,Kill 300 Alchemized Skeletons
ACHIEVEMENT_INFO_671,《リザードマン》系エネミーを30体討伐,"Kill 30 ""Saurian"" enemies"
ACHIEVEMENT_INFO_672,《リザードマン》系エネミーを100体討伐,"Kill 100 ""Saurian"" enemies"
ACHIEVEMENT_INFO_673,《リザードマン》系エネミーを300体討伐,"Kill 300 ""Saurian"" enemies"
ACHIEVEMENT_INFO_677,《サルファーリザード》系エネミーを30体討伐,"Kill 30 ""Sulfur Saurian"" enemies"
ACHIEVEMENT_INFO_678,《サルファーリザード》系エネミーを100体討伐,"Kill 100 ""Sulfur Saurian"" enemies"
