key,old,new,format
SPOT_NAME_,モロー樹林,Morrow Forest,
SPOT_NAME_,モルフォール,Morfaul,{'proper': True}
SPOT_NAME_,賢者の墓標,Sage's Gravestone,
SPOT_NAME_,森精の隠れ家,Forest Sprite's Refuge,
SPOT_NAME_,欠緑の林,Vacant Green Forest,
SPOT_NAME_,ピクシーズキャンプ,Pixies' Camp,
SPOT_NAME_,廃村エスリグ,Deserted Village of Aethrig,
SPOT_NAME_,モロー古跡,Morrow Old Ruins,
SPOT_NAME_,立ち病みの森,Suffering Forest,
SPOT_NAME_,侵染の窪地,Infected Basin,
SPOT_NAME_,暗樹の大淵,Dark Woods Great Depths,
SPOT_NAME_,侵鬼の洞穴,Invading Demons Cave,
SPOT_NAME_,モローケイヴァン,Morrow Cavern,
SPOT_NAME_,サウザネル侵林,Sauzanel Infected Woods,
SPOT_NAME_,ディプニエ大侵林,Deepney Great Forest,
SPOT_NAME_,ノーザナス侵林,Northerners Infected Woods,
