key,old,new
AREA_RANK_REWARD_2,支援品の配給,Distribution of support goods
AREA_RANK_REWARD_6,封鎖エリア《狩人の抜け穴》開放,"Unblock area ""Hunters' Secret Passage"""
AREA_RANK_REWARD_7,《鬼鳴き橋》に新たな強敵が出現,"New powerful enemy at ""Roaring Demon Bridge"""
AREA_RANK_REWARD_10,封鎖エリア《ハイデル地下霊廟》開放,"Unblock area ""Hidell Catacombs"""
AREA_RANK_REWARD_11,交通路《南ハイデル大橋》復旧,"Restore path ""South Heidell Long Bridge"""
AREA_RANK_REWARD_12,封鎖エリア《開かずの路》開放,"Unblock area ""Blocked Passage"""
AREA_RANK_REWARD_13,《血すすぎ河原》に新たな強敵が出現,"New powerful enemy at ""Bloodwater Bank"""
AREA_RANK_REWARD_14,《黒狼団のアジト》に新たな強敵が出現,"New powerful enemy at ""The Black Wolves' Hideout"""
AREA_RANK_REWARD_15,封鎖エリア《ハイデル地下霊廟　深部～最深部》開放,"Unblock areas ""Hidell Catacombs Depths～Innermost Depths"""
AREA_RANK_REWARD_16,支援品ランクアップ,Rank up of support goods
AREA_RANK_REWARD_181,《ハイデル平原》各地にある未解放のリム転移 解放,"Release ""Hidell Plains"" Portcrystals"
AREA_RANK_REWARD_182,《刃擦れの細道》に新たな強敵が出現,"New powerful enemy at ""Blade Scarred Path"""
AREA_RANK_REWARD_183,封鎖エリア《アーク　裏層》開放,"Unblock area ""The Ark's Lower Level"""
AREA_RANK_REWARD_184,《アーク　裏層》に新たな強敵が出現,"New powerful enemy at ""The Ark's Lower Level"""
AREA_RANK_REWARD_321,支援品ランクアップ,Rank up of support goods
