key,old,new
SPOT_NAME_,ミスリウ森林,Mysree Forest
SPOT_NAME_,ポーン郷,Pawn Cathedral
SPOT_NAME_,リンウッド,Lynwood
SPOT_NAME_,森の一軒家,Lone House in the Forest
SPOT_NAME_,西ミスリウ橋,West Mysree Bridge
SPOT_NAME_,森小人の集落,Forest Goblins' Village
SPOT_NAME_,古の祭祀場,Ancient Place of Rituals
SPOT_NAME_,リンウッド地下水路,Lynwood Underground Waterway
SPOT_NAME_,唸り猿の縄張り,The Roaring Ape's Territory
SPOT_NAME_,肉裂き館,Abattoir
SPOT_NAME_,豚喰いのねぐら,The Pig-Eater's Den
SPOT_NAME_,ミスリウ鍾乳洞,Mysree Limestone Cave
SPOT_NAME_,行商人の難所,Peddler's Peril
SPOT_NAME_,異界の狭間,The Rift
SPOT_NAME_,燐光虫の洞窟,Glowworm Cave
SPOT_NAME_,魔獣の巣穴,Demon's Den
SPOT_NAME_,異界の狭間　深層部,The Rift's Inner Depths
SPOT_NAME_,ミスリウ古墳墓,Ancient Burial Mound
