"key","old","new"
"CLAN_SHOP_LINEUP_ID_18","クランエンブレムの入ったフラッグを
掲げられるようになります","You will be able to fly a flag with the clan emblemYou will be able to raise a flag with the clan emblem."
"CLAN_SHOP_LINEUP_ID_19","クラン拠点１階の大広間に入れるようになる
クランクエストの高難易度ボードが設置されます","You will be able to enter the Great Hall on the first floor of the clan base.
A higher difficulty board for clan quests will be set up."
"CLAN_SHOP_LINEUP_ID_20","クラン拠点２階に
行くことができるようになります","You will be able to go to the second floor of the clan base."
"CLAN_SHOP_LINEUP_ID_21","クラン拠点にある隠し部屋に
入れるようになります
","You will be able to enter a hidden room in the clan base.
"
"CLAN_SHOP_LINEUP_ID_22","ポーン遠征隊が解放されます","Pawn expedition support will be unlocked."
"CLAN_SHOP_LINEUP_ID_23","ボルド鉱山に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to Volden Mines."
"CLAN_SHOP_LINEUP_ID_24","ダウ渓谷に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to Dowe Valley."
"CLAN_SHOP_LINEUP_ID_25","ミスリウ森林深部に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to Mysree Grove."
"CLAN_SHOP_LINEUP_ID_26","ディナン深層林に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to Deenan Woods."
"CLAN_SHOP_LINEUP_ID_27","バートランド平原に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to Betland Plains."
"CLAN_SHOP_LINEUP_ID_28","バートランド平原北部に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to the Northern Betland Plains."
"CLAN_SHOP_LINEUP_ID_29","ザンドラ東部に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to the Eastern Zandora."
"CLAN_SHOP_LINEUP_ID_30","ザンドラ禁域に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to the Zandora Wastelands."
"CLAN_SHOP_LINEUP_ID_31","亡都メルゴダに
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to the Mergoda Ruins."
"CLAN_SHOP_LINEUP_ID_32","魔赤島に
ポーン遠征隊を派遣できるようになります","You will be able to send Pawn Expedition Support teams to the Bloodbane Isle."
"CLAN_SHOP_LINEUP_ID_33","エラン水林に
ポーン遠征隊を派遣できるようになります","You can now send pawn expeditions to the Elan Water Grove!"
